k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6086586239908462, 0.0505992661740724, 0.1384813564884369, 0.7794992383416915, -0.0047326747861103, 0.000922372451412, -0.0040464131544582, 0.0039739653064109, 0.0032375573787232, 0.0004217791098885, -0.001215063100419, -0.0014573832200493, -0.0010809044813974, -0.0027838589172658, 0.001031596264852, 0.0031646235699803, 0.0079070913753618, 0.0011440747626567, -0.0003496612074561, 0.0036037854649013, 0.0029762898500479, 0.0016655569875199]| 13.1513357162475586|      2.00000000|[120, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[1.8267010979949907, 0.1715291514557099, 0.4132854207281536, 2.33538585111427, -0.0207134784038579, 0.0152529276800069, 0.045461224167493, -0.0105560489027784, -0.0025138544631773, -0.0010250469001994, -0.0005897642130556, -0.0148314764537523, 0.0113559944687758, -0.0086015435067269, -0.0079738307798855, -0.0027936098655907, 0.0257907545940037, 0.0163927233142626, -0.0118402518879344, -0.0229320794982753, 0.0113200845224024, 0.0203066268882961]| 12.2805366516113281|      4.00000000|[238, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[1.8267010979949907, 0.1715291514557099, 0.4132854207281536, 2.33538585111427, -0.0207134784038579, 0.0152529276800069, 0.045461224167493, -0.0105560489027784, -0.0025138544631773, -0.0010250469001994, -0.0005897642130556, -0.0148314764537523, 0.0113559944687758, -0.0086015435067269, -0.0079738307798855, -0.0027936098655907, 0.0257907545940037, 0.0163927233142626, -0.0118402518879344, -0.0229320794982753, 0.0113200845224024, 0.0203066268882961]| 12.2805366516113281|      2.00000000|[356, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.8267010979949907, 0.1715291514557099, 0.4132854207281536, 2.33538585111427, -0.0207134784038579, 0.0152529276800069, 0.045461224167493, -0.0105560489027784, -0.0025138544631773, -0.0010250469001994, -0.0005897642130556, -0.0148314764537523, 0.0113559944687758, -0.0086015435067269, -0.0079738307798855, -0.0027936098655907, 0.0257907545940037, 0.0163927233142626, -0.0118402518879344, -0.0229320794982753, 0.0113200845224024, 0.0203066268882961]| 12.2805366516113281|      1.00000000|[475, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.8267010979949907, 0.1715291514557099, 0.4132854207281536, 2.33538585111427, -0.0207134784038579, 0.0152529276800069, 0.045461224167493, -0.0105560489027784, -0.0025138544631773, -0.0010250469001994, -0.0005897642130556, -0.0148314764537523, 0.0113559944687758, -0.0086015435067269, -0.0079738307798855, -0.0027936098655907, 0.0257907545940037, 0.0163927233142626, -0.0118402518879344, -0.0229320794982753, 0.0113200845224024, 0.0203066268882961]| 12.2805366516113281|      0.50000000|[593, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[1.5198524280689139, 0.1444436063425702, 0.3465159581204499, 1.947252103547499, -0.0203827239205122, 0.0158210860696776, 0.0455235483960045, -0.0109122641254149, -0.0016135617800269, -0.0009478168029471, -0.0006289005393505, -0.0147428409598928, 0.0117344345541484, -0.008841229818215, -0.0072889654642262, -0.0024218320505781, 0.0249671046017807, 0.0162750354366874, -0.0110726748688236, -0.0235782775582089, 0.0118757296450046, 0.0206154223834565]| 12.1452627182006836|      1.00000000|[711, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.5198524280689139, 0.1444436063425702, 0.3465159581204499, 1.947252103547499, -0.0203827239205122, 0.0158210860696776, 0.0455235483960045, -0.0109122641254149, -0.0016135617800269, -0.0009478168029471, -0.0006289005393505, -0.0147428409598928, 0.0117344345541484, -0.008841229818215, -0.0072889654642262, -0.0024218320505781, 0.0249671046017807, 0.0162750354366874, -0.0110726748688236, -0.0235782775582089, 0.0118757296450046, 0.0206154223834565]| 12.1452627182006836|      0.50000000|[829, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.5198524280689139, 0.1444436063425702, 0.3465159581204499, 1.947252103547499, -0.0203827239205122, 0.0158210860696776, 0.0455235483960045, -0.0109122641254149, -0.0016135617800269, -0.0009478168029471, -0.0006289005393505, -0.0147428409598928, 0.0117344345541484, -0.008841229818215, -0.0072889654642262, -0.0024218320505781, 0.0249671046017807, 0.0162750354366874, -0.0110726748688236, -0.0235782775582089, 0.0118757296450046, 0.0206154223834565]| 12.1452627182006836|      0.25000000|[947, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.5198524280689139, 0.1444436063425702, 0.3465159581204499, 1.947252103547499, -0.0203827239205122, 0.0158210860696776, 0.0455235483960045, -0.0109122641254149, -0.0016135617800269, -0.0009478168029471, -0.0006289005393505, -0.0147428409598928, 0.0117344345541484, -0.008841229818215, -0.0072889654642262, -0.0024218320505781, 0.0249671046017807, 0.0162750354366874, -0.0110726748688236, -0.0235782775582089, 0.0118757296450046, 0.0206154223834565]| 12.1452627182006836|      0.12500000|[1065, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.5198524280689139, 0.1444436063425702, 0.3465159581204499, 1.947252103547499, -0.0203827239205122, 0.0158210860696776, 0.0455235483960045, -0.0109122641254149, -0.0016135617800269, -0.0009478168029471, -0.0006289005393505, -0.0147428409598928, 0.0117344345541484, -0.008841229818215, -0.0072889654642262, -0.0024218320505781, 0.0249671046017807, 0.0162750354366874, -0.0110726748688236, -0.0235782775582089, 0.0118757296450046, 0.0206154223834565]| 12.1452627182006836|      0.06250000|[1183, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.4791294672278226, 0.1398150697698492, 0.3383877596263279, 1.9007780579219864, -0.0201176858419355, 0.0157836970081521, 0.0456621194869281, -0.0110355076299971, -0.0017652794368417, -0.0011347199794354, -0.0003939844531461, -0.0146952251351652, 0.0118306617388366, -0.0090478035385531, -0.0075071505546954, -0.0024721993264794, 0.0252390910540485, 0.0160995087272252, -0.0109648290045313, -0.0236673217990187, 0.0119563432110097, 0.0202864456735658]| 12.1449127197265625|      0.12500000|[1301, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
