k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1489376981110956, -0.122843501631373, -0.368625437099461, 0.0754375891186634, 0.6990951496571877, 0.3109812536025614, -0.0202519243695991, 0.230054162882862, 0.4270515973423745]|110824.8601484426326351|      2.00000000|[12, 2, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=4
       2|[-0.1489376981110956, -0.122843501631373, -0.368625437099461, 0.0754375891186634, 0.6990951496571877, 0.3109812536025614, -0.0202519243695991, 0.230054162882862, 0.4270515973423745]|110824.8601484426326351|      1.00000000|[24, 4, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=4
       3|[-0.1489376981110956, -0.122843501631373, -0.368625437099461, 0.0754375891186634, 0.6990951496571877, 0.3109812536025614, -0.0202519243695991, 0.230054162882862, 0.4270515973423745]|110824.8601484426326351|      0.50000000|[36, 6, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=4
       4|[-0.1585160334436718, 0.0964985864493905, -0.3951735010318397, -0.1028220235275127, 0.9544087614795023, 0.075735051205518, 0.1068757242241684, 0.0968658303160175, 0.3050285356023826]|16755.9172638438139984|      1.00000000|[46, 10, 4, 8]                                                             |  | used linear model with 14 points | iterate success | actual_k=4
       5|[-0.1585160334436718, 0.0964985864493905, -0.3951735010318397, -0.1028220235275127, 0.9544087614795023, 0.075735051205518, 0.1068757242241684, 0.0968658303160175, 0.3050285356023826]|16755.9172638438139984|      0.50000000|[56, 14, 5, 10]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
       6|[-0.1585160334436718, 0.0964985864493905, -0.3951735010318397, -0.1028220235275127, 0.9544087614795023, 0.075735051205518, 0.1068757242241684, 0.0968658303160175, 0.3050285356023826]|16755.9172638438139984|      0.25000000|[66, 18, 6, 12]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
       7|[-0.1798754043270092, -0.0447308651010327, -0.4552627050679144, 0.0333279115980767, 0.9324340586270736, 0.0467054220772082, -0.0154463510072702, 0.1373875410211992, 0.3499751256139017]|3129.6801184292430662|      0.50000000|[76, 22, 7, 14]                                                            |  | used linear model with 14 points | iterate success | actual_k=4
       8|[-0.1798754043270092, -0.0447308651010327, -0.4552627050679144, 0.0333279115980767, 0.9324340586270736, 0.0467054220772082, -0.0154463510072702, 0.1373875410211992, 0.3499751256139017]|3129.6801184292430662|      0.25000000|[87, 25, 8, 16]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
       9|[-0.1798754043270092, -0.0447308651010327, -0.4552627050679144, 0.0333279115980767, 0.9324340586270736, 0.0467054220772082, -0.0154463510072702, 0.1373875410211992, 0.3499751256139017]|3129.6801184292430662|      0.12500000|[98, 28, 9, 18]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
      10|[-0.1798754043270092, -0.0447308651010327, -0.4552627050679144, 0.0333279115980767, 0.9324340586270736, 0.0467054220772082, -0.0154463510072702, 0.1373875410211992, 0.3499751256139017]|3129.6801184292430662|      0.06250000|[110, 30, 10, 20]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      11|[-0.2013368062376701, -0.0420444478864071, -0.4661048808708304, -0.0034833375148945, 0.9127475406925414, 0.0132492023217709, 0.0050204886737975, 0.1349699274806007, 0.355823761583639]|132.1379236339506917|      0.12500000|[120, 34, 11, 22]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      12|[-0.2013368062376701, -0.0420444478864071, -0.4661048808708304, -0.0034833375148945, 0.9127475406925414, 0.0132492023217709, 0.0050204886737975, 0.1349699274806007, 0.355823761583639]|132.1379236339506917|      0.06250000|[132, 36, 12, 24]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      13|[-0.2013368062376701, -0.0420444478864071, -0.4661048808708304, -0.0034833375148945, 0.9127475406925414, 0.0132492023217709, 0.0050204886737975, 0.1349699274806007, 0.355823761583639]|132.1379236339506917|      0.03125000|[142, 40, 13, 26]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      14|[-0.2013368062376701, -0.0420444478864071, -0.4661048808708304, -0.0034833375148945, 0.9127475406925414, 0.0132492023217709, 0.0050204886737975, 0.1349699274806007, 0.355823761583639]|132.1379236339506917|      0.01562500|[152, 44, 14, 28]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      15|[-0.2013368062376701, -0.0420444478864071, -0.4661048808708304, -0.0034833375148945, 0.9127475406925414, 0.0132492023217709, 0.0050204886737975, 0.1349699274806007, 0.355823761583639]|132.1379236339506917|      0.00781250|[164, 46, 15, 30]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      16|[-0.2022869888000559, -0.0417975837128837, -0.4655516332950629, 0.0037524639234873, 0.9147168556570001, 0.0120056632320381, 0.0047732141837019, 0.1336169827925743, 0.3561275167365868]|112.7784215356061281|      0.01562500|[175, 49, 16, 32]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      17|[-0.2022869888000559, -0.0417975837128837, -0.4655516332950629, 0.0037524639234873, 0.9147168556570001, 0.0120056632320381, 0.0047732141837019, 0.1336169827925743, 0.3561275167365868]|112.7784215356061281|      0.00781250|[185, 53, 17, 34]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      18|[-0.2031966443781507, -0.0454850688747019, -0.4678860538205936, -0.0003675186880408, 0.9191627406879503, 0.0130829497221219, 0.004248705420407, 0.1334235063606779, 0.3544107238577915]| 84.7932705111489753|      0.01562500|[196, 56, 18, 36]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      19|[-0.2031966443781507, -0.0454850688747019, -0.4678860538205936, -0.0003675186880408, 0.9191627406879503, 0.0130829497221219, 0.004248705420407, 0.1334235063606779, 0.3544107238577915]| 84.7932705111489753|      0.00781250|[206, 60, 19, 38]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      20|[-0.2031966443781507, -0.0454850688747019, -0.4678860538205936, -0.0003675186880408, 0.9191627406879503, 0.0130829497221219, 0.004248705420407, 0.1334235063606779, 0.3544107238577915]| 84.7932705111489753|      0.00390625|[217, 63, 20, 40]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      21|[-0.2049693475046891, -0.0457575150072894, -0.4693033099566371, 0.0011784978734449, 0.9218204997213609, 0.0134694190331432, 0.0037182583014728, 0.1332027904071865, 0.3540942237111719]| 77.1837441491558423|      0.00781250|[227, 67, 21, 42]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      22|[-0.2064654050574486, -0.0489659546467756, -0.4684657170164105, -0.0015328184587581, 0.9273583239906454, 0.0113421085904187, 0.0020579533690903, 0.131815805128268, 0.3533347522158634]| 70.1214449684071468|      0.01562500|[239, 69, 22, 44]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      23|[-0.2064654050574486, -0.0489659546467756, -0.4684657170164105, -0.0015328184587581, 0.9273583239906454, 0.0113421085904187, 0.0020579533690903, 0.131815805128268, 0.3533347522158634]| 70.1214449684071468|      0.00781250|[249, 73, 23, 46]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      24|[-0.2064654050574486, -0.0489659546467756, -0.4684657170164105, -0.0015328184587581, 0.9273583239906454, 0.0113421085904187, 0.0020579533690903, 0.131815805128268, 0.3533347522158634]| 70.1214449684071468|      0.00390625|[260, 76, 24, 48]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      25|[-0.2077192255604842, -0.0500511164059448, -0.4686741198130679, 0.0017184494452213, 0.928607348485845, 0.0117039616002942, 0.0023738290777751, 0.1318925996972336, 0.3530212274218216]| 60.4078049749910448|      0.00781250|[270, 80, 25, 50]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      26|[-0.2077192255604842, -0.0500511164059448, -0.4686741198130679, 0.0017184494452213, 0.928607348485845, 0.0117039616002942, 0.0023738290777751, 0.1318925996972336, 0.3530212274218216]| 60.4078049749910448|      0.00390625|[280, 84, 26, 52]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      27|[-0.2077192255604842, -0.0500511164059448, -0.4686741198130679, 0.0017184494452213, 0.928607348485845, 0.0117039616002942, 0.0023738290777751, 0.1318925996972336, 0.3530212274218216]| 60.4078049749910448|      0.00195312|[291, 87, 27, 54]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      28|[-0.207492225012355, -0.0500708001279922, -0.4689703321232895, 7.09944500722e-05, 0.9293903118004944, 0.012189424229451, 0.0022191415639764, 0.1317536736195651, 0.3532838996048096]| 57.0459279605577549|      0.00390625|[302, 90, 28, 56]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      29|[-0.2065784368919414, -0.0491733818526325, -0.4697984933102902, 0.0009495877500348, 0.9314352787020835, 0.0138908895991822, 0.0009223475889559, 0.1329718138627994, 0.3518988980397125]| 54.0243858367524936|      0.00781250|[312, 94, 29, 58]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      30|[-0.2065784368919414, -0.0491733818526325, -0.4697984933102902, 0.0009495877500348, 0.9314352787020835, 0.0138908895991822, 0.0009223475889559, 0.1329718138627994, 0.3518988980397125]| 54.0243858367524936|      0.00390625|[323, 97, 30, 60]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      31|[-0.2065784368919414, -0.0491733818526325, -0.4697984933102902, 0.0009495877500348, 0.9314352787020835, 0.0138908895991822, 0.0009223475889559, 0.1329718138627994, 0.3518988980397125]| 54.0243858367524936|      0.00195312|[333, 101, 31, 62]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
