k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0430436835434767, 0.9511875870628876, 0.990131493324887, 0.9404467134308301, 0.8457810700720279, 0.8312936220653157, 0.6487137024582019, 0.0964109201963066]|68436.7430195946217282|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[1.0430436835434767, 0.9511875870628876, 0.990131493324887, 0.9404467134308301, 0.8457810700720279, 0.8312936220653157, 0.6487137024582019, 0.0964109201963066]|68436.7430195946217282|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[1.0430436835434767, 0.9511875870628876, 0.990131493324887, 0.9404467134308301, 0.8457810700720279, 0.8312936220653157, 0.6487137024582019, 0.0964109201963066]|68436.7430195946217282|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[1.0310899274459238, 0.9215023010389635, 0.9342799900076489, 0.9619545154151714, 0.821210044374103, 0.7317057731154699, 0.4469592019447505, -0.3442335647346945]|2331.2956560172788159|      1.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[1.0310899274459238, 0.9215023010389635, 0.9342799900076489, 0.9619545154151714, 0.821210044374103, 0.7317057731154699, 0.4469592019447505, -0.3442335647346945]|2331.2956560172788159|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[1.0310899274459238, 0.9215023010389635, 0.9342799900076489, 0.9619545154151714, 0.821210044374103, 0.7317057731154699, 0.4469592019447505, -0.3442335647346945]|2331.2956560172788159|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[1.0310899274459238, 0.9215023010389635, 0.9342799900076489, 0.9619545154151714, 0.821210044374103, 0.7317057731154699, 0.4469592019447505, -0.3442335647346945]|2331.2956560172788159|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[1.0384609128520599, 0.8829380732306518, 0.9950850523850804, 0.986151362843196, 0.8604683845939297, 0.7328562613289831, 0.4484521911322024, -0.253371273574644]|264.3790574908585427|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[1.0384609128520599, 0.8829380732306518, 0.9950850523850804, 0.986151362843196, 0.8604683845939297, 0.7328562613289831, 0.4484521911322024, -0.253371273574644]|264.3790574908585427|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[1.0384609128520599, 0.8829380732306518, 0.9950850523850804, 0.986151362843196, 0.8604683845939297, 0.7328562613289831, 0.4484521911322024, -0.253371273574644]|264.3790574908585427|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[1.0384609128520599, 0.8829380732306518, 0.9950850523850804, 0.986151362843196, 0.8604683845939297, 0.7328562613289831, 0.4484521911322024, -0.253371273574644]|264.3790574908585427|      0.03125000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[1.0384609128520599, 0.8829380732306518, 0.9950850523850804, 0.986151362843196, 0.8604683845939297, 0.7328562613289831, 0.4484521911322024, -0.253371273574644]|264.3790574908585427|      0.01562500|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[1.0354595711690762, 0.8821933174106803, 0.989137008130847, 0.9839607848794547, 0.8620479993394432, 0.7294458622438945, 0.442014612013398, -0.2651539566320114]|199.4457482249886198|      0.03125000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      14|[1.0354595711690762, 0.8821933174106803, 0.989137008130847, 0.9839607848794547, 0.8620479993394432, 0.7294458622438945, 0.442014612013398, -0.2651539566320114]|199.4457482249886198|      0.01562500|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[1.0354595711690762, 0.8821933174106803, 0.989137008130847, 0.9839607848794547, 0.8620479993394432, 0.7294458622438945, 0.442014612013398, -0.2651539566320114]|199.4457482249886198|      0.00781250|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[1.0354595711690762, 0.8821933174106803, 0.989137008130847, 0.9839607848794547, 0.8620479993394432, 0.7294458622438945, 0.442014612013398, -0.2651539566320114]|199.4457482249886198|      0.00390625|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[1.0354595711690762, 0.8821933174106803, 0.989137008130847, 0.9839607848794547, 0.8620479993394432, 0.7294458622438945, 0.442014612013398, -0.2651539566320114]|199.4457482249886198|      0.00195312|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[1.0353740177650594, 0.8811448685573167, 0.9897639100469235, 0.9834453066236536, 0.8614430843595492, 0.7294994794435234, 0.4414027831454457, -0.2640110316400166]|199.2282412329093120|      0.00390625|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[1.0353740177650594, 0.8811448685573167, 0.9897639100469235, 0.9834453066236536, 0.8614430843595492, 0.7294994794435234, 0.4414027831454457, -0.2640110316400166]|199.2282412329093120|      0.00195312|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[1.0353740177650594, 0.8811448685573167, 0.9897639100469235, 0.9834453066236536, 0.8614430843595492, 0.7294994794435234, 0.4414027831454457, -0.2640110316400166]|199.2282412329093120|      0.00097656|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
