k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1000.0088916975055, 1000.0026534772272, 399.9986519005923, 39.99750852916193, 0.6930687900476857, 0.3044581819806825, 0.0014602484743167]|1864452.4401209377683699|      0.06250000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[1000.0088916975055, 1000.0026534772272, 399.9986519005923, 39.99750852916193, 0.6930687900476857, 0.3044581819806825, 0.0014602484743167]|1864452.4401209377683699|      0.03125000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1000.005882720442, 1000.0087566379904, 399.9959865882739, 39.99394717002545, 0.6899054470786486, 0.3077565962591526, -0.0283656889222691]|1442799.0925651029683650|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[1000.005882720442, 1000.0087566379904, 399.9959865882739, 39.99394717002545, 0.6899054470786486, 0.3077565962591526, -0.0283656889222691]|1442799.0925651029683650|      0.03125000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[1000.0085442704093, 1000.0088565073712, 399.99811778284544, 39.995200399641284, 0.6969823523865997, 0.3049663879793686, -0.0584570207659101]|1391290.7246797252446413|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[1000.0085442704093, 1000.0088565073712, 399.99811778284544, 39.995200399641284, 0.6969823523865997, 0.3049663879793686, -0.0584570207659101]|1391290.7246797252446413|      0.03125000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
