k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.544469810619724, 4.547329847152769, -5.5248090381774775, -1.5587105267772077]|6929747.0000000000000000|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.975507240044145, 3.9825785781712146, -6.581457974351983, -1.2379216834583064]|5047058.5000000000000000|      4.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[22.153275116668866, 0.6362056043293758, -7.602606742109648, -2.9937626356341327]|3605941.0000000000000000|      8.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[22.153275116668866, 0.6362056043293758, -7.602606742109648, -2.9937626356341327]|3605941.0000000000000000|      4.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[22.153275116668866, 0.6362056043293758, -7.602606742109648, -2.9937626356341327]|3605941.0000000000000000|      2.00000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[20.66706508663595, 0.9660578427382864, -6.327546698757905, -2.755856912092132] |2904280.5000000000000000|      4.00000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[20.66706508663595, 0.9660578427382864, -6.327546698757905, -2.755856912092132] |2904280.5000000000000000|      2.00000000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[19.85300537520004, 1.3211158801486333, -5.72934742986801, -1.0666564470830815] |2446856.7500000000000000|      4.00000000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[19.016026143440598, 3.0518277451184757, -2.472160054361966, 0.2352009210260475]|1857227.5000000000000000|      8.00000000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[13.569887205206683, 3.1306668301152274, 1.2703698444564502, 4.7437289536082385]|1298891.2554632676765323|     16.00000000|[61, 20, 1, 21]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      11|[13.569887205206683, 3.1306668301152274, 1.2703698444564502, 4.7437289536082385]|1298891.2554632676765323|      8.00000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[13.569887205206683, 3.1306668301152274, 1.2703698444564502, 4.7437289536082385]|1298891.2554632676765323|      4.00000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[10.899092998419059, 5.351936956457777, -0.4826409369064497, 3.8164908335801364]|737234.2500000000000000|      8.00000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[10.899092998419059, 5.351936956457777, -0.4826409369064497, 3.8164908335801364]|737234.2500000000000000|      4.00000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[10.899092998419059, 5.351936956457777, -0.4826409369064497, 3.8164908335801364]|737234.2500000000000000|      2.00000000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[10.899092998419059, 5.351936956457777, -0.4826409369064497, 3.8164908335801364]|737234.2500000000000000|      1.00000000|[98, 32, 1, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[10.069042363263641, 5.646766295475921, -0.1060526846424326, 4.103323349500044] |687039.4766776163596660|      2.00000000|[104, 34, 2, 36]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      18|[8.419704643430359, 6.395015502312324, 0.3723634531147264, 4.80398461540345]    |608135.6875000000000000|      4.00000000|[111, 36, 2, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[8.419704643430359, 6.395015502312324, 0.3723634531147264, 4.80398461540345]    |608135.6875000000000000|      2.00000000|[117, 38, 2, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
