k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5139385218829882, 0.0722979465862224, 0.3274088314236489, 0.4873902895639762, 0.2051969843574093, -0.2169453773566008, 0.1620608408791114, -0.2350667946586495, -0.0820961611827696, -0.0894110801813663, -0.1990379009101364, -0.1475241897783789, 0.0771923398563565, 0.0243894819433352, -0.0859260104954806, 0.0311562857552733, 0.0307730044737101, 0.0970752837219509, 0.0068474360837779, 0.2777982325830011, -0.0386385483118506, -0.1873493787451997]| 13.5393342971801758|      2.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[1.3716147407987793, 0.4104516846829223, -0.084852024493608, 1.8271990026469558, 0.200045074585059, 0.050235554606923, -0.0407042832114057, 0.0143104839582462, -0.0024408181750228, -0.5096223176335029, -0.5374311472279073, 0.0988064190877876, 0.0875153820491834, 0.2194132320729073, -0.3989390273534598, -0.0534039756884654, 0.5931786178147096, -0.0759876685281242, -0.2440846378511161, 0.083434356171153, -0.1668236522529526, 0.0259018901609365]| 12.1621055603027344|      4.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[1.3716147407987793, 0.4104516846829223, -0.084852024493608, 1.8271990026469558, 0.200045074585059, 0.050235554606923, -0.0407042832114057, 0.0143104839582462, -0.0024408181750228, -0.5096223176335029, -0.5374311472279073, 0.0988064190877876, 0.0875153820491834, 0.2194132320729073, -0.3989390273534598, -0.0534039756884654, 0.5931786178147096, -0.0759876685281242, -0.2440846378511161, 0.083434356171153, -0.1668236522529526, 0.0259018901609365]| 12.1621055603027344|      2.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.3716147407987793, 0.4104516846829223, -0.084852024493608, 1.8271990026469558, 0.200045074585059, 0.050235554606923, -0.0407042832114057, 0.0143104839582462, -0.0024408181750228, -0.5096223176335029, -0.5374311472279073, 0.0988064190877876, 0.0875153820491834, 0.2194132320729073, -0.3989390273534598, -0.0534039756884654, 0.5931786178147096, -0.0759876685281242, -0.2440846378511161, 0.083434356171153, -0.1668236522529526, 0.0259018901609365]| 12.1621055603027344|      1.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.3716147407987793, 0.4104516846829223, -0.084852024493608, 1.8271990026469558, 0.200045074585059, 0.050235554606923, -0.0407042832114057, 0.0143104839582462, -0.0024408181750228, -0.5096223176335029, -0.5374311472279073, 0.0988064190877876, 0.0875153820491834, 0.2194132320729073, -0.3989390273534598, -0.0534039756884654, 0.5931786178147096, -0.0759876685281242, -0.2440846378511161, 0.083434356171153, -0.1668236522529526, 0.0259018901609365]| 12.1621055603027344|      0.50000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.3716147407987793, 0.4104516846829223, -0.084852024493608, 1.8271990026469558, 0.200045074585059, 0.050235554606923, -0.0407042832114057, 0.0143104839582462, -0.0024408181750228, -0.5096223176335029, -0.5374311472279073, 0.0988064190877876, 0.0875153820491834, 0.2194132320729073, -0.3989390273534598, -0.0534039756884654, 0.5931786178147096, -0.0759876685281242, -0.2440846378511161, 0.083434356171153, -0.1668236522529526, 0.0259018901609365]| 12.1621055603027344|      0.25000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.545289880997036, 0.4184191078444763, -0.0241813006411819, 1.9789378681422554, 0.1942321037913424, 0.0817322201591786, -0.0501544895013469, 0.0159905260897716, 0.0319177085677391, -0.5087451693670659, -0.544724485950692, 0.1179384623618584, 0.0816871576856294, 0.2064512387172964, -0.4038060994039547, -0.0492441518877715, 0.5935867210253688, -0.0690131706572215, -0.2405103458078037, 0.0446278141459802, -0.1960811935931278, 0.0123789642837417]| 12.1457319259643555|      0.50000000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[1.545289880997036, 0.4184191078444763, -0.0241813006411819, 1.9789378681422554, 0.1942321037913424, 0.0817322201591786, -0.0501544895013469, 0.0159905260897716, 0.0319177085677391, -0.5087451693670659, -0.544724485950692, 0.1179384623618584, 0.0816871576856294, 0.2064512387172964, -0.4038060994039547, -0.0492441518877715, 0.5935867210253688, -0.0690131706572215, -0.2405103458078037, 0.0446278141459802, -0.1960811935931278, 0.0123789642837417]| 12.1457319259643555|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.545289880997036, 0.4184191078444763, -0.0241813006411819, 1.9789378681422554, 0.1942321037913424, 0.0817322201591786, -0.0501544895013469, 0.0159905260897716, 0.0319177085677391, -0.5087451693670659, -0.544724485950692, 0.1179384623618584, 0.0816871576856294, 0.2064512387172964, -0.4038060994039547, -0.0492441518877715, 0.5935867210253688, -0.0690131706572215, -0.2405103458078037, 0.0446278141459802, -0.1960811935931278, 0.0123789642837417]| 12.1457319259643555|      0.12500000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.545289880997036, 0.4184191078444763, -0.0241813006411819, 1.9789378681422554, 0.1942321037913424, 0.0817322201591786, -0.0501544895013469, 0.0159905260897716, 0.0319177085677391, -0.5087451693670659, -0.544724485950692, 0.1179384623618584, 0.0816871576856294, 0.2064512387172964, -0.4038060994039547, -0.0492441518877715, 0.5935867210253688, -0.0690131706572215, -0.2405103458078037, 0.0446278141459802, -0.1960811935931278, 0.0123789642837417]| 12.1457319259643555|      0.06250000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.509087339322801, 0.4086346871715262, -0.0369242315968201, 1.9432391520582413, 0.208036500097354, 0.0742586376162823, -0.0544543423694733, 0.0254458785861128, 0.0416334139213113, -0.5238829663243382, -0.5432407092361871, 0.1241515259375149, 0.082626271741174, 0.1934802138917414, -0.3975663197791466, -0.0421728361053582, 0.5975902008924857, -0.069234023063088, -0.2393813443369041, 0.0424722669059233, -0.203819392060544, 0.010256342538767]| 12.1449613571166992|      0.12500000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[1.509087339322801, 0.4086346871715262, -0.0369242315968201, 1.9432391520582413, 0.208036500097354, 0.0742586376162823, -0.0544543423694733, 0.0254458785861128, 0.0416334139213113, -0.5238829663243382, -0.5432407092361871, 0.1241515259375149, 0.082626271741174, 0.1934802138917414, -0.3975663197791466, -0.0421728361053582, 0.5975902008924857, -0.069234023063088, -0.2393813443369041, 0.0424722669059233, -0.203819392060544, 0.010256342538767]| 12.1449613571166992|      0.06250000|[385, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      13|[1.509087339322801, 0.4086346871715262, -0.0369242315968201, 1.9432391520582413, 0.208036500097354, 0.0742586376162823, -0.0544543423694733, 0.0254458785861128, 0.0416334139213113, -0.5238829663243382, -0.5432407092361871, 0.1241515259375149, 0.082626271741174, 0.1934802138917414, -0.3975663197791466, -0.0421728361053582, 0.5975902008924857, -0.069234023063088, -0.2393813443369041, 0.0424722669059233, -0.203819392060544, 0.010256342538767]| 12.1449613571166992|      0.03125000|[417, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.509087339322801, 0.4086346871715262, -0.0369242315968201, 1.9432391520582413, 0.208036500097354, 0.0742586376162823, -0.0544543423694733, 0.0254458785861128, 0.0416334139213113, -0.5238829663243382, -0.5432407092361871, 0.1241515259375149, 0.082626271741174, 0.1934802138917414, -0.3975663197791466, -0.0421728361053582, 0.5975902008924857, -0.069234023063088, -0.2393813443369041, 0.0424722669059233, -0.203819392060544, 0.010256342538767]| 12.1449613571166992|      0.01562500|[449, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
