k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2673398389538739, 0.5019650727326417, 0.2628075976411518, 0.1747407575310588, 0.4938874593190223, 0.1358541630197561, 0.9215009210128885, 1.5141319653358865, 0.9482457297032377, 0.7723028798178618]| 45.5476226806640625|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.1546316179562497, 1.0377202695045282, 0.1631551519525676, -0.2817875133109741, -0.8263176276651667, 0.3218039507951265, 1.0200232037854802, 2.7473102867926382, 0.8844848518666021, 0.3601197936619814]| 31.5035419464111328|      4.00000000|[11, 5, 0, 5]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | iterate success | actual_k=1
       3|[0.1546316179562497, 1.0377202695045282, 0.1631551519525676, -0.2817875133109741, -0.8263176276651667, 0.3218039507951265, 1.0200232037854802, 2.7473102867926382, 0.8844848518666021, 0.3601197936619814]| 31.5035419464111328|      2.00000000|[23, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1546316179562497, 1.0377202695045282, 0.1631551519525676, -0.2817875133109741, -0.8263176276651667, 0.3218039507951265, 1.0200232037854802, 2.7473102867926382, 0.8844848518666021, 0.3601197936619814]| 31.5035419464111328|      1.00000000|[35, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.1546316179562497, 1.0377202695045282, 0.1631551519525676, -0.2817875133109741, -0.8263176276651667, 0.3218039507951265, 1.0200232037854802, 2.7473102867926382, 0.8844848518666021, 0.3601197936619814]| 31.5035419464111328|      0.50000000|[48, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1546316179562497, 1.0377202695045282, 0.1631551519525676, -0.2817875133109741, -0.8263176276651667, 0.3218039507951265, 1.0200232037854802, 2.7473102867926382, 0.8844848518666021, 0.3601197936619814]| 31.5035419464111328|      0.25000000|[60, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1546316179562497, 1.0377202695045282, 0.1631551519525676, -0.2817875133109741, -0.8263176276651667, 0.3218039507951265, 1.0200232037854802, 2.7473102867926382, 0.8844848518666021, 0.3601197936619814]| 31.5035419464111328|      0.12500000|[73, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.1338262509368926, 0.974003364315946, 0.1580154027566633, -0.2442753284962525, -0.9035974043004895, 0.3566931971564001, 1.0105812103187675, 2.7049172029748227, 0.8643310903143265, 0.3453960245918802]| 12.2483873367309570|      0.25000000|[77, 38, 0, 38]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.1338262509368926, 0.974003364315946, 0.1580154027566633, -0.2442753284962525, -0.9035974043004895, 0.3566931971564001, 1.0105812103187675, 2.7049172029748227, 0.8643310903143265, 0.3453960245918802]| 12.2483873367309570|      0.12500000|[89, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1338262509368926, 0.974003364315946, 0.1580154027566633, -0.2442753284962525, -0.9035974043004895, 0.3566931971564001, 1.0105812103187675, 2.7049172029748227, 0.8643310903143265, 0.3453960245918802]| 12.2483873367309570|      0.06250000|[102, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
