k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.6036905644854945, -0.8495650521657148, 20.014271106169545]                   |1098.5717598216508577|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[0.6036905644854945, -0.8495650521657148, 20.014271106169545]                   |1098.5717598216508577|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.6039115088675772, -1.099192802301883, 20.027906997982505]                    |305.0465186576670362|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.6039115088675772, -1.099192802301883, 20.027906997982505]                    |305.0465186576670362|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.6039115088675772, -1.099192802301883, 20.027906997982505]                    |305.0465186576670362|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6039115088675772, -1.099192802301883, 20.027906997982505]                    |305.0465186576670362|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.6039115088675772, -1.099192802301883, 20.027906997982505]                    |305.0465186576670362|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.634515840244677, -1.104305145942439, 20.02419198203886]                      |278.5176641794968759|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[0.634515840244677, -1.104305145942439, 20.02419198203886]                      |278.5176641794968759|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.6538475165085567, -1.1272457106543643, 20.032942941044965]                   |261.3794322763504283|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.6538475165085567, -1.1272457106543643, 20.032942941044965]                   |261.3794322763504283|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.6796864353734731, -1.1409080444981903, 20.043999767254693]                   |253.6967224226818303|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.7272594855509271, -1.1153132050773915, 20.012567950701445]                   |234.4060576677600523|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
