k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      0.50000000|[141, 48, 0, 3]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       2|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      0.25000000|[282, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[100.01941313253585, 0.0786683981156421, 0.368663004340882, 0.1088621303909427, 100.00786075062165, -0.0575132641277052, 0.2438354016167594, 0.8578480335058355, 100.01819834095873, 0.0106524577092491, 0.3306384218061544, 0.8948512043100586, 100.00053619016211, 0.0363340480530171, 0.3880464335022467, 0.7812152151376335, 100.01086365902351, 0.0413269530439673, 0.4056592991356117, 0.81213688872591, 100.02217887390002, 0.0818916501575539, 0.4850621855130838, 0.7843259147816257, 99.98837159058155, 0.0934237898819363, 0.4986171438265619, 0.7071728896832664, 99.98574955435099, 0.1134882319192005, 0.4967517738675267, 0.7051607701280755, 99.95722556234372, 0.1339701465683474, 0.5180588614868814, 0.6242495247938843, 99.9762992670881, 0.1832799214938664, 0.4659957302137607, 0.6337892242126997, 99.99701160849327, 0.2723649829690573, 0.6123266411748817, 0.529626539328049, 99.98835243261058, 0.3223466186266158, 0.6249645580867474, 0.5336247776702474, 100.01268963484314, 0.369248148931326, 0.5782908868403622, 0.5196835386689854, 100.00908585794366, 0.3972920824998794, 0.6403766985025763, 0.4060830824169199, 100.01076174525929, 0.4181204293589805, 0.6880371156350996, 0.3817559116364488, 99.9837520397584, 0.4256755951250648, 0.7423728625135286, 0.2966804512378265, 99.98758457380984, 0.3938378766908515, 0.7036837739485027, 0.2652030767808569, 99.97524481117954, 0.4550529901402238, 0.7331266130501652, 0.1956233671729858, 99.97856585094739, 0.4796089367042042, 0.8376814541999474, 0.1323892198459152, 100.00059591206794, 0.4960375114467355, 0.7923712313609137, 0.0223108457320316, 299.9769613506438, 299.99259120202225, 299.9926006233854, 300.0052514142074, 300.04717547692684, 299.9802406703559, 299.9980804039516, 300.0282579496603, 300.04790389208443, 300.02014157186056, 299.9512533327466, 299.9826099051746, 299.99433388031736, 299.98986262909267, 300.00257086451904, 299.99004340024044, 299.9990988186372, 299.98643196845904, 300.0050828011261]|826.9982910156250000|      0.50000000|[376, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | iterate success | actual_k=16
       4|[100.01941313253585, 0.0786683981156421, 0.368663004340882, 0.1088621303909427, 100.00786075062165, -0.0575132641277052, 0.2438354016167594, 0.8578480335058355, 100.01819834095873, 0.0106524577092491, 0.3306384218061544, 0.8948512043100586, 100.00053619016211, 0.0363340480530171, 0.3880464335022467, 0.7812152151376335, 100.01086365902351, 0.0413269530439673, 0.4056592991356117, 0.81213688872591, 100.02217887390002, 0.0818916501575539, 0.4850621855130838, 0.7843259147816257, 99.98837159058155, 0.0934237898819363, 0.4986171438265619, 0.7071728896832664, 99.98574955435099, 0.1134882319192005, 0.4967517738675267, 0.7051607701280755, 99.95722556234372, 0.1339701465683474, 0.5180588614868814, 0.6242495247938843, 99.9762992670881, 0.1832799214938664, 0.4659957302137607, 0.6337892242126997, 99.99701160849327, 0.2723649829690573, 0.6123266411748817, 0.529626539328049, 99.98835243261058, 0.3223466186266158, 0.6249645580867474, 0.5336247776702474, 100.01268963484314, 0.369248148931326, 0.5782908868403622, 0.5196835386689854, 100.00908585794366, 0.3972920824998794, 0.6403766985025763, 0.4060830824169199, 100.01076174525929, 0.4181204293589805, 0.6880371156350996, 0.3817559116364488, 99.9837520397584, 0.4256755951250648, 0.7423728625135286, 0.2966804512378265, 99.98758457380984, 0.3938378766908515, 0.7036837739485027, 0.2652030767808569, 99.97524481117954, 0.4550529901402238, 0.7331266130501652, 0.1956233671729858, 99.97856585094739, 0.4796089367042042, 0.8376814541999474, 0.1323892198459152, 100.00059591206794, 0.4960375114467355, 0.7923712313609137, 0.0223108457320316, 299.9769613506438, 299.99259120202225, 299.9926006233854, 300.0052514142074, 300.04717547692684, 299.9802406703559, 299.9980804039516, 300.0282579496603, 300.04790389208443, 300.02014157186056, 299.9512533327466, 299.9826099051746, 299.99433388031736, 299.98986262909267, 300.00257086451904, 299.99004340024044, 299.9990988186372, 299.98643196845904, 300.0050828011261]|826.9982910156250000|      0.25000000|[514, 176, 0, 11]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       5|[100.01941313253585, 0.0786683981156421, 0.368663004340882, 0.1088621303909427, 100.00786075062165, -0.0575132641277052, 0.2438354016167594, 0.8578480335058355, 100.01819834095873, 0.0106524577092491, 0.3306384218061544, 0.8948512043100586, 100.00053619016211, 0.0363340480530171, 0.3880464335022467, 0.7812152151376335, 100.01086365902351, 0.0413269530439673, 0.4056592991356117, 0.81213688872591, 100.02217887390002, 0.0818916501575539, 0.4850621855130838, 0.7843259147816257, 99.98837159058155, 0.0934237898819363, 0.4986171438265619, 0.7071728896832664, 99.98574955435099, 0.1134882319192005, 0.4967517738675267, 0.7051607701280755, 99.95722556234372, 0.1339701465683474, 0.5180588614868814, 0.6242495247938843, 99.9762992670881, 0.1832799214938664, 0.4659957302137607, 0.6337892242126997, 99.99701160849327, 0.2723649829690573, 0.6123266411748817, 0.529626539328049, 99.98835243261058, 0.3223466186266158, 0.6249645580867474, 0.5336247776702474, 100.01268963484314, 0.369248148931326, 0.5782908868403622, 0.5196835386689854, 100.00908585794366, 0.3972920824998794, 0.6403766985025763, 0.4060830824169199, 100.01076174525929, 0.4181204293589805, 0.6880371156350996, 0.3817559116364488, 99.9837520397584, 0.4256755951250648, 0.7423728625135286, 0.2966804512378265, 99.98758457380984, 0.3938378766908515, 0.7036837739485027, 0.2652030767808569, 99.97524481117954, 0.4550529901402238, 0.7331266130501652, 0.1956233671729858, 99.97856585094739, 0.4796089367042042, 0.8376814541999474, 0.1323892198459152, 100.00059591206794, 0.4960375114467355, 0.7923712313609137, 0.0223108457320316, 299.9769613506438, 299.99259120202225, 299.9926006233854, 300.0052514142074, 300.04717547692684, 299.9802406703559, 299.9980804039516, 300.0282579496603, 300.04790389208443, 300.02014157186056, 299.9512533327466, 299.9826099051746, 299.99433388031736, 299.98986262909267, 300.00257086451904, 299.99004340024044, 299.9990988186372, 299.98643196845904, 300.0050828011261]|826.9982910156250000|      0.12500000|[657, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[100.00901635106302, 0.1160917813339202, 0.3942363618776886, 0.109164823679151, 100.01411134225316, -0.0457965730119535, 0.2485295596460399, 0.8471084930130814, 100.03043945845839, -0.0147439663601802, 0.3347095851184045, 0.8897198813886499, 99.99390263160059, 0.0387581968216608, 0.3859382697386283, 0.7703220121697371, 99.98716749823465, 0.031752457228833, 0.4127886722828007, 0.8276632228194979, 100.03222753087528, 0.0661758895381655, 0.48888409849773, 0.7924327917495283, 99.99326905318668, 0.0904728828243567, 0.5092715180154458, 0.7098475208079145, 99.99714510722812, 0.1103751358631861, 0.4956562180956017, 0.7387419396779008, 99.94566613199333, 0.1350563093472944, 0.5249864591873471, 0.6342737049641988, 99.95982628256672, 0.1783957347816007, 0.4754598579164072, 0.6545642480738973, 100.00143890867638, 0.2628434555053633, 0.6016355436851456, 0.514074532675368, 99.98691243030811, 0.3230564896540569, 0.629302899138815, 0.561526576159072, 100.01895230052253, 0.3459903307971928, 0.569870330999884, 0.5288834986367428, 100.00894401105771, 0.3957576521208396, 0.6408672047033576, 0.4116166553408013, 100.01380124148967, 0.4086973452639011, 0.6995902361691759, 0.3844145997350557, 99.9879541450411, 0.4297721859339789, 0.714210116341846, 0.2934172181578565, 99.98764051342556, 0.4063700271002972, 0.7124814287407956, 0.2852644846681577, 99.99846251436576, 0.4482354020999277, 0.7433643829219319, 0.1921390391114796, 99.98117794267644, 0.4557618694828418, 0.8264445623730922, 0.1206369329671912, 100.01250870862171, 0.5130686755272728, 0.7799533816530291, 0.0268272152794554, 299.9762645227962, 299.9769964697277, 299.988961558508, 299.9945476483177, 300.0396984169652, 299.9717230691959, 299.9831072883372, 300.01752661425866, 300.03187700108793, 300.0202362519246, 299.94841866279654, 299.9744703664047, 299.9818816789743, 299.98462906748426, 299.9895273944004, 300.01676330822403, 300.0025910060335, 299.995036901849, 300.0004075419878]|649.3328857421875000|      0.25000000|[751, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[100.00901635106302, 0.1160917813339202, 0.3942363618776886, 0.109164823679151, 100.01411134225316, -0.0457965730119535, 0.2485295596460399, 0.8471084930130814, 100.03043945845839, -0.0147439663601802, 0.3347095851184045, 0.8897198813886499, 99.99390263160059, 0.0387581968216608, 0.3859382697386283, 0.7703220121697371, 99.98716749823465, 0.031752457228833, 0.4127886722828007, 0.8276632228194979, 100.03222753087528, 0.0661758895381655, 0.48888409849773, 0.7924327917495283, 99.99326905318668, 0.0904728828243567, 0.5092715180154458, 0.7098475208079145, 99.99714510722812, 0.1103751358631861, 0.4956562180956017, 0.7387419396779008, 99.94566613199333, 0.1350563093472944, 0.5249864591873471, 0.6342737049641988, 99.95982628256672, 0.1783957347816007, 0.4754598579164072, 0.6545642480738973, 100.00143890867638, 0.2628434555053633, 0.6016355436851456, 0.514074532675368, 99.98691243030811, 0.3230564896540569, 0.629302899138815, 0.561526576159072, 100.01895230052253, 0.3459903307971928, 0.569870330999884, 0.5288834986367428, 100.00894401105771, 0.3957576521208396, 0.6408672047033576, 0.4116166553408013, 100.01380124148967, 0.4086973452639011, 0.6995902361691759, 0.3844145997350557, 99.9879541450411, 0.4297721859339789, 0.714210116341846, 0.2934172181578565, 99.98764051342556, 0.4063700271002972, 0.7124814287407956, 0.2852644846681577, 99.99846251436576, 0.4482354020999277, 0.7433643829219319, 0.1921390391114796, 99.98117794267644, 0.4557618694828418, 0.8264445623730922, 0.1206369329671912, 100.01250870862171, 0.5130686755272728, 0.7799533816530291, 0.0268272152794554, 299.9762645227962, 299.9769964697277, 299.988961558508, 299.9945476483177, 300.0396984169652, 299.9717230691959, 299.9831072883372, 300.01752661425866, 300.03187700108793, 300.0202362519246, 299.94841866279654, 299.9744703664047, 299.9818816789743, 299.98462906748426, 299.9895273944004, 300.01676330822403, 300.0025910060335, 299.995036901849, 300.0004075419878]|649.3328857421875000|      0.12500000|[890, 304, 0, 19]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       8|[99.99560635667883, 0.1552557452335821, 0.3955407008198252, 0.1287040831378831, 100.01326913985947, -0.0366543039360376, 0.2480367586686028, 0.8365978300702066, 100.01742544845945, -0.0403973795354, 0.3149621651131043, 0.8756208403342578, 99.98401137197251, 0.0673318519790829, 0.39459133935563, 0.7739656197640763, 100.00359890608196, 0.0487110179215306, 0.4383084780871052, 0.8321011820238062, 100.03542531517888, 0.0689333184154449, 0.4951386831177784, 0.7716303281364871, 100.00219390425882, 0.1054611546935136, 0.5085649334584393, 0.7135008897702307, 100.00753089810166, 0.1031159695187389, 0.4710235255906601, 0.7371901120248932, 99.94025974487113, 0.1313927806674988, 0.5284837626321428, 0.6392179071235483, 99.96484919796563, 0.1841987724014078, 0.4498763710930588, 0.654856289442553, 99.99433378030538, 0.2602396698665835, 0.6209599648333418, 0.4968180065304134, 99.98997240282216, 0.2959587554989127, 0.623028751989282, 0.5568856948638539, 100.01980447542432, 0.3717141316196886, 0.5730968811477328, 0.5298087257785015, 100.00283736926878, 0.3851133308284317, 0.6368469563670284, 0.3945622653520423, 100.01606594968847, 0.396147525919341, 0.7121295877884881, 0.3763670011161838, 99.99433547417443, 0.4281071105569034, 0.6986396860571227, 0.309110781883895, 99.99823504081073, 0.409292696226635, 0.7060475975672621, 0.2926296696622935, 99.99498013323291, 0.4526023212835099, 0.7242611481236882, 0.1821608549657561, 99.97383056580436, 0.4357139665538817, 0.8274680877204488, 0.104723655256473, 100.0150434961366, 0.4956016666732201, 0.774874689621244, 0.0257750265140219, 299.99278096201726, 299.9784110038199, 299.9864967243035, 299.9947543852793, 300.0560172382443, 299.96891064763884, 299.9698212963099, 300.0307421760577, 300.0432470143317, 300.0247876265002, 299.9625861510941, 299.9870577938787, 299.98216609008034, 299.9945345590619, 300.0025049867314, 300.00569540397686, 299.992675178125, 299.98804537710686, 299.9957623671315]|541.5566406250000000|      0.25000000|[984, 336, 0, 21]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       9|[99.99560635667883, 0.1552557452335821, 0.3955407008198252, 0.1287040831378831, 100.01326913985947, -0.0366543039360376, 0.2480367586686028, 0.8365978300702066, 100.01742544845945, -0.0403973795354, 0.3149621651131043, 0.8756208403342578, 99.98401137197251, 0.0673318519790829, 0.39459133935563, 0.7739656197640763, 100.00359890608196, 0.0487110179215306, 0.4383084780871052, 0.8321011820238062, 100.03542531517888, 0.0689333184154449, 0.4951386831177784, 0.7716303281364871, 100.00219390425882, 0.1054611546935136, 0.5085649334584393, 0.7135008897702307, 100.00753089810166, 0.1031159695187389, 0.4710235255906601, 0.7371901120248932, 99.94025974487113, 0.1313927806674988, 0.5284837626321428, 0.6392179071235483, 99.96484919796563, 0.1841987724014078, 0.4498763710930588, 0.654856289442553, 99.99433378030538, 0.2602396698665835, 0.6209599648333418, 0.4968180065304134, 99.98997240282216, 0.2959587554989127, 0.623028751989282, 0.5568856948638539, 100.01980447542432, 0.3717141316196886, 0.5730968811477328, 0.5298087257785015, 100.00283736926878, 0.3851133308284317, 0.6368469563670284, 0.3945622653520423, 100.01606594968847, 0.396147525919341, 0.7121295877884881, 0.3763670011161838, 99.99433547417443, 0.4281071105569034, 0.6986396860571227, 0.309110781883895, 99.99823504081073, 0.409292696226635, 0.7060475975672621, 0.2926296696622935, 99.99498013323291, 0.4526023212835099, 0.7242611481236882, 0.1821608549657561, 99.97383056580436, 0.4357139665538817, 0.8274680877204488, 0.104723655256473, 100.0150434961366, 0.4956016666732201, 0.774874689621244, 0.0257750265140219, 299.99278096201726, 299.9784110038199, 299.9864967243035, 299.9947543852793, 300.0560172382443, 299.96891064763884, 299.9698212963099, 300.0307421760577, 300.0432470143317, 300.0247876265002, 299.9625861510941, 299.9870577938787, 299.98216609008034, 299.9945345590619, 300.0025049867314, 300.00569540397686, 299.992675178125, 299.98804537710686, 299.9957623671315]|541.5566406250000000|      0.12500000|[1124, 384, 0, 24]                                                         |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
      10|[99.99560635667883, 0.1552557452335821, 0.3955407008198252, 0.1287040831378831, 100.01326913985947, -0.0366543039360376, 0.2480367586686028, 0.8365978300702066, 100.01742544845945, -0.0403973795354, 0.3149621651131043, 0.8756208403342578, 99.98401137197251, 0.0673318519790829, 0.39459133935563, 0.7739656197640763, 100.00359890608196, 0.0487110179215306, 0.4383084780871052, 0.8321011820238062, 100.03542531517888, 0.0689333184154449, 0.4951386831177784, 0.7716303281364871, 100.00219390425882, 0.1054611546935136, 0.5085649334584393, 0.7135008897702307, 100.00753089810166, 0.1031159695187389, 0.4710235255906601, 0.7371901120248932, 99.94025974487113, 0.1313927806674988, 0.5284837626321428, 0.6392179071235483, 99.96484919796563, 0.1841987724014078, 0.4498763710930588, 0.654856289442553, 99.99433378030538, 0.2602396698665835, 0.6209599648333418, 0.4968180065304134, 99.98997240282216, 0.2959587554989127, 0.623028751989282, 0.5568856948638539, 100.01980447542432, 0.3717141316196886, 0.5730968811477328, 0.5298087257785015, 100.00283736926878, 0.3851133308284317, 0.6368469563670284, 0.3945622653520423, 100.01606594968847, 0.396147525919341, 0.7121295877884881, 0.3763670011161838, 99.99433547417443, 0.4281071105569034, 0.6986396860571227, 0.309110781883895, 99.99823504081073, 0.409292696226635, 0.7060475975672621, 0.2926296696622935, 99.99498013323291, 0.4526023212835099, 0.7242611481236882, 0.1821608549657561, 99.97383056580436, 0.4357139665538817, 0.8274680877204488, 0.104723655256473, 100.0150434961366, 0.4956016666732201, 0.774874689621244, 0.0257750265140219, 299.99278096201726, 299.9784110038199, 299.9864967243035, 299.9947543852793, 300.0560172382443, 299.96891064763884, 299.9698212963099, 300.0307421760577, 300.0432470143317, 300.0247876265002, 299.9625861510941, 299.9870577938787, 299.98216609008034, 299.9945345590619, 300.0025049867314, 300.00569540397686, 299.992675178125, 299.98804537710686, 299.9957623671315]|541.5566406250000000|      0.06250000|[1263, 432, 0, 27]                                                         |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
