k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8706141854287334, 0.0783211913224393, -0.3200234804576604, 0.3653514788198655]|  9.0968261998709306|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[0.8706141854287334, 0.0783211913224393, -0.3200234804576604, 0.3653514788198655]|  9.0968261998709306|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.8706141854287334, 0.0783211913224393, -0.3200234804576604, 0.3653514788198655]|  9.0968261998709306|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.8706141854287334, 0.0783211913224393, -0.3200234804576604, 0.3653514788198655]|  9.0968261998709306|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.6843610428369928, 0.2223283203937234, -0.2486576591469402, 0.320869648821611]|  8.6869950666238598|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[0.6843610428369928, 0.2223283203937234, -0.2486576591469402, 0.320869648821611]|  8.6869950666238598|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.6843610428369928, 0.2223283203937234, -0.2486576591469402, 0.320869648821611]|  8.6869950666238598|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.6682261891503481, 0.1588150826687837, -0.1698322684634536, 0.2493343923825546]|  8.6459558070381686|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[0.6682261891503481, 0.1588150826687837, -0.1698322684634536, 0.2493343923825546]|  8.6459558070381686|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.7839749114217174, 0.1429158219082672, -0.2081490774424417, 0.2718348134782198]|  8.5564393955908802|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[0.7647902648071268, 0.1719827239887563, -0.2171657708318116, 0.0244368268695195]|  8.4242964475504376|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[0.8585288518725781, 0.3534785159018872, 0.0026763854544766, -0.3754903929245245]|  7.7423521650188363|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[0.8585288518725781, 0.3534785159018872, 0.0026763854544766, -0.3754903929245245]|  7.7423521650188363|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[1.2255915051044795, 0.0667456455122463, -0.1627337498634134, -0.4509142404436727]|  6.5415246357019710|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
