k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.298475011203518, 9.47674876862496, 9.735898801488252, 10.023906113361676, -0.0313688974689475, 0.542360647369781, 0.5180959818982229, 0.0568976733908511]|1595.7091064453125000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[9.703923724408867, 9.198467510797474, 9.845787206106257, 10.470935900711527, 0.5914979812752204, 1.8040904570666951, 1.5922094732069993, 0.529668403385201]|1577.4925537109375000|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[8.30168018237976, 7.410137955556693, 8.06339757222091, 9.979532246980735, 1.7709043943886251, 3.1519133255831857, 0.6187978339333451, -1.2764445225265733]|1284.7156982421875000|      8.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[13.294900181587021, 4.664357206925947, 3.9171576053034878, 9.55849696274302, 0.344313031564905, 4.444107030364805, -2.2311946990481957, 0.250801567963713]|927.5104980468750000|     16.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[11.80736774641902, 3.3528684063131573, 9.881392631495345, -3.933804568972967, 5.18891368496959, 6.976070411784273, -3.4647737494804387, 1.9972931884152805]|592.8472290039062500|     32.00000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[11.80736774641902, 3.3528684063131573, 9.881392631495345, -3.933804568972967, 5.18891368496959, 6.976070411784273, -3.4647737494804387, 1.9972931884152805]|592.8472290039062500|     16.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[10.871872980587359, -3.1991516077746436, 10.386204519308414, -13.400138126940192, 8.538780639225731, 10.76488485402787, -5.787738284950452, -7.560776150279553]|431.2018432617187500|     32.00000000|[44, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | iterate success | actual_k=1
       8|[10.871872980587359, -3.1991516077746436, 10.386204519308414, -13.400138126940192, 8.538780639225731, 10.76488485402787, -5.787738284950452, -7.560776150279553]|431.2018432617187500|     16.00000000|[56, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.8046743502249303, -4.060469959419356, 9.53518371340135, -4.150240246609847, 10.034868261953239, 4.237567179129286, -2.2492836708788637, -0.7395757803295764]|128.2960968017578125|     32.00000000|[68, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | iterate success | actual_k=1
      10|[2.8046743502249303, -4.060469959419356, 9.53518371340135, -4.150240246609847, 10.034868261953239, 4.237567179129286, -2.2492836708788637, -0.7395757803295764]|128.2960968017578125|     16.00000000|[80, 39, 0, 39]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
