k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.2299827796527264, 0.3734570486674656, 0.403054209102207, 0.4026294192504762] |  0.0043049316861773|      0.06250000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[0.2299827796527264, 0.3734570486674656, 0.403054209102207, 0.4026294192504762] |  0.0043049316861773|      0.03125000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.221100304070135, 0.3563830723132329, 0.402186552548313, 0.3780247320733497]  |  0.0041725187268999|      0.06250000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[0.221100304070135, 0.3563830723132329, 0.402186552548313, 0.3780247320733497]  |  0.0041725187268999|      0.03125000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.221100304070135, 0.3563830723132329, 0.402186552548313, 0.3780247320733497]  |  0.0041725187268999|      0.01562500|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.2236975081319794, 0.3625235493429715, 0.3992668403187509, 0.3641984896913814]|  0.0035884012605585|      0.03125000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[0.2252206833265863, 0.3782123929842589, 0.4051836516016142, 0.3378718118385122]|  0.0027378466286203|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[0.2252206833265863, 0.3782123929842589, 0.4051836516016142, 0.3378718118385122]|  0.0027378466286203|      0.03125000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.2252206833265863, 0.3782123929842589, 0.4051836516016142, 0.3378718118385122]|  0.0027378466286203|      0.01562500|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
