k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00048828|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[-3.4999335755671606, 1.0001503364081459, -8.86359334138e-05, -0.0002583045101477, 1.6998667180244866, -0.0002887818446706, 0.0001558856876536, -0.0001066227139555]|2827.1700079950537656|      0.00097656|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[-3.4999335755671606, 1.0001503364081459, -8.86359334138e-05, -0.0002583045101477, 1.6998667180244866, -0.0002887818446706, 0.0001558856876536, -0.0001066227139555]|2827.1700079950537656|      0.00048828|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[-3.4999335755671606, 1.0001503364081459, -8.86359334138e-05, -0.0002583045101477, 1.6998667180244866, -0.0002887818446706, 0.0001558856876536, -0.0001066227139555]|2827.1700079950537656|      0.00024414|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[-3.4999335755671606, 1.0001503364081459, -8.86359334138e-05, -0.0002583045101477, 1.6998667180244866, -0.0002887818446706, 0.0001558856876536, -0.0001066227139555]|2827.1700079950537656|      0.00012207|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-3.4999335755671606, 1.0001503364081459, -8.86359334138e-05, -0.0002583045101477, 1.6998667180244866, -0.0002887818446706, 0.0001558856876536, -0.0001066227139555]|2827.1700079950537656|      0.00006104|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[-3.4999335755671606, 1.0001503364081459, -8.86359334138e-05, -0.0002583045101477, 1.6998667180244866, -0.0002887818446706, 0.0001558856876536, -0.0001066227139555]|2827.1700079950537656|      0.00003052|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[-3.499932174369237, 1.0001470404234907, -0.0001011695549191, -0.0002777462769945, 1.6998668983838738, -0.0003035730144717, 0.000150009880944, -0.000118028212625]|2630.3737862217703878|      0.00006104|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[-3.499953141282036, 1.0001701355581596, -9.34208643089e-05, -0.0003272745473277, 1.6998608222490295, -0.0002968838975531, 0.0001624878078026, -0.0001193844920621]|2133.6894105004680569|      0.00012207|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
