k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.4997539094993156, 1.5004721494826627, -1.0001509967208284, 0.0138127611506566, 0.0193555189744166]|  0.1648370063239958|      0.00781250|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[0.4997539094993156, 1.5004721494826627, -1.0001509967208284, 0.0138127611506566, 0.0193555189744166]|  0.1648370063239958|      0.00390625|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.4997539094993156, 1.5004721494826627, -1.0001509967208284, 0.0138127611506566, 0.0193555189744166]|  0.1648370063239958|      0.00195312|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[0.4996861309155035, 1.4990657139655532, -1.0008506103554378, 0.0149131859675006, 0.019718352889806]|  0.1588006001879543|      0.00390625|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[0.4996861309155035, 1.4990657139655532, -1.0008506103554378, 0.0149131859675006, 0.019718352889806]|  0.1588006001879543|      0.00195312|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.4996861309155035, 1.4990657139655532, -1.0008506103554378, 0.0149131859675006, 0.019718352889806]|  0.1588006001879543|      0.00097656|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.4996861309155035, 1.4990657139655532, -1.0008506103554378, 0.0149131859675006, 0.019718352889806]|  0.1588006001879543|      0.00048828|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.499664682585656, 1.4990569563696203, -1.000844015524067, 0.014541071754381, 0.0200335819705638]|  0.1529916649117250|      0.00097656|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[0.4992950509122988, 1.4990408459830147, -1.0008634614677236, 0.0149854202651653, 0.0208203242753497]|  0.1476416956896796|      0.00195312|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[0.4992950509122988, 1.4990408459830147, -1.0008634614677236, 0.0149854202651653, 0.0208203242753497]|  0.1476416956896796|      0.00097656|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[0.4992950509122988, 1.4990408459830147, -1.0008634614677236, 0.0149854202651653, 0.0208203242753497]|  0.1476416956896796|      0.00048828|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[0.4992370133679373, 1.499016244282077, -1.0009332467026582, 0.01477870029364, 0.0212525763467326]|  0.1457023176598487|      0.00097656|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[0.4992370133679373, 1.499016244282077, -1.0009332467026582, 0.01477870029364, 0.0212525763467326]|  0.1457023176598487|      0.00048828|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[0.4990704032843021, 1.4989861317638895, -1.000943112992029, 0.015207410573925, 0.0214133962686734]|  0.1439456370710726|      0.00097656|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[0.4990704032843021, 1.4989861317638895, -1.000943112992029, 0.015207410573925, 0.0214133962686734]|  0.1439456370710726|      0.00048828|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[0.4989630259168395, 1.4989737698722594, -1.000957503247801, 0.0149263242997643, 0.0217974786696123]|  0.1424524044077970|      0.00097656|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[0.4989630259168395, 1.4989737698722594, -1.000957503247801, 0.0149263242997643, 0.0217974786696123]|  0.1424524044077970|      0.00048828|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
