k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.25000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.12500000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.06250000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.9377051508613365, 10.005017940660235, 500.0006496478442]                     |  0.7195534110069275|      0.12500000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.9377051508613365, 10.005017940660235, 500.0006496478442]                     |  0.7195534110069275|      0.06250000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.8753705479239753, 10.009546911955418, 500.0002812789409]                     |  0.7169849872589111|      0.12500000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.8753705479239753, 10.009546911955418, 500.0002812789409]                     |  0.7169849872589111|      0.06250000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.813173670623441, 10.004083145390037, 500.00310009234045]                     |  0.7146152853965759|      0.12500000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.813173670623441, 10.004083145390037, 500.00310009234045]                     |  0.7146152853965759|      0.06250000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.7509184869396694, 10.00925114768784, 500.0050581160251]                      |  0.7124012708663940|      0.12500000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.7509184869396694, 10.00925114768784, 500.0050581160251]                      |  0.7124012708663940|      0.06250000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.6885592994415902, 10.011330967632205, 500.00869900651765]                    |  0.7103658914566040|      0.12500000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.6885592994415902, 10.011330967632205, 500.00869900651765]                    |  0.7103658914566040|      0.06250000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.6261854271409546, 10.014686633627226, 500.01081786468984]                    |  0.7085084319114685|      0.12500000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
