k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[113, 16, 1, 3]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[226, 32, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[339, 48, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[452, 64, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       5|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.03125000|[565, 80, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       6|[1.0182949146501943, 0.0213441717939847, 1.8861285164997588, 0.0145254829146801, 0.0224140159263151, 2.003525959632284, 0.4279844456427629, 0.0179854824469285, 2.1213497979908205, 0.8037561687082957, 0.0208493661332271, 2.162862222705091, 0.2189885985338995, 0.0229786019500537, 2.220751913150299, 2.690213762517227, 0.0201868319921064, 2.27834504298598, 0.8043467427271516, 0.0224622258017192, 2.3908657674721807, 2.268868137065036, 0.0194939817618896, 2.48772118523203, 14.355949987339777, 0.0399583276766348, 2.5552258316488135, 12.166090306068103, 0.0327410198061532, 2.704799969570431, 0.2764342407734354, 0.0199060820120782, 2.944688605923937, 0.2389571361634865, 0.0222753881151689, 2.9688902296838986, 1.1632587410021573, 0.0211557331271466, 3.12280837649708, 0.1776676195184031, 0.0217031664167922, 3.226179225929489, 0.1153655042730328, 0.0175758111631558, 3.253754713745964, 3.7484022911356165, 0.0216395162149041, 3.37888464332137, 0.833956576033047, 0.0208818731349815, 3.669528278463505, 0.155944700263494, 0.0201909383643847, 3.7200984816815996, 0.3845617378656017, 0.0187565674618431, 3.8323078147071548, 0.9217612893920732, 0.0192380683572473, 3.9591224309440647, 0.2628371578020427, 0.0227741264483279, 4.053413130947327, 2.0675465491150415, 0.0205376149496791, 4.177591661183838, 1.941692274150933, 0.0182837118238525, 4.431302785306654, 1.4816161517539297, 0.019851060526603, 4.559117340596934, 0.4807190999375721, 0.0218671259844831, 4.601450325922971, 0.4951330823675559, 0.0229662055864275, 4.707840297159369, 0.3296825194307945, 0.0178802970765467, 4.800040177035876, 0.8393877661586013, 0.0217025650297094, 4.967396868816232, 0.4589717089223062, 0.0189267602098285, 5.3988779272168825, 0.4907494420334133, 0.0200132640073683, 5.413838989339747, 0.985216236392226, 0.0204939431178749, 2.586022862161543, -0.0165842751259072, 0.0201551002824931, 3.8632692676869316, 0.2631866908918611, 0.0195663221961188, 5.1985212192304795]|2731446.6202327804639935|      0.06250000|[678, 96, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=8
       7|[1.0182949146501943, 0.0213441717939847, 1.8861285164997588, 0.0145254829146801, 0.0224140159263151, 2.003525959632284, 0.4279844456427629, 0.0179854824469285, 2.1213497979908205, 0.8037561687082957, 0.0208493661332271, 2.162862222705091, 0.2189885985338995, 0.0229786019500537, 2.220751913150299, 2.690213762517227, 0.0201868319921064, 2.27834504298598, 0.8043467427271516, 0.0224622258017192, 2.3908657674721807, 2.268868137065036, 0.0194939817618896, 2.48772118523203, 14.355949987339777, 0.0399583276766348, 2.5552258316488135, 12.166090306068103, 0.0327410198061532, 2.704799969570431, 0.2764342407734354, 0.0199060820120782, 2.944688605923937, 0.2389571361634865, 0.0222753881151689, 2.9688902296838986, 1.1632587410021573, 0.0211557331271466, 3.12280837649708, 0.1776676195184031, 0.0217031664167922, 3.226179225929489, 0.1153655042730328, 0.0175758111631558, 3.253754713745964, 3.7484022911356165, 0.0216395162149041, 3.37888464332137, 0.833956576033047, 0.0208818731349815, 3.669528278463505, 0.155944700263494, 0.0201909383643847, 3.7200984816815996, 0.3845617378656017, 0.0187565674618431, 3.8323078147071548, 0.9217612893920732, 0.0192380683572473, 3.9591224309440647, 0.2628371578020427, 0.0227741264483279, 4.053413130947327, 2.0675465491150415, 0.0205376149496791, 4.177591661183838, 1.941692274150933, 0.0182837118238525, 4.431302785306654, 1.4816161517539297, 0.019851060526603, 4.559117340596934, 0.4807190999375721, 0.0218671259844831, 4.601450325922971, 0.4951330823675559, 0.0229662055864275, 4.707840297159369, 0.3296825194307945, 0.0178802970765467, 4.800040177035876, 0.8393877661586013, 0.0217025650297094, 4.967396868816232, 0.4589717089223062, 0.0189267602098285, 5.3988779272168825, 0.4907494420334133, 0.0200132640073683, 5.413838989339747, 0.985216236392226, 0.0204939431178749, 2.586022862161543, -0.0165842751259072, 0.0201551002824931, 3.8632692676869316, 0.2631866908918611, 0.0195663221961188, 5.1985212192304795]|2731446.6202327804639935|      0.03125000|[791, 112, 7, 21]                                                          |  | used linear model with 129 points | iterate failure | actual_k=8
       8|[1.0197242160046378, 0.0222033609191114, 1.8860492509693167, 0.0128629598443861, 0.023933143884181, 2.003563377574463, 0.4269999450216077, 0.013571913626565, 2.1216290024883815, 0.806191603704251, 0.0231952590455929, 2.1660595692960043, 0.222518025496622, 0.0235774336168278, 2.220182042083991, 2.6899754878105173, 0.022618822837056, 2.277429589535427, 0.805444259231146, 0.0227523046589509, 2.3908158721179964, 2.2668232176319933, 0.022969865656156, 2.487126587041095, 14.354724002148728, 0.0576023950135984, 2.549654038753084, 12.162344927881886, 0.0468592460351349, 2.7091247783065446, 0.2755962977160591, 0.0227154091316643, 2.9455161548888653, 0.2374136173549435, 0.0228325153596977, 2.968669051672299, 1.1638833584525308, 0.0194334252811898, 3.1209529662707953, 0.1789551215985495, 0.0241471644187529, 3.2264904925230247, 0.1135421560861911, 0.0120113394018019, 3.2510388882843273, 3.7470322581233266, 0.0263093840769027, 3.378379721309815, 0.8313692655727967, 0.0220159806234489, 3.66735810391328, 0.1541771024815967, 0.0219254339189789, 3.719967622133369, 0.385226247292799, 0.0193295081282713, 3.83243646962603, 0.9210759749124741, 0.0162423278259022, 3.9591041235817293, 0.2617960322735564, 0.0214529244673402, 4.051739476369161, 2.065487270344783, 0.0204134960576317, 4.175961297144919, 1.939710757245997, 0.0189160711441224, 4.432602016921664, 1.4785855824080474, 0.0195490201096624, 4.5569367688323394, 0.477822570732528, 0.0250994859168192, 4.600124332426079, 0.4953799479828492, 0.0227151578102398, 4.707915658190164, 0.3342960905834531, 0.0226548676445754, 4.802408160558098, 0.8389999364592866, 0.0231385880359043, 4.968092994487005, 0.4596908842940134, 0.0200020048253149, 5.402210238885642, 0.4839063039627741, 0.0184642526445485, 5.411185829829551, 0.9814642038547573, 0.0215037661560469, 2.5860659560281087, -0.0155379611921224, 0.0199814080753707, 3.863685440159731, 0.2630782708218133, 0.0190414391274427, 5.198221964196536]|2232552.8034136700443923|      0.06250000|[904, 128, 8, 24]                                                          |  | used linear model with 129 points | iterate success | actual_k=8
       9|[1.0262470939637676, 0.0262066513072817, 1.8848149208178728, 0.0090048434154529, 0.0405802360650728, 1.996708714005389, 0.4290812584124459, 0.011690602691168, 2.116623368659375, 0.8044911541164175, 0.0290098204797103, 2.1575341617707138, 0.2181278310058057, 0.0189645862929517, 2.2288453430513835, 2.6872881033985374, 0.0290861954794987, 2.2800133143455423, 0.7960520209228497, 0.0361025332444089, 2.4009723059512154, 2.2558396143378787, 0.0219721093385736, 2.4828588666933378, 14.34860881141857, 0.0749929397354288, 2.5312767345331344, 12.159127193918163, 0.0620525771604484, 2.713211152367788, 0.2730380031483042, 0.0221178493592546, 2.9390711255279527, 0.2336115465838342, 0.0242652040736438, 2.963647224361522, 1.1614768158695203, 0.021640138745337, 3.1196039981534485, 0.186825332760602, 0.0222591209604345, 3.235806301655061, 0.1184633130496241, -0.003476387907993, 3.2522307010830156, 3.7500268504525747, 0.0257226837593238, 3.3776191933780373, 0.839436630033262, 0.015371733321553, 3.6629147665875834, 0.1501075149898163, 0.0248589814922619, 3.7217433726190694, 0.3899757644023105, 0.0225312963324357, 3.8381542287295765, 0.9174474660112466, 0.0298535766898183, 3.949753037969493, 0.2576962300698825, 0.0198919699149487, 4.046817830197132, 2.0655030170508546, 0.0272711681608799, 4.178042182617438, 1.9305802647914088, 0.0232095013436951, 4.425058870859519, 1.4817322635826848, 0.0273011062865466, 4.5566356137285995, 0.4765468771905179, 0.0259882345835667, 4.5959159278915696, 0.4927235282540512, 0.02464440586506, 4.712341054603315, 0.3394393823305601, 0.0254070853171924, 4.803047545549144, 0.8396204985613613, 0.0269116921445466, 4.968260330080651, 0.4548288450139819, 0.0208861115130959, 5.402717391107728, 0.4856466643619508, 0.0175492307356499, 5.417850595041366, 0.977482506667786, 0.0176761852338556, 2.5905398662934322, -0.0210300986316607, 0.0271848560922275, 3.866308586139565, 0.257728780447346, 0.0215977695399337, 5.204456237003944]|1913099.7862219053786248|      0.12500000|[1017, 144, 9, 27]                                                         |  | used linear model with 129 points | iterate success | actual_k=8
      10|[1.0262470939637676, 0.0262066513072817, 1.8848149208178728, 0.0090048434154529, 0.0405802360650728, 1.996708714005389, 0.4290812584124459, 0.011690602691168, 2.116623368659375, 0.8044911541164175, 0.0290098204797103, 2.1575341617707138, 0.2181278310058057, 0.0189645862929517, 2.2288453430513835, 2.6872881033985374, 0.0290861954794987, 2.2800133143455423, 0.7960520209228497, 0.0361025332444089, 2.4009723059512154, 2.2558396143378787, 0.0219721093385736, 2.4828588666933378, 14.34860881141857, 0.0749929397354288, 2.5312767345331344, 12.159127193918163, 0.0620525771604484, 2.713211152367788, 0.2730380031483042, 0.0221178493592546, 2.9390711255279527, 0.2336115465838342, 0.0242652040736438, 2.963647224361522, 1.1614768158695203, 0.021640138745337, 3.1196039981534485, 0.186825332760602, 0.0222591209604345, 3.235806301655061, 0.1184633130496241, -0.003476387907993, 3.2522307010830156, 3.7500268504525747, 0.0257226837593238, 3.3776191933780373, 0.839436630033262, 0.015371733321553, 3.6629147665875834, 0.1501075149898163, 0.0248589814922619, 3.7217433726190694, 0.3899757644023105, 0.0225312963324357, 3.8381542287295765, 0.9174474660112466, 0.0298535766898183, 3.949753037969493, 0.2576962300698825, 0.0198919699149487, 4.046817830197132, 2.0655030170508546, 0.0272711681608799, 4.178042182617438, 1.9305802647914088, 0.0232095013436951, 4.425058870859519, 1.4817322635826848, 0.0273011062865466, 4.5566356137285995, 0.4765468771905179, 0.0259882345835667, 4.5959159278915696, 0.4927235282540512, 0.02464440586506, 4.712341054603315, 0.3394393823305601, 0.0254070853171924, 4.803047545549144, 0.8396204985613613, 0.0269116921445466, 4.968260330080651, 0.4548288450139819, 0.0208861115130959, 5.402717391107728, 0.4856466643619508, 0.0175492307356499, 5.417850595041366, 0.977482506667786, 0.0176761852338556, 2.5905398662934322, -0.0210300986316607, 0.0271848560922275, 3.866308586139565, 0.257728780447346, 0.0215977695399337, 5.204456237003944]|1913099.7862219053786248|      0.06250000|[1130, 160, 10, 30]                                                        |  | used linear model with 129 points | iterate failure | actual_k=8
      11|[1.0262470939637676, 0.0262066513072817, 1.8848149208178728, 0.0090048434154529, 0.0405802360650728, 1.996708714005389, 0.4290812584124459, 0.011690602691168, 2.116623368659375, 0.8044911541164175, 0.0290098204797103, 2.1575341617707138, 0.2181278310058057, 0.0189645862929517, 2.2288453430513835, 2.6872881033985374, 0.0290861954794987, 2.2800133143455423, 0.7960520209228497, 0.0361025332444089, 2.4009723059512154, 2.2558396143378787, 0.0219721093385736, 2.4828588666933378, 14.34860881141857, 0.0749929397354288, 2.5312767345331344, 12.159127193918163, 0.0620525771604484, 2.713211152367788, 0.2730380031483042, 0.0221178493592546, 2.9390711255279527, 0.2336115465838342, 0.0242652040736438, 2.963647224361522, 1.1614768158695203, 0.021640138745337, 3.1196039981534485, 0.186825332760602, 0.0222591209604345, 3.235806301655061, 0.1184633130496241, -0.003476387907993, 3.2522307010830156, 3.7500268504525747, 0.0257226837593238, 3.3776191933780373, 0.839436630033262, 0.015371733321553, 3.6629147665875834, 0.1501075149898163, 0.0248589814922619, 3.7217433726190694, 0.3899757644023105, 0.0225312963324357, 3.8381542287295765, 0.9174474660112466, 0.0298535766898183, 3.949753037969493, 0.2576962300698825, 0.0198919699149487, 4.046817830197132, 2.0655030170508546, 0.0272711681608799, 4.178042182617438, 1.9305802647914088, 0.0232095013436951, 4.425058870859519, 1.4817322635826848, 0.0273011062865466, 4.5566356137285995, 0.4765468771905179, 0.0259882345835667, 4.5959159278915696, 0.4927235282540512, 0.02464440586506, 4.712341054603315, 0.3394393823305601, 0.0254070853171924, 4.803047545549144, 0.8396204985613613, 0.0269116921445466, 4.968260330080651, 0.4548288450139819, 0.0208861115130959, 5.402717391107728, 0.4856466643619508, 0.0175492307356499, 5.417850595041366, 0.977482506667786, 0.0176761852338556, 2.5905398662934322, -0.0210300986316607, 0.0271848560922275, 3.866308586139565, 0.257728780447346, 0.0215977695399337, 5.204456237003944]|1913099.7862219053786248|      0.03125000|[1243, 176, 11, 33]                                                        |  | used linear model with 129 points | iterate failure | actual_k=8
