k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[-0.0412016980815177, 0.1644637037701939, 0.0584938403397887, 0.0574597796126932, 0.0387518965160355, -0.0079827218035932, -0.023961603093445, 0.0184784164471857, 0.0702568137206585, 0.0970729393568605, -0.0111233723649144, 0.1003344712251893]| 17.1533058193365306|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[-0.0412016980815177, 0.1644637037701939, 0.0584938403397887, 0.0574597796126932, 0.0387518965160355, -0.0079827218035932, -0.023961603093445, 0.0184784164471857, 0.0702568137206585, 0.0970729393568605, -0.0111233723649144, 0.1003344712251893]| 17.1533058193365306|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[-0.0412016980815177, 0.1644637037701939, 0.0584938403397887, 0.0574597796126932, 0.0387518965160355, -0.0079827218035932, -0.023961603093445, 0.0184784164471857, 0.0702568137206585, 0.0970729393568605, -0.0111233723649144, 0.1003344712251893]| 17.1533058193365306|      0.12500000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[-0.0105367298845618, 0.2251809731402826, 0.0822351793552139, 0.0409087891783301, 0.08065372391044, -0.0635396756592166, -0.0494671086400096, 0.0244784433222431, 0.0303861393338166, 0.0675297787752279, -0.0526473473592786, 0.0792416394054413]| 11.5937977141157322|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[-0.0105367298845618, 0.2251809731402826, 0.0822351793552139, 0.0409087891783301, 0.08065372391044, -0.0635396756592166, -0.0494671086400096, 0.0244784433222431, 0.0303861393338166, 0.0675297787752279, -0.0526473473592786, 0.0792416394054413]| 11.5937977141157322|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[-0.0678173167041098, 0.2593325934964332, 0.1346261721249431, 0.0327349363285923, 0.0617493297043698, -0.0422837422433774, 0.0297178936091242, 0.0502594796982431, 0.0376025037648587, 0.06635632342922, -0.0746261441430666, 0.0884793632724894]|  9.9225643969634518|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[-0.0678173167041098, 0.2593325934964332, 0.1346261721249431, 0.0327349363285923, 0.0617493297043698, -0.0422837422433774, 0.0297178936091242, 0.0502594796982431, 0.0376025037648587, 0.06635632342922, -0.0746261441430666, 0.0884793632724894]|  9.9225643969634518|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[-0.0678173167041098, 0.2593325934964332, 0.1346261721249431, 0.0327349363285923, 0.0617493297043698, -0.0422837422433774, 0.0297178936091242, 0.0502594796982431, 0.0376025037648587, 0.06635632342922, -0.0746261441430666, 0.0884793632724894]|  9.9225643969634518|      0.06250000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[-0.0484402115030184, 0.2884452161963535, 0.1612295281964038, 0.0317951459345251, 0.0559606319953443, -0.0466791926973867, 0.013959846955554, 0.0308200573570994, 0.0275023035599868, 0.0635511137441979, -0.0981939573841113, 0.0633745831373351]|  7.8368092395874367|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
