k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0003557490298508, 0.0002782506656453, 0.0005856455198906, 0.0075987945429233, 0.0001840873192944, 0.000172038060298, -0.000438847896783, -0.001143335565081, 0.0009449638651165, 0.9994612323026407]|2739.1890778230304022|      0.01562500|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[0.0003557490298508, 0.0002782506656453, 0.0005856455198906, 0.0075987945429233, 0.0001840873192944, 0.000172038060298, -0.000438847896783, -0.001143335565081, 0.0009449638651165, 0.9994612323026407]|2739.1890778230304022|      0.00781250|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0003557490298508, 0.0002782506656453, 0.0005856455198906, 0.0075987945429233, 0.0001840873192944, 0.000172038060298, -0.000438847896783, -0.001143335565081, 0.0009449638651165, 0.9994612323026407]|2739.1890778230304022|      0.00390625|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.0005112389656347, -0.0007972544326855, 0.0003775812602536, 0.0040148105176061, -0.0007218090451102, -0.0003257233352037, -0.000514019232372, -0.0014222201933858, 0.000750487595327, 0.9994635734485686]|2704.1603139678877596|      0.00781250|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[0.0005112389656347, -0.0007972544326855, 0.0003775812602536, 0.0040148105176061, -0.0007218090451102, -0.0003257233352037, -0.000514019232372, -0.0014222201933858, 0.000750487595327, 0.9994635734485686]|2704.1603139678877596|      0.00390625|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.0005112389656347, -0.0007972544326855, 0.0003775812602536, 0.0040148105176061, -0.0007218090451102, -0.0003257233352037, -0.000514019232372, -0.0014222201933858, 0.000750487595327, 0.9994635734485686]|2704.1603139678877596|      0.00195312|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.0006373563317602, -0.0001926375032837, 0.0003382864616131, 0.0053298021101336, -0.0009573056359819, -0.0004736757755529, -0.0007599778187201, -0.0007529790749868, -0.0002858844016418, 0.9992569620043639]|2701.4353259485806120|      0.00390625|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[0.0006373563317602, -0.0001926375032837, 0.0003382864616131, 0.0053298021101336, -0.0009573056359819, -0.0004736757755529, -0.0007599778187201, -0.0007529790749868, -0.0002858844016418, 0.9992569620043639]|2701.4353259485806120|      0.00195312|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.0006373563317602, -0.0001926375032837, 0.0003382864616131, 0.0053298021101336, -0.0009573056359819, -0.0004736757755529, -0.0007599778187201, -0.0007529790749868, -0.0002858844016418, 0.9992569620043639]|2701.4353259485806120|      0.00097656|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.0006373563317602, -0.0001926375032837, 0.0003382864616131, 0.0053298021101336, -0.0009573056359819, -0.0004736757755529, -0.0007599778187201, -0.0007529790749868, -0.0002858844016418, 0.9992569620043639]|2701.4353259485806120|      0.00048828|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[0.0006160405566045, -0.0001868973508228, 0.0003647516906224, 0.004847071100105, -0.0009511094074618, -0.0005201957953795, -0.000746584448839, -0.000777247241077, -0.0003133187715175, 0.9992350952554986]|2700.2722167011038437|      0.00097656|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[0.0006160405566045, -0.0001868973508228, 0.0003647516906224, 0.004847071100105, -0.0009511094074618, -0.0005201957953795, -0.000746584448839, -0.000777247241077, -0.0003133187715175, 0.9992350952554986]|2700.2722167011038437|      0.00048828|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[0.0006160405566045, -0.0001868973508228, 0.0003647516906224, 0.004847071100105, -0.0009511094074618, -0.0005201957953795, -0.000746584448839, -0.000777247241077, -0.0003133187715175, 0.9992350952554986]|2700.2722167011038437|      0.00024414|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[0.0006160405566045, -0.0001868973508228, 0.0003647516906224, 0.004847071100105, -0.0009511094074618, -0.0005201957953795, -0.000746584448839, -0.000777247241077, -0.0003133187715175, 0.9992350952554986]|2700.2722167011038437|      0.00012207|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[0.0005321414141755, -0.0001820068717817, 0.0003889369698246, 0.0048394910029366, -0.0009585763836104, -0.0004972781940714, -0.0007018907189253, -0.0007333304539981, -0.0003482286577842, 0.9991967558934473]|2700.2399644743732097|      0.00024414|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[0.0003721711436572, -9.31359323976e-05, 0.0003383611743533, 0.00487123720932, -0.0009374234978136, -0.0004584093215164, -0.0006626276538616, -0.0007900858523051, -0.0004652089067605, 0.9991504416974115]|2700.1961328098764170|      0.00048828|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[0.0003721711436572, -9.31359323976e-05, 0.0003383611743533, 0.00487123720932, -0.0009374234978136, -0.0004584093215164, -0.0006626276538616, -0.0007900858523051, -0.0004652089067605, 0.9991504416974115]|2700.1961328098764170|      0.00024414|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[0.0003721711436572, -9.31359323976e-05, 0.0003383611743533, 0.00487123720932, -0.0009374234978136, -0.0004584093215164, -0.0006626276538616, -0.0007900858523051, -0.0004652089067605, 0.9991504416974115]|2700.1961328098764170|      0.00012207|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[0.0003517566034899, -5.62355274616e-05, 0.0003394060033194, 0.0048033214218058, -0.000915986572898, -0.0004507319523301, -0.0006269786600768, -0.0007915301679132, -0.0004954100679015, 0.9990742472664421]|2700.1742096043381025|      0.00024414|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[0.0003279331334774, -0.0001728697701684, 0.0003183579291703, 0.0049250145606921, -0.0009446805416379, -0.0004391050131041, -0.0004925840000235, -0.0007458379053206, -0.000523603418694, 0.99898326266937]|2700.1396353192958486|      0.00048828|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      28|[0.0003279331334774, -0.0001728697701684, 0.0003183579291703, 0.0049250145606921, -0.0009446805416379, -0.0004391050131041, -0.0004925840000235, -0.0007458379053206, -0.000523603418694, 0.99898326266937]|2700.1396353192958486|      0.00024414|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[0.0003279331334774, -0.0001728697701684, 0.0003183579291703, 0.0049250145606921, -0.0009446805416379, -0.0004391050131041, -0.0004925840000235, -0.0007458379053206, -0.000523603418694, 0.99898326266937]|2700.1396353192958486|      0.00012207|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[0.0003147362781243, -0.0001790427747753, 0.0003345614963811, 0.0048190939636941, -0.0009501994250173, -0.0004147614069449, -0.0004544222789042, -0.0007516758432782, -0.0005349026119298, 0.998952181641761]|2700.1012921842998367|      0.00024414|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[0.0002899207872838, -0.0001760393467509, 0.0004612222846083, 0.0047972332425654, -0.0008960593244219, -0.0003204198556816, -0.0003844392531979, -0.000831550038546, -0.0006146518105898, 0.9988382077641557]|2700.0226086895891058|      0.00048828|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[0.0002899207872838, -0.0001760393467509, 0.0004612222846083, 0.0047972332425654, -0.0008960593244219, -0.0003204198556816, -0.0003844392531979, -0.000831550038546, -0.0006146518105898, 0.9988382077641557]|2700.0226086895891058|      0.00024414|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      33|[0.0001945708003918, -0.0002506019695484, 0.0005453874073859, 0.0048775979916614, -0.0008729682437134, -0.0002187515362841, -0.0002874089165985, -0.0008930340531964, -0.0006561563118323, 0.9987632161633707]|2699.9376616642516638|      0.00048828|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      34|[0.0001945708003918, -0.0002506019695484, 0.0005453874073859, 0.0048775979916614, -0.0008729682437134, -0.0002187515362841, -0.0002874089165985, -0.0008930340531964, -0.0006561563118323, 0.9987632161633707]|2699.9376616642516638|      0.00024414|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[0.0002162152618695, -0.0002672453252068, 0.0006051804336602, 0.0048474215026863, -0.0008399682826711, -3.97881495384e-05, -0.0001770017939934, -0.0009232577096378, -0.0006380417144012, 0.9986747565550613]|2699.8602426530551384|      0.00048828|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      36|[0.0002162152618695, -0.0002672453252068, 0.0006051804336602, 0.0048474215026863, -0.0008399682826711, -3.97881495384e-05, -0.0001770017939934, -0.0009232577096378, -0.0006380417144012, 0.9986747565550613]|2699.8602426530551384|      0.00024414|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      37|[0.0002162152618695, -0.0002672453252068, 0.0006051804336602, 0.0048474215026863, -0.0008399682826711, -3.97881495384e-05, -0.0001770017939934, -0.0009232577096378, -0.0006380417144012, 0.9986747565550613]|2699.8602426530551384|      0.00012207|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[0.0001988889702467, -0.0002185289623226, 0.0006390214485503, 0.0048984860302833, -0.000794075395506, -5.3226679881e-06, -0.0001661992432545, -0.0009751442568751, -0.000633528676092, 0.9986262635285524]|2699.8468778773230952|      0.00024414|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      39|[0.0001988889702467, -0.0002185289623226, 0.0006390214485503, 0.0048984860302833, -0.000794075395506, -5.3226679881e-06, -0.0001661992432545, -0.0009751442568751, -0.000633528676092, 0.9986262635285524]|2699.8468778773230952|      0.00012207|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      40|[0.0002237372718476, -0.0001830525081306, 0.0006939276288293, 0.0048166848421719, -0.0008297920702581, -1.00858743805e-05, -0.0001601208916544, -0.0009648121247717, -0.000676106378764, 0.9986182577667025]|2699.8233736663873970|      0.00024414|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      41|[0.0002237372718476, -0.0001830525081306, 0.0006939276288293, 0.0048166848421719, -0.0008297920702581, -1.00858743805e-05, -0.0001601208916544, -0.0009648121247717, -0.000676106378764, 0.9986182577667025]|2699.8233736663873970|      0.00012207|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      42|[0.0002237372718476, -0.0001830525081306, 0.0006939276288293, 0.0048166848421719, -0.0008297920702581, -1.00858743805e-05, -0.0001601208916544, -0.0009648121247717, -0.000676106378764, 0.9986182577667025]|2699.8233736663873970|      0.00006104|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      43|[0.0002174431763383, -0.0001765510238586, 0.0007193658247079, 0.0048498248803146, -0.0008209642462253, 4.7375128091e-06, -0.0001317834839432, -0.0009745122459168, -0.0006862441882714, 0.998593752625768]|2699.8007355039130744|      0.00012207|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      44|[0.0002265360512199, -0.0001065767560748, 0.0007640892404135, 0.0048330582020861, -0.0008272606256634, 5.70439665304e-05, -6.94261291341e-05, -0.0009956914786429, -0.0007066811337316, 0.9986042644964319]|2699.7719035980485387|      0.00024414|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      45|[0.0001166398926132, -5.00935846703e-05, 0.0008548554439345, 0.0048877268687619, -0.0008488065763744, 0.0001078844967462, 6.4006566432e-05, -0.0010957420882837, -0.0007533550209332, 0.9986125177165629]|2699.7280006268351826|      0.00048828|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      46|[0.0001166398926132, -5.00935846703e-05, 0.0008548554439345, 0.0048877268687619, -0.0008488065763744, 0.0001078844967462, 6.4006566432e-05, -0.0010957420882837, -0.0007533550209332, 0.9986125177165629]|2699.7280006268351826|      0.00024414|[690, 92, 46, 92]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      47|[0.0001368152945832, -0.0001904116022491, 0.0008502077439203, 0.0048632768170792, -0.0009325323152941, 0.0001343381335592, 0.0002349085296046, -0.0011039207586546, -0.0007871600179744, 0.9986401239111987]|2699.6886172478148183|      0.00048828|[705, 94, 47, 94]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      48|[0.0001368152945832, -0.0001904116022491, 0.0008502077439203, 0.0048632768170792, -0.0009325323152941, 0.0001343381335592, 0.0002349085296046, -0.0011039207586546, -0.0007871600179744, 0.9986401239111987]|2699.6886172478148183|      0.00024414|[720, 96, 48, 96]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      49|[0.0001368152945832, -0.0001904116022491, 0.0008502077439203, 0.0048632768170792, -0.0009325323152941, 0.0001343381335592, 0.0002349085296046, -0.0011039207586546, -0.0007871600179744, 0.9986401239111987]|2699.6886172478148183|      0.00012207|[735, 98, 49, 98]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      50|[0.0001193423107026, -0.0001810700546047, 0.0008638165586555, 0.0048230440266107, -0.0009298879859869, 0.0001801905101114, 0.0002783515738691, -0.0011186881410039, -0.0008368240531208, 0.9985625134011374]|2699.6442223225999442|      0.00024414|[750, 100, 50, 100]                                                        |  | used linear model with 17 points | iterate success | actual_k=2
