k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[76, 5, 1, 6]                                                              |  | used linear model with 81 points | iterate failure | actual_k=1
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[152, 10, 2, 12]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[228, 15, 3, 18]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[304, 20, 4, 24]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[380, 25, 5, 30]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       6|[1.0176475470461988, 0.0197439693194267, 0.0080237071045946, 0.0179474899531057, 0.4310645034864438, 0.017910762019501, 0.7972029367714557, 0.0172856871360382, 0.219339708876361, 0.0186219135001843, 2.690743301868705, 0.0222620281826693, 0.8037287915170686, 0.0218961854947666, 2.2645783276911633, 0.0203004846057282, 14.353333694083558, 0.035760662239572, 12.159227381646005, 0.0312700357236836, 0.2780295160844554, 0.0243867870231384, 0.2378876128145087, 0.0168018010136002, 1.1660186158446924, 0.0188912354892456, 0.1745353789109522, 0.0183278914823819, 0.1220538966064457, 0.019690470195043, 3.740762635638804, 0.0195349947719005, 0.8372471395883259, 0.0212075630122322, 0.1591941248674663, 0.0183384564286997, 0.3843974715662286, 0.0199492623620703, 0.9258106506641179, 0.0225127850272226, 0.2573652331217827, 0.0176507661858998, 2.0689076631791963, 0.017756999851907, 1.9474636564664678, 0.0204643063418879, 1.4864638172080369, 0.0259154356749757, 0.4828435324987084, 0.0160644751974988, 0.4978163069466079, 0.016604306247923, 0.333300697682408, 0.0193742283879808, 0.8449194324869769, 0.0208923929859412, 0.4605291860804108, 0.0194735010756437, 0.4950539316839935, 0.016901368132478, 0.9906100094137001, 0.0220653303759263, -0.0135405095728972, 0.0158427832123321, 0.2690158578467082, 0.0255355816631244]|2462312.9854496452026069|      0.06250000|[456, 30, 6, 36]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       7|[1.0176475470461988, 0.0197439693194267, 0.0080237071045946, 0.0179474899531057, 0.4310645034864438, 0.017910762019501, 0.7972029367714557, 0.0172856871360382, 0.219339708876361, 0.0186219135001843, 2.690743301868705, 0.0222620281826693, 0.8037287915170686, 0.0218961854947666, 2.2645783276911633, 0.0203004846057282, 14.353333694083558, 0.035760662239572, 12.159227381646005, 0.0312700357236836, 0.2780295160844554, 0.0243867870231384, 0.2378876128145087, 0.0168018010136002, 1.1660186158446924, 0.0188912354892456, 0.1745353789109522, 0.0183278914823819, 0.1220538966064457, 0.019690470195043, 3.740762635638804, 0.0195349947719005, 0.8372471395883259, 0.0212075630122322, 0.1591941248674663, 0.0183384564286997, 0.3843974715662286, 0.0199492623620703, 0.9258106506641179, 0.0225127850272226, 0.2573652331217827, 0.0176507661858998, 2.0689076631791963, 0.017756999851907, 1.9474636564664678, 0.0204643063418879, 1.4864638172080369, 0.0259154356749757, 0.4828435324987084, 0.0160644751974988, 0.4978163069466079, 0.016604306247923, 0.333300697682408, 0.0193742283879808, 0.8449194324869769, 0.0208923929859412, 0.4605291860804108, 0.0194735010756437, 0.4950539316839935, 0.016901368132478, 0.9906100094137001, 0.0220653303759263, -0.0135405095728972, 0.0158427832123321, 0.2690158578467082, 0.0255355816631244]|2462312.9854496452026069|      0.03125000|[532, 35, 7, 42]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       8|[1.0234735907647683, 0.0188361750033198, 0.0155805207342588, 0.0150484841065483, 0.4296715629123177, 0.0199587822543029, 0.8007904267689927, 0.0177834047128031, 0.2220794075817958, 0.0222881383552132, 2.6823875061118616, 0.0212177556002809, 0.8036786738722187, 0.0299091586135829, 2.2659221438358177, 0.0181616435214076, 14.357135076812611, 0.0457528708577779, 12.160314180861315, 0.0421061231510188, 0.2803876713936679, 0.0233224622065273, 0.2382823825166411, 0.0193272551487671, 1.1709310167443001, 0.018433329450444, 0.1718939218047099, 0.0141668869183128, 0.1226696710016836, 0.0185337905589208, 3.7429868376765976, 0.023026161696216, 0.8399191837564337, 0.022909637590568, 0.1627889039655759, 0.0165077341747834, 0.3809001987540644, 0.0238327454919738, 0.9287013178460356, 0.024159035042288, 0.2618365807653984, 0.0154681298489924, 2.066622604676419, 0.0137132872375571, 1.9508755984806267, 0.0160651923637098, 1.4917836591381741, 0.0203177768516266, 0.4849659416874679, 0.0146868241501302, 0.4951582841922244, 0.0121823719107435, 0.3339226496863966, 0.0118751980710755, 0.8425115088320778, 0.0242976685466383, 0.4622859004746936, 0.0156476756992177, 0.4989533068104388, 0.0148663105852745, 0.9882995424722841, 0.020784985128574, -0.0160255471778, 0.0144140336615789, 0.2734637366395543, 0.0260299729493544]|2140535.6052388362586498|      0.06250000|[608, 40, 8, 48]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       9|[1.0234735907647683, 0.0188361750033198, 0.0155805207342588, 0.0150484841065483, 0.4296715629123177, 0.0199587822543029, 0.8007904267689927, 0.0177834047128031, 0.2220794075817958, 0.0222881383552132, 2.6823875061118616, 0.0212177556002809, 0.8036786738722187, 0.0299091586135829, 2.2659221438358177, 0.0181616435214076, 14.357135076812611, 0.0457528708577779, 12.160314180861315, 0.0421061231510188, 0.2803876713936679, 0.0233224622065273, 0.2382823825166411, 0.0193272551487671, 1.1709310167443001, 0.018433329450444, 0.1718939218047099, 0.0141668869183128, 0.1226696710016836, 0.0185337905589208, 3.7429868376765976, 0.023026161696216, 0.8399191837564337, 0.022909637590568, 0.1627889039655759, 0.0165077341747834, 0.3809001987540644, 0.0238327454919738, 0.9287013178460356, 0.024159035042288, 0.2618365807653984, 0.0154681298489924, 2.066622604676419, 0.0137132872375571, 1.9508755984806267, 0.0160651923637098, 1.4917836591381741, 0.0203177768516266, 0.4849659416874679, 0.0146868241501302, 0.4951582841922244, 0.0121823719107435, 0.3339226496863966, 0.0118751980710755, 0.8425115088320778, 0.0242976685466383, 0.4622859004746936, 0.0156476756992177, 0.4989533068104388, 0.0148663105852745, 0.9882995424722841, 0.020784985128574, -0.0160255471778, 0.0144140336615789, 0.2734637366395543, 0.0260299729493544]|2140535.6052388362586498|      0.03125000|[684, 45, 9, 54]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
      10|[1.0233797748510065, 0.0221691669171908, 0.0181365868310733, 0.0161856018393948, 0.427917063091826, 0.0229422517272257, 0.7993669459204755, 0.0148677209792862, 0.2211886560103679, 0.0217689201712679, 2.6851123979057374, 0.0254395512035192, 0.8055327941603299, 0.0314632314706659, 2.2620502499259723, 0.0206806871954027, 14.359721474013748, 0.0636602053216082, 12.162008027857414, 0.055523531658963, 0.2843564934248194, 0.0203839233915758, 0.2405474823406234, 0.0186216230117405, 1.171859695530354, 0.0150814122216129, 0.1722664607335138, 0.0170183745312297, 0.1213735527548286, 0.0159864838911741, 3.7422529094185415, 0.0269313405077615, 0.8422516496128413, 0.0225575030792529, 0.1657803073208122, 0.0145996282990918, 0.3816483526868921, 0.026015451395431, 0.9269012230351578, 0.0267431649620252, 0.2662445541542928, 0.0138021375244686, 2.069155753084805, 0.016319999320228, 1.9534711208934288, 0.0247400249077372, 1.4913687960849062, 0.0225024363776762, 0.4856082238210468, 0.0111482320313222, 0.4984039342753167, 0.0150871652143781, 0.3370497776691119, 0.010828267909204, 0.8492220480571546, 0.021502170245516, 0.4640501087644205, 0.0140507859410352, 0.5025999436919429, 0.0137947675887101, 0.9855710883647042, 0.0179960474147841, -0.0180706667727985, 0.0160983593632906, 0.2722998105420336, 0.027419513693264]|1837400.2027174176182598|      0.06250000|[760, 50, 10, 60]                                                          |  | used linear model with 81 points | iterate success | actual_k=1
      11|[1.0233797748510065, 0.0221691669171908, 0.0181365868310733, 0.0161856018393948, 0.427917063091826, 0.0229422517272257, 0.7993669459204755, 0.0148677209792862, 0.2211886560103679, 0.0217689201712679, 2.6851123979057374, 0.0254395512035192, 0.8055327941603299, 0.0314632314706659, 2.2620502499259723, 0.0206806871954027, 14.359721474013748, 0.0636602053216082, 12.162008027857414, 0.055523531658963, 0.2843564934248194, 0.0203839233915758, 0.2405474823406234, 0.0186216230117405, 1.171859695530354, 0.0150814122216129, 0.1722664607335138, 0.0170183745312297, 0.1213735527548286, 0.0159864838911741, 3.7422529094185415, 0.0269313405077615, 0.8422516496128413, 0.0225575030792529, 0.1657803073208122, 0.0145996282990918, 0.3816483526868921, 0.026015451395431, 0.9269012230351578, 0.0267431649620252, 0.2662445541542928, 0.0138021375244686, 2.069155753084805, 0.016319999320228, 1.9534711208934288, 0.0247400249077372, 1.4913687960849062, 0.0225024363776762, 0.4856082238210468, 0.0111482320313222, 0.4984039342753167, 0.0150871652143781, 0.3370497776691119, 0.010828267909204, 0.8492220480571546, 0.021502170245516, 0.4640501087644205, 0.0140507859410352, 0.5025999436919429, 0.0137947675887101, 0.9855710883647042, 0.0179960474147841, -0.0180706667727985, 0.0160983593632906, 0.2722998105420336, 0.027419513693264]|1837400.2027174176182598|      0.03125000|[836, 55, 11, 66]                                                          |  | used linear model with 81 points | iterate failure | actual_k=1
