k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.4588524425434377, -1.0791705458979821, 19.97825247214334]                    |495.8408287899243874|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.4588524425434377, -1.0791705458979821, 19.97825247214334]                    |495.8408287899243874|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4588524425434377, -1.0791705458979821, 19.97825247214334]                    |495.8408287899243874|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.6338671885851269, -1.187758196587819, 20.11995131047882]                     |410.1372213391032346|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.6338671885851269, -1.187758196587819, 20.11995131047882]                     |410.1372213391032346|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.6338671885851269, -1.187758196587819, 20.11995131047882]                     |410.1372213391032346|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6338671885851269, -1.187758196587819, 20.11995131047882]                     |410.1372213391032346|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.6378050863334522, -1.1253964964079701, 20.1186241661753]                     |269.1176277979589031|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.6378050863334522, -1.1253964964079701, 20.1186241661753]                     |269.1176277979589031|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.6378050863334522, -1.1253964964079701, 20.1186241661753]                     |269.1176277979589031|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.6661437738023421, -1.1122260296163642, 20.118482402174998]                   |250.9194403307384391|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.6661437738023421, -1.1122260296163642, 20.118482402174998]                   |250.9194403307384391|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.6909235775807906, -1.1312442524176998, 20.11757079580142]                    |239.9779248434934402|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.6909235775807906, -1.1312442524176998, 20.11757079580142]                    |239.9779248434934402|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
