k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.642224684866957, -1.0413524666447658, -0.3623263259201407, -0.3573581378743349, 0.4515612474525908, 0.1712861498011193, -0.0869819128426473]|31801.6816406250000000|      2.00000000|[31, 0, 0, 2]                                                              |  | trying quadratic partial model with 17 points | iterate success | actual_k=0
       2|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      4.00000000|[75, 0, 0, 5]                                                              |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | iterate success | actual_k=0
       3|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      2.00000000|[119, 0, 0, 8]                                                             |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      1.00000000|[163, 0, 0, 11]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      0.50000000|[207, 0, 0, 14]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      0.25000000|[251, 0, 0, 17]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      0.12500000|[295, 0, 0, 20]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      0.06250000|[339, 0, 0, 23]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      0.03125000|[383, 0, 0, 26]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[10.405313462505811, -1.6522188851998858, 0.4093614012138526, -1.7333581423892637, -0.5247258510547028, -0.1862332052847678, -0.1166592239381305]|7177.1850585937500000|      0.01562500|[427, 0, 0, 29]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
