k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[10.108142314642693, -0.8835655720507685, -0.1926622767589418, -0.1006769675430968, -0.0468059683679811, -0.2934464730307442, -0.2627185622934038]|52965.1191220441760379|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       3|[10.108142314642693, -0.8835655720507685, -0.1926622767589418, -0.1006769675430968, -0.0468059683679811, -0.2934464730307442, -0.2627185622934038]|52965.1191220441760379|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[10.042863471874563, -0.7983288769894801, -0.0044722539155657, -0.5136668212497543, -0.1347430593647039, -0.2846035114288519, -0.105600311932131]|28583.0343824900155596|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[10.042863471874563, -0.7983288769894801, -0.0044722539155657, -0.5136668212497543, -0.1347430593647039, -0.2846035114288519, -0.105600311932131]|28583.0343824900155596|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[10.042863471874563, -0.7983288769894801, -0.0044722539155657, -0.5136668212497543, -0.1347430593647039, -0.2846035114288519, -0.105600311932131]|28583.0343824900155596|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[10.042863471874563, -0.7983288769894801, -0.0044722539155657, -0.5136668212497543, -0.1347430593647039, -0.2846035114288519, -0.105600311932131]|28583.0343824900155596|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[10.042863471874563, -0.7983288769894801, -0.0044722539155657, -0.5136668212497543, -0.1347430593647039, -0.2846035114288519, -0.105600311932131]|28583.0343824900155596|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[10.032762539352193, -0.7960018389106631, -0.0192684231871719, -0.531603820961925, -0.144125452804265, -0.287017747753543, -0.0493483286027972]|10101.0540121214653482|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[10.032762539352193, -0.7960018389106631, -0.0192684231871719, -0.531603820961925, -0.144125452804265, -0.287017747753543, -0.0493483286027972]|10101.0540121214653482|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[10.032762539352193, -0.7960018389106631, -0.0192684231871719, -0.531603820961925, -0.144125452804265, -0.287017747753543, -0.0493483286027972]|10101.0540121214653482|      0.03125000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[10.052766639906, -0.8110422853178773, -0.0072752308465118, -0.5382131970697707, -0.1433229279930455, -0.2808383203719342, -0.0382202762569159]|6021.0959473760394758|      0.06250000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[10.052766639906, -0.8110422853178773, -0.0072752308465118, -0.5382131970697707, -0.1433229279930455, -0.2808383203719342, -0.0382202762569159]|6021.0959473760394758|      0.03125000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[10.052766639906, -0.8110422853178773, -0.0072752308465118, -0.5382131970697707, -0.1433229279930455, -0.2808383203719342, -0.0382202762569159]|6021.0959473760394758|      0.01562500|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[10.052766639906, -0.8110422853178773, -0.0072752308465118, -0.5382131970697707, -0.1433229279930455, -0.2808383203719342, -0.0382202762569159]|6021.0959473760394758|      0.00781250|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[10.052766639906, -0.8110422853178773, -0.0072752308465118, -0.5382131970697707, -0.1433229279930455, -0.2808383203719342, -0.0382202762569159]|6021.0959473760394758|      0.00390625|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[10.052940736826356, -0.8108979199481311, -0.0073676384290337, -0.5385315936928208, -0.1432972962627375, -0.2805845744362419, -0.0343430764415228]|5562.7804525873507373|      0.00781250|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      18|[10.052940736826356, -0.8108979199481311, -0.0073676384290337, -0.5385315936928208, -0.1432972962627375, -0.2805845744362419, -0.0343430764415228]|5562.7804525873507373|      0.00390625|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[10.052940736826356, -0.8108979199481311, -0.0073676384290337, -0.5385315936928208, -0.1432972962627375, -0.2805845744362419, -0.0343430764415228]|5562.7804525873507373|      0.00195312|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[10.052940736826356, -0.8108979199481311, -0.0073676384290337, -0.5385315936928208, -0.1432972962627375, -0.2805845744362419, -0.0343430764415228]|5562.7804525873507373|      0.00097656|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[10.052905335142901, -0.8112437256050632, -0.0077599457065512, -0.5382675699745406, -0.1435637630069446, -0.2813160917330251, -0.0342873639673409]|5557.4626002759514449|      0.00195312|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[10.052905335142901, -0.8112437256050632, -0.0077599457065512, -0.5382675699745406, -0.1435637630069446, -0.2813160917330251, -0.0342873639673409]|5557.4626002759514449|      0.00097656|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
