k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1528591429717916, -0.4057231485760368, 0.6717089206801496, 0.6994914810227496, 0.8844605950480025, 0.2250206117038195]|451.7948069196523875|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[0.1528591429717916, -0.4057231485760368, 0.6717089206801496, 0.6994914810227496, 0.8844605950480025, 0.2250206117038195]|451.7948069196523875|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.1528591429717916, -0.4057231485760368, 0.6717089206801496, 0.6994914810227496, 0.8844605950480025, 0.2250206117038195]|451.7948069196523875|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.4083246951621586, -0.4766668072515785, 0.5705895539997541, 0.9921053419765924, 1.1722545309536683, 0.1929114003530959]|392.1282210581563845|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[0.7514485240594517, -0.6074457580840955, 1.1809413615478308, 1.501171228210338, 1.463543175657748, -0.1926225463031155]|173.1525837338211886|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[0.7514485240594517, -0.6074457580840955, 1.1809413615478308, 1.501171228210338, 1.463543175657748, -0.1926225463031155]|173.1525837338211886|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[0.7514485240594517, -0.6074457580840955, 1.1809413615478308, 1.501171228210338, 1.463543175657748, -0.1926225463031155]|173.1525837338211886|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.7514485240594517, -0.6074457580840955, 1.1809413615478308, 1.501171228210338, 1.463543175657748, -0.1926225463031155]|173.1525837338211886|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[0.8313863493410009, -0.5627370718204611, 1.1826445630587898, 1.6835618133186938, 1.5653581583080418, -0.090272361456182]|124.3828817162429772|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[0.8313863493410009, -0.5627370718204611, 1.1826445630587898, 1.6835618133186938, 1.5653581583080418, -0.090272361456182]|124.3828817162429772|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[0.8313863493410009, -0.5627370718204611, 1.1826445630587898, 1.6835618133186938, 1.5653581583080418, -0.090272361456182]|124.3828817162429772|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[0.834271164786168, -0.6063723267923717, 1.2409447558912938, 1.7821395013721297, 1.5513536004251745, -0.1102734028196068]|113.2995074817298473|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[0.834271164786168, -0.6063723267923717, 1.2409447558912938, 1.7821395013721297, 1.5513536004251745, -0.1102734028196068]|113.2995074817298473|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[0.834271164786168, -0.6063723267923717, 1.2409447558912938, 1.7821395013721297, 1.5513536004251745, -0.1102734028196068]|113.2995074817298473|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[0.8044488875471921, -0.5817849308845744, 1.2669614847192583, 1.8125979247379218, 1.5416391932628675, -0.0835641103654411]|108.6608424105718882|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[0.8076588846333228, -0.5058538314082879, 1.291888913179659, 1.8856430508420154, 1.4834562148545003, -0.0610488280587624]|103.4519267614520857|      0.25000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[0.8076588846333228, -0.5058538314082879, 1.291888913179659, 1.8856430508420154, 1.4834562148545003, -0.0610488280587624]|103.4519267614520857|      0.12500000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[0.8076588846333228, -0.5058538314082879, 1.291888913179659, 1.8856430508420154, 1.4834562148545003, -0.0610488280587624]|103.4519267614520857|      0.06250000|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[0.7965714889986675, -0.5185296013505428, 1.3332898617192541, 1.9288287452660775, 1.4769983823086905, -0.0624265690922142]| 98.7087517832369485|      0.12500000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[0.7965714889986675, -0.5185296013505428, 1.3332898617192541, 1.9288287452660775, 1.4769983823086905, -0.0624265690922142]| 98.7087517832369485|      0.06250000|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
