k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.040621795546818, -1.4326016534543946, 0.1606472302662366, -0.3637667367546691, -0.7262012921520877, -0.2582030537063543, 0.3771057428411074]|62210.4666192731456249|      2.00000000|[31, 5, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=2
       2|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      4.00000000|[62, 10, 2, 8]                                                             |  | used quadratic model with 36 points | iterate success | actual_k=2
       3|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      2.00000000|[93, 15, 3, 12]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=2
       4|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      1.00000000|[125, 19, 4, 16]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       5|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      0.50000000|[156, 24, 5, 20]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       6|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      0.25000000|[188, 28, 6, 24]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       7|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      0.12500000|[220, 32, 7, 28]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       8|[9.849076153217402, -2.413722712245135, -1.3430818762757597, 0.3410357680963687, -1.139851991334461, -0.380334649341647, 0.1389022361297823]|40511.7928492145656492|      0.06250000|[252, 36, 8, 32]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       9|[9.847851378392361, -2.415259941510427, -1.3437896430659393, 0.3639243857085821, -1.1440418740498823, -0.3775265480024929, 0.0810009705780992]|30100.3828884501963330|      0.12500000|[283, 41, 9, 36]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=2
      10|[9.847851378392361, -2.415259941510427, -1.3437896430659393, 0.3639243857085821, -1.1440418740498823, -0.3775265480024929, 0.0810009705780992]|30100.3828884501963330|      0.06250000|[315, 45, 10, 40]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      11|[9.847851378392361, -2.415259941510427, -1.3437896430659393, 0.3639243857085821, -1.1440418740498823, -0.3775265480024929, 0.0810009705780992]|30100.3828884501963330|      0.03125000|[345, 51, 11, 44]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      12|[9.84739986034821, -2.4147485969898774, -1.3432368611555718, 0.3706327685652394, -1.1441153559079924, -0.3777037009528789, 0.0504927355079762]|19362.3845585508861404|      0.06250000|[377, 55, 12, 48]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=2
      13|[9.84739986034821, -2.4147485969898774, -1.3432368611555718, 0.3706327685652394, -1.1441153559079924, -0.3777037009528789, 0.0504927355079762]|19362.3845585508861404|      0.03125000|[408, 60, 13, 52]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      14|[9.84739986034821, -2.4147485969898774, -1.3432368611555718, 0.3706327685652394, -1.1441153559079924, -0.3777037009528789, 0.0504927355079762]|19362.3845585508861404|      0.01562500|[440, 64, 14, 56]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      15|[9.84739986034821, -2.4147485969898774, -1.3432368611555718, 0.3706327685652394, -1.1441153559079924, -0.3777037009528789, 0.0504927355079762]|19362.3845585508861404|      0.00781250|[471, 69, 15, 60]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      16|[9.847393751892172, -2.4147583855811225, -1.3432706409975126, 0.3717207288775842, -1.1441358350989161, -0.3776424741617576, 0.0427567122218119]|16425.8333269788927282|      0.01562500|[502, 74, 16, 64]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=2
      17|[9.847393751892172, -2.4147583855811225, -1.3432706409975126, 0.3717207288775842, -1.1441358350989161, -0.3776424741617576, 0.0427567122218119]|16425.8333269788927282|      0.00781250|[533, 79, 17, 68]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      18|[9.847393751892172, -2.4147583855811225, -1.3432706409975126, 0.3717207288775842, -1.1441358350989161, -0.3776424741617576, 0.0427567122218119]|16425.8333269788927282|      0.00390625|[564, 84, 18, 72]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
