k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8738415075222086, -0.5880530326582658, -0.9024321198149361]                  | 18.8751906221363939|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.8738415075222086, -0.5880530326582658, -0.9024321198149361]                  | 18.8751906221363939|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.3861229321502808, -0.3442806265555212, -1.7259263553769777]                  |  3.2642446555871309|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[1.3861229321502808, -0.3442806265555212, -1.7259263553769777]                  |  3.2642446555871309|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[2.124994087281718, -1.0067134643902547, -1.6024267542725288]                   |  1.8676348727761600|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[2.124994087281718, -1.0067134643902547, -1.6024267542725288]                   |  1.8676348727761600|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[2.124994087281718, -1.0067134643902547, -1.6024267542725288]                   |  1.8676348727761600|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[1.964397551067902, -0.5489217841082448, -1.7234041489407002]                   |  1.5328256752288603|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[1.964397551067902, -0.5489217841082448, -1.7234041489407002]                   |  1.5328256752288603|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.964397551067902, -0.5489217841082448, -1.7234041489407002]                   |  1.5328256752288603|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[1.964397551067902, -0.5489217841082448, -1.7234041489407002]                   |  1.5328256752288603|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[1.8520030603135715, -0.6028107943513151, -1.7328090956761695]                  |  1.4887847518363897|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[1.8520030603135715, -0.6028107943513151, -1.7328090956761695]                  |  1.4887847518363897|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[1.9708309880213641, -0.639798881260672, -1.7211127277160931]                   |  1.2237308109158294|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[1.9708309880213641, -0.639798881260672, -1.7211127277160931]                   |  1.2237308109158294|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
