k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01378725628682, 149.95828532606888, -100.09094027633455, 1.1292617039408595, 1.9742010048442515]|84542.3671875000000000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[49.01378725628682, 149.95828532606888, -100.09094027633455, 1.1292617039408595, 1.9742010048442515]|84542.3671875000000000|      1.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[48.02297492235887, 149.87903825475132, -100.16017509482246, 1.2104715784786833, 1.949254726357665]|81283.1093750000000000|      2.00000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[46.27796447417895, 150.21528452270672, -100.47130125678827, 2.0511259664975587, 1.7533524694181148]|75756.5937500000000000|      4.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[46.27796447417895, 150.21528452270672, -100.47130125678827, 2.0511259664975587, 1.7533524694181148]|75756.5937500000000000|      2.00000000|[151, 10, 1, 11]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[44.33759735629683, 150.26419336274935, -100.37014948191812, 2.4352717238676793, 1.479886331216888]|69870.0312500000000000|      4.00000000|[182, 12, 1, 13]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[44.33759735629683, 150.26419336274935, -100.37014948191812, 2.4352717238676793, 1.479886331216888]|69870.0312500000000000|      2.00000000|[212, 14, 1, 15]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[44.33759735629683, 150.26419336274935, -100.37014948191812, 2.4352717238676793, 1.479886331216888]|69870.0312500000000000|      1.00000000|[242, 16, 1, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[43.341513649997864, 150.20169971928206, -100.43269138823926, 2.4353070162477257, 1.479335622534268]|66906.9375000000000000|      2.00000000|[272, 18, 1, 19]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[43.341513649997864, 150.20169971928206, -100.43269138823926, 2.4353070162477257, 1.479335622534268]|66906.9375000000000000|      1.00000000|[302, 20, 2, 22]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[42.34551829010828, 150.1382788691048, -100.49570390060035, 2.4352589007166574, 1.4786575281120138]|64009.8554687500000000|      2.00000000|[333, 22, 2, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[40.410727481374934, 150.10762969165447, -100.88540264900705, 2.2741483854764963, 1.199688996316978]|58539.6171875000000000|      4.00000000|[363, 24, 2, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      13|[40.410727481374934, 150.10762969165447, -100.88540264900705, 2.2741483854764963, 1.199688996316978]|58539.6171875000000000|      2.00000000|[393, 26, 2, 28]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[40.410727481374934, 150.10762969165447, -100.88540264900705, 2.2741483854764963, 1.199688996316978]|58539.6171875000000000|      1.00000000|[423, 28, 2, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
