k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.25000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.12500000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.06250000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.03125000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[4.130111101859391, 0.0350245373281454, 0.1737657846783922, 0.0212916412212002, 1.653012847918031, 0.0167143325097451, 1.195031679168183, 0.0203291347972381, 0.2923460601529858, 0.0124276376638203, 0.3256606959615644, 0.015499039279302, 0.0787783599218856, 0.0177570600011346, 0.2491667886575265, 0.0183167420781416, 1.395475170876683, 0.023425838835347, 1.1760608258415484, 0.0146555453169191, 0.0854329082464973, 0.0286020063696931, 0.1277647707631194, 0.0224785908981128, 0.3078512115599837, 0.0214939239696603, 0.1017313886385613, 0.0229566151017553, 0.1167121654361159, 0.0223476101301924, 0.5484665576368695, 0.0215272128061927, 0.0026017636260905, 0.0148259347606838, 0.0922771133873013, 0.0229394568005137, 0.1094389001659158, 0.0181864565588518, 0.0416727785970104, 0.0208875824713549, 0.0952517709047351, 0.0218736734673674, 0.284990120384469, 0.0211603632663267, 0.4218636160950983, 0.0253969491826271, 0.160970574761609, 0.0165608319031918, 0.0672060783615412, 0.0212694013033238, 0.3154066322606618, 0.0218575967407302, 0.1381403855095835, 0.0195083502131239, 0.288951288798088, 0.02605467354814, 0.0634415419710459, 0.0201062146743076, 0.1519414341724699, 0.015462284858135, 0.1907857731664803, 0.0205981407079567, 0.155338615747737, 0.0205345312384049, 0.3848447917868406, 0.0182543726677409]|205212.3593750000000000|      0.06250000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[4.130111101859391, 0.0350245373281454, 0.1737657846783922, 0.0212916412212002, 1.653012847918031, 0.0167143325097451, 1.195031679168183, 0.0203291347972381, 0.2923460601529858, 0.0124276376638203, 0.3256606959615644, 0.015499039279302, 0.0787783599218856, 0.0177570600011346, 0.2491667886575265, 0.0183167420781416, 1.395475170876683, 0.023425838835347, 1.1760608258415484, 0.0146555453169191, 0.0854329082464973, 0.0286020063696931, 0.1277647707631194, 0.0224785908981128, 0.3078512115599837, 0.0214939239696603, 0.1017313886385613, 0.0229566151017553, 0.1167121654361159, 0.0223476101301924, 0.5484665576368695, 0.0215272128061927, 0.0026017636260905, 0.0148259347606838, 0.0922771133873013, 0.0229394568005137, 0.1094389001659158, 0.0181864565588518, 0.0416727785970104, 0.0208875824713549, 0.0952517709047351, 0.0218736734673674, 0.284990120384469, 0.0211603632663267, 0.4218636160950983, 0.0253969491826271, 0.160970574761609, 0.0165608319031918, 0.0672060783615412, 0.0212694013033238, 0.3154066322606618, 0.0218575967407302, 0.1381403855095835, 0.0195083502131239, 0.288951288798088, 0.02605467354814, 0.0634415419710459, 0.0201062146743076, 0.1519414341724699, 0.015462284858135, 0.1907857731664803, 0.0205981407079567, 0.155338615747737, 0.0205345312384049, 0.3848447917868406, 0.0182543726677409]|205212.3593750000000000|      0.03125000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[4.130111101859391, 0.0350245373281454, 0.1737657846783922, 0.0212916412212002, 1.653012847918031, 0.0167143325097451, 1.195031679168183, 0.0203291347972381, 0.2923460601529858, 0.0124276376638203, 0.3256606959615644, 0.015499039279302, 0.0787783599218856, 0.0177570600011346, 0.2491667886575265, 0.0183167420781416, 1.395475170876683, 0.023425838835347, 1.1760608258415484, 0.0146555453169191, 0.0854329082464973, 0.0286020063696931, 0.1277647707631194, 0.0224785908981128, 0.3078512115599837, 0.0214939239696603, 0.1017313886385613, 0.0229566151017553, 0.1167121654361159, 0.0223476101301924, 0.5484665576368695, 0.0215272128061927, 0.0026017636260905, 0.0148259347606838, 0.0922771133873013, 0.0229394568005137, 0.1094389001659158, 0.0181864565588518, 0.0416727785970104, 0.0208875824713549, 0.0952517709047351, 0.0218736734673674, 0.284990120384469, 0.0211603632663267, 0.4218636160950983, 0.0253969491826271, 0.160970574761609, 0.0165608319031918, 0.0672060783615412, 0.0212694013033238, 0.3154066322606618, 0.0218575967407302, 0.1381403855095835, 0.0195083502131239, 0.288951288798088, 0.02605467354814, 0.0634415419710459, 0.0201062146743076, 0.1519414341724699, 0.015462284858135, 0.1907857731664803, 0.0205981407079567, 0.155338615747737, 0.0205345312384049, 0.3848447917868406, 0.0182543726677409]|205212.3593750000000000|      0.01562500|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[4.130282740309522, 0.0395785457693546, 0.1734514773092021, 0.0225879824197046, 1.6519136430978962, 0.0181347419379799, 1.1979004097506434, 0.0212325855747309, 0.288653590220018, 0.0136921732281587, 0.32464432845897, 0.0154448169860409, 0.0799372901185822, 0.0198127144380445, 0.250527965882424, 0.0162775897115977, 1.3951742704885968, 0.025442542641417, 1.173532891448667, 0.0204699340551929, 0.0877982107549825, 0.030333693735741, 0.1265945322334305, 0.0219323085302608, 0.30563376967298, 0.0205756601311776, 0.1032012459704432, 0.0227104318300133, 0.1157855558597983, 0.0259721630671645, 0.5498669162800796, 0.0197758776864074, -0.0010618456078075, 0.0151849577150314, 0.0951162396661094, 0.0229850059667525, 0.1124227859481421, 0.0184788273805762, 0.0428678805123199, 0.0220947666194711, 0.0922763255242065, 0.0217285716528877, 0.2861954075994562, 0.0212897146937972, 0.4193466010865716, 0.0231853057742502, 0.1616229343543529, 0.0187242563360392, 0.0668766741798569, 0.0215355795908811, 0.3133442475954451, 0.0223211293434528, 0.1380809759020095, 0.0203184798617216, 0.2895378636345985, 0.0265517299394853, 0.0611639637942574, 0.0206256047143928, 0.1516895849085337, 0.0167927729103994, 0.1925476197981799, 0.0180917699238194, 0.1583599085011305, 0.0198158814539367, 0.3824885196176786, 0.0196375985777586]|188654.7343750000000000|      0.03125000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      10|[4.130282740309522, 0.0395785457693546, 0.1734514773092021, 0.0225879824197046, 1.6519136430978962, 0.0181347419379799, 1.1979004097506434, 0.0212325855747309, 0.288653590220018, 0.0136921732281587, 0.32464432845897, 0.0154448169860409, 0.0799372901185822, 0.0198127144380445, 0.250527965882424, 0.0162775897115977, 1.3951742704885968, 0.025442542641417, 1.173532891448667, 0.0204699340551929, 0.0877982107549825, 0.030333693735741, 0.1265945322334305, 0.0219323085302608, 0.30563376967298, 0.0205756601311776, 0.1032012459704432, 0.0227104318300133, 0.1157855558597983, 0.0259721630671645, 0.5498669162800796, 0.0197758776864074, -0.0010618456078075, 0.0151849577150314, 0.0951162396661094, 0.0229850059667525, 0.1124227859481421, 0.0184788273805762, 0.0428678805123199, 0.0220947666194711, 0.0922763255242065, 0.0217285716528877, 0.2861954075994562, 0.0212897146937972, 0.4193466010865716, 0.0231853057742502, 0.1616229343543529, 0.0187242563360392, 0.0668766741798569, 0.0215355795908811, 0.3133442475954451, 0.0223211293434528, 0.1380809759020095, 0.0203184798617216, 0.2895378636345985, 0.0265517299394853, 0.0611639637942574, 0.0206256047143928, 0.1516895849085337, 0.0167927729103994, 0.1925476197981799, 0.0180917699238194, 0.1583599085011305, 0.0198158814539367, 0.3824885196176786, 0.0196375985777586]|188654.7343750000000000|      0.01562500|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
