k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[999.9988404274667, 999.9977528572118, 399.98439375775126, 39.99368543973323, 0.6937986986257476, 0.3222977089327346, 0.0177078964388647]|2336894.0549418334849179|      0.06250000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[999.9955896395998, 999.9997692723208, 399.99184741851394, 39.96303713339545, 0.6469842181987185, 0.3274088768953404, -0.0083501367297964]|1661672.9674672656692564|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[999.9955896395998, 999.9997692723208, 399.99184741851394, 39.96303713339545, 0.6469842181987185, 0.3274088768953404, -0.0083501367297964]|1661672.9674672656692564|      0.06250000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[999.9955896395998, 999.9997692723208, 399.99184741851394, 39.96303713339545, 0.6469842181987185, 0.3274088768953404, -0.0083501367297964]|1661672.9674672656692564|      0.03125000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[1000.0000019887913, 999.9898604297996, 399.99309814966966, 39.97204259000423, 0.6517535431925668, 0.3249782100222827, -0.0356922532352927]|1528770.9426277996972203|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[1000.0000019887913, 999.9898604297996, 399.99309814966966, 39.97204259000423, 0.6517535431925668, 0.3249782100222827, -0.0356922532352927]|1528770.9426277996972203|      0.03125000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[999.9925218191519, 999.9907323338755, 399.98409896378797, 39.96848722679561, 0.6767698710546395, 0.3108226109481471, -0.0355317960146498]|1444870.3504739946220070|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[999.9925218191519, 999.9907323338755, 399.98409896378797, 39.96848722679561, 0.6767698710546395, 0.3108226109481471, -0.0355317960146498]|1444870.3504739946220070|      0.03125000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[999.998695660308, 999.9697662619113, 399.9840828342401, 39.97443153825505, 0.688697569142656, 0.2998477996896461, -0.0497028386383728]|1390106.6785211083479226|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[999.998695660308, 999.9697662619113, 399.9840828342401, 39.97443153825505, 0.688697569142656, 0.2998477996896461, -0.0497028386383728]|1390106.6785211083479226|      0.03125000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[1000.0076673415361, 999.9712428625144, 399.9873145713892, 39.98293520079623, 0.71293794984524, 0.2932162607816318, -0.0363027893813484]|1353656.6337796377483755|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[1000.0076673415361, 999.9712428625144, 399.9873145713892, 39.98293520079623, 0.71293794984524, 0.2932162607816318, -0.0363027893813484]|1353656.6337796377483755|      0.03125000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[1000.0184855445997, 999.967379990861, 399.98778861393896, 39.98938266392426, 0.7229724822506335, 0.2976512728010349, -0.062426562763689]|1316560.9022143250331283|      0.06250000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      19|[1000.0184855445997, 999.967379990861, 399.98778861393896, 39.98938266392426, 0.7229724822506335, 0.2976512728010349, -0.062426562763689]|1316560.9022143250331283|      0.03125000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[1000.0242429638228, 999.9699282019272, 399.99007537264345, 39.99651625550821, 0.745397318922561, 0.2985954222663428, -0.0430090672501853]|1286612.0008033947087824|      0.06250000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      21|[1000.0376524231823, 999.9548582002741, 399.9796220701409, 39.995059682860266, 0.7899207042478501, 0.3015400407085647, -0.0803846701774428]|1192547.9203156856819987|      0.12500000|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      22|[1000.0376524231823, 999.9548582002741, 399.9796220701409, 39.995059682860266, 0.7899207042478501, 0.3015400407085647, -0.0803846701774428]|1192547.9203156856819987|      0.06250000|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      23|[1000.0376524231823, 999.9548582002741, 399.9796220701409, 39.995059682860266, 0.7899207042478501, 0.3015400407085647, -0.0803846701774428]|1192547.9203156856819987|      0.03125000|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      24|[1000.0418003893544, 999.9475182400924, 399.9785895575188, 40.002027335453555, 0.8055412803084196, 0.2935033977946011, -0.0569907057763169]|1159680.2158370695542544|      0.06250000|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
