k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00781250|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00390625|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00195312|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00097656|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00048828|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.1003093503725452, 0.000162172480959, 999.9997020428112, -100.00015588161074] |  5.2622797850213150|      0.00097656|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.1003093503725452, 0.000162172480959, 999.9997020428112, -100.00015588161074] |  5.2622797850213150|      0.00048828|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.1003093503725452, 0.000162172480959, 999.9997020428112, -100.00015588161074] |  5.2622797850213150|      0.00024414|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.1003093503725452, 0.000162172480959, 999.9997020428112, -100.00015588161074] |  5.2622797850213150|      0.00012207|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[0.1003093503725452, 0.000162172480959, 999.9997020428112, -100.00015588161074] |  5.2622797850213150|      0.00006104|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[0.1003093503725452, 0.000162172480959, 999.9997020428112, -100.00015588161074] |  5.2622797850213150|      0.00003052|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[0.1003203676917431, 0.0001388710967568, 999.9997181046931, -100.00015888206003]|  5.1509441864081635|      0.00006104|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[0.1003203676917431, 0.0001388710967568, 999.9997181046931, -100.00015888206003]|  5.1509441864081635|      0.00003052|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[0.1003203676917431, 0.0001388710967568, 999.9997181046931, -100.00015888206003]|  5.1509441864081635|      0.00001526|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
