k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       4|[119.99427403901342, -0.0082566355084464, 0.864143523536338, 109.99966516301127, 0.1882557701601235, 0.816012652221883, 99.99258369929045, 0.2775647439038522, 0.7150876172467169, 88.0212398061217, 0.3283483089643754, 0.6899979909435229, 85.9845221565456, 0.3636888753511597, 0.6439709745766506, 83.97313943704779, 0.4647313421229023, 0.5206114457716157, 80.00901514718075, 0.6702195498093961, 0.3374850673493753, 76.011307575902, 0.866942790724663, 0.1146169546767581, 886.3783392809921, 910.0296631386049, 922.5132791096544, 926.4619350071921, 935.5480352195522, 952.8256257370832, 975.7209449046194]|1953.2326778118842867|      0.25000000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       5|[119.99427403901342, -0.0082566355084464, 0.864143523536338, 109.99966516301127, 0.1882557701601235, 0.816012652221883, 99.99258369929045, 0.2775647439038522, 0.7150876172467169, 88.0212398061217, 0.3283483089643754, 0.6899979909435229, 85.9845221565456, 0.3636888753511597, 0.6439709745766506, 83.97313943704779, 0.4647313421229023, 0.5206114457716157, 80.00901514718075, 0.6702195498093961, 0.3374850673493753, 76.011307575902, 0.866942790724663, 0.1146169546767581, 886.3783392809921, 910.0296631386049, 922.5132791096544, 926.4619350071921, 935.5480352195522, 952.8256257370832, 975.7209449046194]|1953.2326778118842867|      0.12500000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       6|[119.99427403901342, -0.0082566355084464, 0.864143523536338, 109.99966516301127, 0.1882557701601235, 0.816012652221883, 99.99258369929045, 0.2775647439038522, 0.7150876172467169, 88.0212398061217, 0.3283483089643754, 0.6899979909435229, 85.9845221565456, 0.3636888753511597, 0.6439709745766506, 83.97313943704779, 0.4647313421229023, 0.5206114457716157, 80.00901514718075, 0.6702195498093961, 0.3374850673493753, 76.011307575902, 0.866942790724663, 0.1146169546767581, 886.3783392809921, 910.0296631386049, 922.5132791096544, 926.4619350071921, 935.5480352195522, 952.8256257370832, 975.7209449046194]|1953.2326778118842867|      0.06250000|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[119.99450257756574, 0.0200485729123178, 0.8653220224192941, 110.00176640882417, 0.1447923515550775, 0.7975498400597882, 99.99792140200233, 0.2810445413555275, 0.7212076354673471, 88.01188755057375, 0.3435970433528378, 0.6902588707734846, 85.98689698430765, 0.3614187020936417, 0.6421675576625756, 83.96968928969805, 0.4656882205916307, 0.516950250704737, 80.02153187260251, 0.6694506242787505, 0.3302018420812657, 76.01053438555311, 0.864504732029342, 0.115360432337172, 886.3763905740798, 910.0262382962388, 922.5182320425498, 926.4656948408634, 935.5432172908409, 952.8167224234012, 975.728482011146]|1305.2540724289638092|      0.12500000|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
       8|[119.99450257756574, 0.0200485729123178, 0.8653220224192941, 110.00176640882417, 0.1447923515550775, 0.7975498400597882, 99.99792140200233, 0.2810445413555275, 0.7212076354673471, 88.01188755057375, 0.3435970433528378, 0.6902588707734846, 85.98689698430765, 0.3614187020936417, 0.6421675576625756, 83.96968928969805, 0.4656882205916307, 0.516950250704737, 80.02153187260251, 0.6694506242787505, 0.3302018420812657, 76.01053438555311, 0.864504732029342, 0.115360432337172, 886.3763905740798, 910.0262382962388, 922.5182320425498, 926.4656948408634, 935.5432172908409, 952.8167224234012, 975.728482011146]|1305.2540724289638092|      0.06250000|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       9|[119.99291239932664, -0.0203466051280854, 0.8462921904202932, 109.99763899665086, 0.148882064825883, 0.8006040823108831, 100.00010793273202, 0.2533476690776688, 0.7149395056359075, 88.01191011868475, 0.3665721608608518, 0.6965491884256481, 85.98472692767515, 0.373400416735951, 0.641775061103067, 83.9731274698461, 0.4626202785334131, 0.5210995393122018, 80.01874042613416, 0.6674351326319512, 0.3233388592060912, 76.00430905046585, 0.8687924176184152, 0.1096506655925381, 886.3710896898303, 910.0183507782937, 922.5209294948125, 926.4637335452866, 935.539559966607, 952.8228049890106, 975.7276240424491]|950.7007176511189073|      0.12500000|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
      10|[119.99291239932664, -0.0203466051280854, 0.8462921904202932, 109.99763899665086, 0.148882064825883, 0.8006040823108831, 100.00010793273202, 0.2533476690776688, 0.7149395056359075, 88.01191011868475, 0.3665721608608518, 0.6965491884256481, 85.98472692767515, 0.373400416735951, 0.641775061103067, 83.9731274698461, 0.4626202785334131, 0.5210995393122018, 80.01874042613416, 0.6674351326319512, 0.3233388592060912, 76.00430905046585, 0.8687924176184152, 0.1096506655925381, 886.3710896898303, 910.0183507782937, 922.5209294948125, 926.4637335452866, 935.539559966607, 952.8228049890106, 975.7276240424491]|950.7007176511189073|      0.06250000|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      11|[119.99291239932664, -0.0203466051280854, 0.8462921904202932, 109.99763899665086, 0.148882064825883, 0.8006040823108831, 100.00010793273202, 0.2533476690776688, 0.7149395056359075, 88.01191011868475, 0.3665721608608518, 0.6965491884256481, 85.98472692767515, 0.373400416735951, 0.641775061103067, 83.9731274698461, 0.4626202785334131, 0.5210995393122018, 80.01874042613416, 0.6674351326319512, 0.3233388592060912, 76.00430905046585, 0.8687924176184152, 0.1096506655925381, 886.3710896898303, 910.0183507782937, 922.5209294948125, 926.4637335452866, 935.539559966607, 952.8228049890106, 975.7276240424491]|950.7007176511189073|      0.03125000|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      12|[119.99480197581374, -0.0058077449335129, 0.8516571260020399, 109.99856659131827, 0.1280100863374176, 0.7927647341036743, 99.99685004788574, 0.2565941575706079, 0.7176220033726733, 88.01055700369064, 0.3692695001540757, 0.6995807152793488, 85.98548072575844, 0.3791559409146945, 0.6433908633468615, 83.97296816203483, 0.4673183831465368, 0.5194912496946902, 80.02000179824293, 0.6604379906502554, 0.3209659648761541, 76.00609406514042, 0.8668084818798315, 0.1104837732041039, 886.375313341168, 910.0191562919533, 922.5230688884027, 926.4676529177269, 935.5404574018295, 952.8179568462456, 975.7283353641625]|585.9433494524779462|      0.06250000|[588, 192, 12, 24]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      13|[120.00526640896169, -0.0153203796328948, 0.8475325078899416, 109.99452217773923, 0.1028805939641275, 0.7835040210879157, 99.96385306281893, 0.2501116905819336, 0.7263513896833752, 88.0113136545918, 0.3816124150386841, 0.709474627322675, 85.98676695580886, 0.3799894522280767, 0.6289191642993074, 83.98192362640657, 0.4720898853015823, 0.5127444326506437, 80.02048152673747, 0.6480790239289049, 0.3218926079999377, 76.00516250385462, 0.8472787974838676, 0.125567162337829, 886.381630998546, 910.0150698653935, 922.5111531131, 926.4640560425431, 935.5302361585283, 952.8206675597276, 975.7354457410893]|401.1021585536526004|      0.12500000|[637, 208, 13, 26]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
