k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[59, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[117, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[100.07796014883924, 0.0175808356372965, 0.2611238646381035, 0.8916365886255415, 99.9982346314772, 0.0058381585671335, 0.2069881180898093, 0.8365455561989973, 99.95359164363778, -0.0040879990663182, 0.331562502525906, 0.7939256250111504, 99.97616934250216, 0.1975802176674463, 0.3541141665965414, 0.5641954252515607, 99.94195545928851, 0.2756482297599438, 0.392869054203675, 0.2783026574187615, 99.95319325085228, 0.6339141983286434, 0.638345480692421, 0.0315701336824942, 299.93211253601015, 299.9626503361966, 300.0377235227184, 299.9656143411156, 299.98792651668003]|536.7917480468750000|      0.50000000|[147, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[100.07796014883924, 0.0175808356372965, 0.2611238646381035, 0.8916365886255415, 99.9982346314772, 0.0058381585671335, 0.2069881180898093, 0.8365455561989973, 99.95359164363778, -0.0040879990663182, 0.331562502525906, 0.7939256250111504, 99.97616934250216, 0.1975802176674463, 0.3541141665965414, 0.5641954252515607, 99.94195545928851, 0.2756482297599438, 0.392869054203675, 0.2783026574187615, 99.95319325085228, 0.6339141983286434, 0.638345480692421, 0.0315701336824942, 299.93211253601015, 299.9626503361966, 300.0377235227184, 299.9656143411156, 299.98792651668003]|536.7917480468750000|      0.25000000|[205, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[99.9988666704764, 0.1294759222073955, 0.2745380195069709, 0.947889399951061, 100.02141362450888, -0.0043472810700195, 0.2218191548898424, 0.8360338036166527, 99.90700451271097, 0.0137396087981183, 0.3608527917817622, 0.8060723844719245, 100.01072804377841, 0.1435270934458135, 0.2618806456833129, 0.5690391536108993, 99.92413018368808, 0.3532487772507107, 0.4261767094825362, 0.2081042086544073, 99.93725280871077, 0.6389154358945848, 0.5645381930568767, 0.0575074075622277, 299.9650633805839, 300.0141301188847, 300.06638291609664, 299.96395591023094, 299.98146336903625]|461.1012268066406250|      0.50000000|[235, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       6|[99.9988666704764, 0.1294759222073955, 0.2745380195069709, 0.947889399951061, 100.02141362450888, -0.0043472810700195, 0.2218191548898424, 0.8360338036166527, 99.90700451271097, 0.0137396087981183, 0.3608527917817622, 0.8060723844719245, 100.01072804377841, 0.1435270934458135, 0.2618806456833129, 0.5690391536108993, 99.92413018368808, 0.3532487772507107, 0.4261767094825362, 0.2081042086544073, 99.93725280871077, 0.6389154358945848, 0.5645381930568767, 0.0575074075622277, 299.9650633805839, 300.0141301188847, 300.06638291609664, 299.96395591023094, 299.98146336903625]|461.1012268066406250|      0.25000000|[293, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[100.06362415927848, 0.0797829623965345, 0.3203110261076731, 0.9806442713287377, 100.02637548310189, 0.0518208398950246, 0.3338656550758687, 0.8755876006782434, 99.9030790754906, -0.0073719438838179, 0.3542937683040978, 0.7268929729346034, 100.0356157256283, 0.1945553146487519, 0.299168057004031, 0.5191235405148907, 99.9986610464688, 0.3473023719473705, 0.3774174333185717, 0.2075676538269878, 99.91916584361452, 0.6460847502004347, 0.5584711546658145, 0.0278583049464389, 299.86241670367684, 300.0335956367321, 300.03086600509425, 299.9624488095179, 299.98857517168705]|354.1566162109375000|      0.50000000|[323, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[100.06362415927848, 0.0797829623965345, 0.3203110261076731, 0.9806442713287377, 100.02637548310189, 0.0518208398950246, 0.3338656550758687, 0.8755876006782434, 99.9030790754906, -0.0073719438838179, 0.3542937683040978, 0.7268929729346034, 100.0356157256283, 0.1945553146487519, 0.299168057004031, 0.5191235405148907, 99.9986610464688, 0.3473023719473705, 0.3774174333185717, 0.2075676538269878, 99.91916584361452, 0.6460847502004347, 0.5584711546658145, 0.0278583049464389, 299.86241670367684, 300.0335956367321, 300.03086600509425, 299.9624488095179, 299.98857517168705]|354.1566162109375000|      0.25000000|[381, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[100.06362415927848, 0.0797829623965345, 0.3203110261076731, 0.9806442713287377, 100.02637548310189, 0.0518208398950246, 0.3338656550758687, 0.8755876006782434, 99.9030790754906, -0.0073719438838179, 0.3542937683040978, 0.7268929729346034, 100.0356157256283, 0.1945553146487519, 0.299168057004031, 0.5191235405148907, 99.9986610464688, 0.3473023719473705, 0.3774174333185717, 0.2075676538269878, 99.91916584361452, 0.6460847502004347, 0.5584711546658145, 0.0278583049464389, 299.86241670367684, 300.0335956367321, 300.03086600509425, 299.9624488095179, 299.98857517168705]|354.1566162109375000|      0.12500000|[439, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[100.06570607231676, 0.145154858500674, 0.3401148895151773, 1.0098692049171991, 100.03377769228425, 0.0544513775791634, 0.3224411129977664, 0.8663163155265897, 99.93860869122258, 0.0225218882828147, 0.3951046818286998, 0.7404249567417229, 100.04072757597126, 0.1600978027601652, 0.2776182295242274, 0.5518856682362027, 99.99746881887668, 0.3334078635818291, 0.3505738141963093, 0.2022717761775015, 99.92179526555708, 0.6638817362917258, 0.5423412616636225, -0.0046815355144889, 299.85759510299954, 300.0348444833592, 300.0351244086772, 299.95758440705845, 300.00893416058636]|194.1018981933593750|      0.25000000|[469, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      11|[100.01087992438183, 0.1079169694725204, 0.4057408278862178, 1.0574556618856736, 100.08378661776509, 0.1529141616067768, 0.2871533144231265, 0.8873338109191151, 99.93831588629057, 0.0687531246698297, 0.3586335790389749, 0.7825687272152794, 99.97238255168467, 0.1521301508427951, 0.3477482452885535, 0.5255232992321804, 99.98023113394703, 0.2766677731082057, 0.2687478906390796, 0.2058795652183268, 99.9544658080169, 0.7275826817823996, 0.5476672321506127, 0.0030203504428632, 299.8554350070238, 299.9656526725428, 300.0773181796289, 299.95112301281716, 300.0057907482335]|168.4759368896484375|      0.50000000|[499, 0, 0, 34]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[100.01087992438183, 0.1079169694725204, 0.4057408278862178, 1.0574556618856736, 100.08378661776509, 0.1529141616067768, 0.2871533144231265, 0.8873338109191151, 99.93831588629057, 0.0687531246698297, 0.3586335790389749, 0.7825687272152794, 99.97238255168467, 0.1521301508427951, 0.3477482452885535, 0.5255232992321804, 99.98023113394703, 0.2766677731082057, 0.2687478906390796, 0.2058795652183268, 99.9544658080169, 0.7275826817823996, 0.5476672321506127, 0.0030203504428632, 299.8554350070238, 299.9656526725428, 300.0773181796289, 299.95112301281716, 300.0057907482335]|168.4759368896484375|      0.25000000|[557, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
