k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0178759650389012, 0.2882349063052079]                                        |  0.0207599452267997|      2.00000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       2|[0.0178759650389012, 0.2882349063052079]                                        |  0.0207599452267997|      1.00000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[0.0178759650389012, 0.2882349063052079]                                        |  0.0207599452267997|      0.50000000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[0.0178759650389012, 0.2882349063052079]                                        |  0.0207599452267997|      0.25000000|[16, 0, 3, 7]                                                              |  | used linear model with 4 points | actual_k=0
       5|[0.1554901101491162, 0.0795189580272081]                                        |  0.0021793158410605|      0.50000000|[19, 0, 4, 9]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       6|[0.1554901101491162, 0.0795189580272081]                                        |  0.0021793158410605|      0.25000000|[23, 0, 5, 11]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.1554901101491162, 0.0795189580272081]                                        |  0.0021793158410605|      0.12500000|[27, 0, 6, 13]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.030995642812179, 0.0682883034384382]                                         |  0.0000769682287230|      0.25000000|[31, 0, 7, 15]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       9|[0.030995642812179, 0.0682883034384382]                                         |  0.0000769682287230|      0.12500000|[35, 0, 7, 16]                                                             |  | used linear model with 4 points | actual_k=0
      10|[0.030995642812179, 0.0682883034384382]                                         |  0.0000769682287230|      0.06250000|[38, 0, 7, 17]                                                             |  | used linear model with 4 points | actual_k=0
      11|[0.030995642812179, 0.0682883034384382]                                         |  0.0000769682287230|      0.03125000|[41, 0, 7, 18]                                                             |  | used linear model with 4 points | actual_k=0
      12|[0.030995642812179, 0.0682883034384382]                                         |  0.0000769682287230|      0.01562500|[44, 0, 7, 19]                                                             |  | used linear model with 4 points | actual_k=0
      13|[0.030995642812179, 0.0682883034384382]                                         |  0.0000769682287230|      0.00781250|[47, 0, 7, 20]                                                             |  | used linear model with 4 points | actual_k=0
