k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.12500000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.06250000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.03125000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.01562500|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00781250|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00390625|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00195312|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00097656|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00048828|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00024414|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00012207|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[-4.3539757314e-06, -5.52759219134e-05, 0.0100400622667839, 0.0004303123812779, -5.67335622076e-05, 0.0979573299497517, 0.000173852816922, 4.973632353e-05]|1968.2514227630949790|      0.00024414|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      15|[-4.3539757314e-06, -5.52759219134e-05, 0.0100400622667839, 0.0004303123812779, -5.67335622076e-05, 0.0979573299497517, 0.000173852816922, 4.973632353e-05]|1968.2514227630949790|      0.00012207|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      16|[-4.3539757314e-06, -5.52759219134e-05, 0.0100400622667839, 0.0004303123812779, -5.67335622076e-05, 0.0979573299497517, 0.000173852816922, 4.973632353e-05]|1968.2514227630949790|      0.00006104|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      17|[-4.3539757314e-06, -5.52759219134e-05, 0.0100400622667839, 0.0004303123812779, -5.67335622076e-05, 0.0979573299497517, 0.000173852816922, 4.973632353e-05]|1968.2514227630949790|      0.00003052|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[-4.3539757314e-06, -5.52759219134e-05, 0.0100400622667839, 0.0004303123812779, -5.67335622076e-05, 0.0979573299497517, 0.000173852816922, 4.973632353e-05]|1968.2514227630949790|      0.00001526|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      19|[-2.9424760817e-06, -5.24639630916e-05, 0.0100389665286407, 0.0004301376209867, -5.57840754344e-05, 0.0979564054079066, 0.0001651190821905, 3.77502653112e-05]|1694.8006509508109048|      0.00003052|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      20|[-2.9424760817e-06, -5.24639630916e-05, 0.0100389665286407, 0.0004301376209867, -5.57840754344e-05, 0.0979564054079066, 0.0001651190821905, 3.77502653112e-05]|1694.8006509508109048|      0.00001526|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
