k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[10.900320300386543, 3.0343736213319463, 0.4378828904161695, 40.082892574314336, -0.8208841671189459, -1.2027163936322571, 25.295891347617278, -0.464592818217555, 1.1009462755114532]|1006.7625302353242205|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       3|[10.61119044909312, 3.0955733710634528, 0.180169868939941, 40.19829045244978, -0.6880852889369413, -1.2526104644797278, 25.911949045644548, -1.0282820169323525, 0.7610517512708384]|886.0959809536790317|      2.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[10.61119044909312, 3.0955733710634528, 0.180169868939941, 40.19829045244978, -0.6880852889369413, -1.2526104644797278, 25.911949045644548, -1.0282820169323525, 0.7610517512708384]|886.0959809536790317|      1.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[10.61119044909312, 3.0955733710634528, 0.180169868939941, 40.19829045244978, -0.6880852889369413, -1.2526104644797278, 25.911949045644548, -1.0282820169323525, 0.7610517512708384]|886.0959809536790317|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[10.61119044909312, 3.0955733710634528, 0.180169868939941, 40.19829045244978, -0.6880852889369413, -1.2526104644797278, 25.911949045644548, -1.0282820169323525, 0.7610517512708384]|886.0959809536790317|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[10.61119044909312, 3.0955733710634528, 0.180169868939941, 40.19829045244978, -0.6880852889369413, -1.2526104644797278, 25.911949045644548, -1.0282820169323525, 0.7610517512708384]|886.0959809536790317|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[10.634991392004709, 3.061071123163998, 0.2119949817255958, 40.29252010182119, -0.6493541393376646, -1.2553603468852197, 25.921621759223207, -1.0013703271672285, 0.8016790960697783]|876.7255811017109863|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[10.541290028457022, 3.1128147059307554, 0.3935460237212495, 40.34671232211625, -0.5640758661953515, -1.327469811650643, 25.888792721182824, -0.9886971440478016, 0.8395547404025455]|867.1512762702086548|      0.50000000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
      10|[10.541290028457022, 3.1128147059307554, 0.3935460237212495, 40.34671232211625, -0.5640758661953515, -1.327469811650643, 25.888792721182824, -0.9886971440478016, 0.8395547404025455]|867.1512762702086548|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[10.651244143058628, 3.0442801571156863, 0.4844913102427604, 40.48744036343826, -0.5131791181607077, -1.343054244245106, 25.94980518813975, -0.9285991889866047, 0.925984149283902]|858.8668979075744119|      0.50000000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      12|[10.651244143058628, 3.0442801571156863, 0.4844913102427604, 40.48744036343826, -0.5131791181607077, -1.343054244245106, 25.94980518813975, -0.9285991889866047, 0.925984149283902]|858.8668979075744119|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[10.651244143058628, 3.0442801571156863, 0.4844913102427604, 40.48744036343826, -0.5131791181607077, -1.343054244245106, 25.94980518813975, -0.9285991889866047, 0.925984149283902]|858.8668979075744119|      0.12500000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[10.651244143058628, 3.0442801571156863, 0.4844913102427604, 40.48744036343826, -0.5131791181607077, -1.343054244245106, 25.94980518813975, -0.9285991889866047, 0.925984149283902]|858.8668979075744119|      0.06250000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[10.637964843698354, 3.04117154488621, 0.4807263302705699, 40.49024521609868, -0.5372159018891821, -1.3382528731993637, 25.98016310972003, -0.9023465965550127, 0.9645403721005509]|856.4524829013116687|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
