k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.050386426160522, -1.1866442658745615, -1.001507170006964, -1.0774695947396677, -1.1361471604317828, -1.1941778522575424, -1.313053497688751, -1.1789891399398118, -1.141435206545325, -0.9816504353922101]|  1.0300876191407589|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[1.050386426160522, -1.1866442658745615, -1.001507170006964, -1.0774695947396677, -1.1361471604317828, -1.1941778522575424, -1.313053497688751, -1.1789891399398118, -1.141435206545325, -0.9816504353922101]|  1.0300876191407589|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[1.050386426160522, -1.1866442658745615, -1.001507170006964, -1.0774695947396677, -1.1361471604317828, -1.1941778522575424, -1.313053497688751, -1.1789891399398118, -1.141435206545325, -0.9816504353922101]|  1.0300876191407589|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.050386426160522, -1.1866442658745615, -1.001507170006964, -1.0774695947396677, -1.1361471604317828, -1.1941778522575424, -1.313053497688751, -1.1789891399398118, -1.141435206545325, -0.9816504353922101]|  1.0300876191407589|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1.062045467285153, -1.172484022995995, -1.0025873217835866, -1.1046039143980884, -1.1290177796349448, -1.145943828000998, -1.2230436963431186, -1.1208957163370898, -1.1463464614869692, -1.0075933815374294]|  0.1819245776405752|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[1.062045467285153, -1.172484022995995, -1.0025873217835866, -1.1046039143980884, -1.1290177796349448, -1.145943828000998, -1.2230436963431186, -1.1208957163370898, -1.1463464614869692, -1.0075933815374294]|  0.1819245776405752|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.062045467285153, -1.172484022995995, -1.0025873217835866, -1.1046039143980884, -1.1290177796349448, -1.145943828000998, -1.2230436963431186, -1.1208957163370898, -1.1463464614869692, -1.0075933815374294]|  0.1819245776405752|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[1.077545165214166, -1.167365507169964, -1.0399458658904053, -1.1353979791110274, -1.1474622629510784, -1.1363083781247125, -1.2078763194055446, -1.112301026203831, -1.160754183615913, -1.0263372760848983]|  0.0306679162558766|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.077545165214166, -1.167365507169964, -1.0399458658904053, -1.1353979791110274, -1.1474622629510784, -1.1363083781247125, -1.2078763194055446, -1.112301026203831, -1.160754183615913, -1.0263372760848983]|  0.0306679162558766|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[1.0628332839774641, -1.175050392369712, -1.053381535599592, -1.1461473940950402, -1.1145957419837453, -1.1278213466203746, -1.1821891040440757, -1.0965201517543914, -1.192765551164211, -1.0421122993473704]|  0.0060421327279223|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
