k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[-4.031224846311973, -0.0199466964321161, 4.023829508821872, 0.0221684867835786, -2.0097259800382505, -0.0609962446332688]|  4.8838069883845909|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[-4.031224846311973, -0.0199466964321161, 4.023829508821872, 0.0221684867835786, -2.0097259800382505, -0.0609962446332688]|  4.8838069883845909|      0.12500000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[-4.031224846311973, -0.0199466964321161, 4.023829508821872, 0.0221684867835786, -2.0097259800382505, -0.0609962446332688]|  4.8838069883845909|      0.06250000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[-4.031424390451771, -0.0624044733303283, 4.043605008899306, 0.0594167500264627, -1.996969547255916, -0.0737366240524194]|  0.9261228792792837|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       8|[-4.031424390451771, -0.0624044733303283, 4.043605008899306, 0.0594167500264627, -1.996969547255916, -0.0737366240524194]|  0.9261228792792837|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[-4.031424390451771, -0.0624044733303283, 4.043605008899306, 0.0594167500264627, -1.996969547255916, -0.0737366240524194]|  0.9261228792792837|      0.03125000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[-4.0402360600598834, -0.0597370143496965, 4.059103787901387, 0.0444608791464456, -2.0050828584218916, -0.0547080771059746]|  0.5799556456738757|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[-4.0402360600598834, -0.0597370143496965, 4.059103787901387, 0.0444608791464456, -2.0050828584218916, -0.0547080771059746]|  0.5799556456738757|      0.03125000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[-4.0402360600598834, -0.0597370143496965, 4.059103787901387, 0.0444608791464456, -2.0050828584218916, -0.0547080771059746]|  0.5799556456738757|      0.01562500|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[-4.0327178871542415, -0.0718791633312821, 4.060595607833499, 0.0402766435930395, -2.0012542956310373, -0.057115289674507]|  0.4736292596036312|      0.03125000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[-4.0327178871542415, -0.0718791633312821, 4.060595607833499, 0.0402766435930395, -2.0012542956310373, -0.057115289674507]|  0.4736292596036312|      0.01562500|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[-4.0327178871542415, -0.0718791633312821, 4.060595607833499, 0.0402766435930395, -2.0012542956310373, -0.057115289674507]|  0.4736292596036312|      0.00781250|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-4.03489759596447, -0.0711794988684578, 4.058346131467702, 0.0343774760836645, -1.9980934130393149, -0.054677463714871]|  0.4292051317122014|      0.01562500|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[-4.03489759596447, -0.0711794988684578, 4.058346131467702, 0.0343774760836645, -1.9980934130393149, -0.054677463714871]|  0.4292051317122014|      0.00781250|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[-4.03489759596447, -0.0711794988684578, 4.058346131467702, 0.0343774760836645, -1.9980934130393149, -0.054677463714871]|  0.4292051317122014|      0.00390625|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[-4.0355538724903095, -0.0747946694800747, 4.058942449367589, 0.0338987910179607, -1.998164812166149, -0.0557585739626564]|  0.4194555723872136|      0.00781250|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[-4.039632629361914, -0.0759199970944448, 4.05492736988272, 0.0290980475594931, -1.9997489666224322, -0.0545523442882247]|  0.4012854147486946|      0.01562500|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[-4.039632629361914, -0.0759199970944448, 4.05492736988272, 0.0290980475594931, -1.9997489666224322, -0.0545523442882247]|  0.4012854147486946|      0.00781250|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[-4.039632629361914, -0.0759199970944448, 4.05492736988272, 0.0290980475594931, -1.9997489666224322, -0.0545523442882247]|  0.4012854147486946|      0.00390625|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[-4.039632629361914, -0.0759199970944448, 4.05492736988272, 0.0290980475594931, -1.9997489666224322, -0.0545523442882247]|  0.4012854147486946|      0.00195312|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[-4.039922171841736, -0.0772921819423547, 4.054708472022022, 0.0282571527024024, -1.9994171896977735, -0.055543744711532]|  0.3983103781369183|      0.00390625|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[-4.039922171841736, -0.0772921819423547, 4.054708472022022, 0.0282571527024024, -1.9994171896977735, -0.055543744711532]|  0.3983103781369183|      0.00195312|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[-4.039922171841736, -0.0772921819423547, 4.054708472022022, 0.0282571527024024, -1.9994171896977735, -0.055543744711532]|  0.3983103781369183|      0.00097656|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[-4.040000162384912, -0.077179663352941, 4.054631140288214, 0.0273037002241364, -1.9993295395671988, -0.0556541846855566]|  0.3972936184252383|      0.00195312|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[-4.040000162384912, -0.077179663352941, 4.054631140288214, 0.0273037002241364, -1.9993295395671988, -0.0556541846855566]|  0.3972936184252383|      0.00097656|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[-4.040222522287679, -0.077999354406466, 4.054675123979769, 0.0269233366764803, -1.9994920319659357, -0.0558977461637573]|  0.3965604155577171|      0.00195312|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      30|[-4.040222522287679, -0.077999354406466, 4.054675123979769, 0.0269233366764803, -1.9994920319659357, -0.0558977461637573]|  0.3965604155577171|      0.00097656|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
