k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.635656158488512, 2.7557066796177043, 0.2841471854277967, 40.09349929590795, -0.8137298594690714, -1.43603795656284, 25.8005893112348, -0.503292668036915, 1.2037149466372994]|912.5228718037935778|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[10.635656158488512, 2.7557066796177043, 0.2841471854277967, 40.09349929590795, -0.8137298594690714, -1.43603795656284, 25.8005893112348, -0.503292668036915, 1.2037149466372994]|912.5228718037935778|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[10.635656158488512, 2.7557066796177043, 0.2841471854277967, 40.09349929590795, -0.8137298594690714, -1.43603795656284, 25.8005893112348, -0.503292668036915, 1.2037149466372994]|912.5228718037935778|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[10.619251940635504, 2.6911959975328057, 0.3026130514674507, 40.24901138376508, -0.6174823048480285, -1.379163703455501, 26.150578001630304, -0.6441061655933488, 1.0114235843892823]|868.6250393724291143|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[10.619251940635504, 2.6911959975328057, 0.3026130514674507, 40.24901138376508, -0.6174823048480285, -1.379163703455501, 26.150578001630304, -0.6441061655933488, 1.0114235843892823]|868.6250393724291143|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[10.619251940635504, 2.6911959975328057, 0.3026130514674507, 40.24901138376508, -0.6174823048480285, -1.379163703455501, 26.150578001630304, -0.6441061655933488, 1.0114235843892823]|868.6250393724291143|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[10.574301644093536, 2.823802648369596, 0.4197430589197336, 40.33275981752678, -0.5740145288611623, -1.443403687347018, 26.256802080589296, -0.5751185233084245, 1.0215544961440952]|856.8456911105116660|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[10.574301644093536, 2.823802648369596, 0.4197430589197336, 40.33275981752678, -0.5740145288611623, -1.443403687347018, 26.256802080589296, -0.5751185233084245, 1.0215544961440952]|856.8456911105116660|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[10.58220849843572, 2.9522935599387146, 0.3968232810323488, 40.42011362310557, -0.5013241558332782, -1.3713805460579707, 26.319296744651062, -0.5950428587766149, 1.173204680248589]|848.0794610513371481|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[10.58220849843572, 2.9522935599387146, 0.3968232810323488, 40.42011362310557, -0.5013241558332782, -1.3713805460579707, 26.319296744651062, -0.5950428587766149, 1.173204680248589]|848.0794610513371481|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[10.58220849843572, 2.9522935599387146, 0.3968232810323488, 40.42011362310557, -0.5013241558332782, -1.3713805460579707, 26.319296744651062, -0.5950428587766149, 1.173204680248589]|848.0794610513371481|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[10.60001287699632, 3.001417306315351, 0.4256838125090392, 40.38383253040571, -0.5676821547249296, -1.334985619953473, 26.33579535978449, -0.5286875851431145, 1.1917090683235263]|845.0926972603888316|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[10.60001287699632, 3.001417306315351, 0.4256838125090392, 40.38383253040571, -0.5676821547249296, -1.334985619953473, 26.33579535978449, -0.5286875851431145, 1.1917090683235263]|845.0926972603888316|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[10.63014269088294, 3.060245180729368, 0.4291229527009745, 40.438379048709216, -0.5516723256961972, -1.3179134658722313, 26.31811321151352, -0.5145636349494195, 1.2766172997015197]|842.9976711617739511|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
