k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[-0.1240559864922213, 0.1617850878029103, 0.0342035000239672, 0.0509613404457878, 0.1126393690428505, 0.0923815631215356, 0.1856791223003228, -0.1915747705193646, 0.1485472997609674, -0.0465823413038193, 0.2054510521051668, -0.214062608893917]| 11.6478147605717783|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       3|[-0.1240559864922213, 0.1617850878029103, 0.0342035000239672, 0.0509613404457878, 0.1126393690428505, 0.0923815631215356, 0.1856791223003228, -0.1915747705193646, 0.1485472997609674, -0.0465823413038193, 0.2054510521051668, -0.214062608893917]| 11.6478147605717783|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[-0.1240559864922213, 0.1617850878029103, 0.0342035000239672, 0.0509613404457878, 0.1126393690428505, 0.0923815631215356, 0.1856791223003228, -0.1915747705193646, 0.1485472997609674, -0.0465823413038193, 0.2054510521051668, -0.214062608893917]| 11.6478147605717783|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[-0.1240559864922213, 0.1617850878029103, 0.0342035000239672, 0.0509613404457878, 0.1126393690428505, 0.0923815631215356, 0.1856791223003228, -0.1915747705193646, 0.1485472997609674, -0.0465823413038193, 0.2054510521051668, -0.214062608893917]| 11.6478147605717783|      0.12500000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[-0.0861524469421454, 0.2321288594585801, 0.0461502263138743, 0.0469054730741259, 0.1468487398257425, 0.0490435952287504, 0.1511012171587721, -0.1739802350538703, 0.099667320034774, -0.0758175248113344, 0.1794403399732619, -0.238694618934234]| 10.9085930532400841|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[-0.0861524469421454, 0.2321288594585801, 0.0461502263138743, 0.0469054730741259, 0.1468487398257425, 0.0490435952287504, 0.1511012171587721, -0.1739802350538703, 0.099667320034774, -0.0758175248113344, 0.1794403399732619, -0.238694618934234]| 10.9085930532400841|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[-0.1468739614072616, 0.253498067463426, 0.1003019049427227, 0.0505118413906362, 0.1148492136895847, 0.0660170868248957, 0.2268699364371766, -0.1450669344422358, 0.1090541758369525, -0.0646984583758025, 0.1992938003747816, -0.2322921985999332]|  7.9676654822358701|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[-0.1468739614072616, 0.253498067463426, 0.1003019049427227, 0.0505118413906362, 0.1148492136895847, 0.0660170868248957, 0.2268699364371766, -0.1450669344422358, 0.1090541758369525, -0.0646984583758025, 0.1992938003747816, -0.2322921985999332]|  7.9676654822358701|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[-0.117356175086912, 0.3145738904790266, 0.0453236321811146, 0.0444886363204031, 0.1097778135592544, 0.03801262378253, 0.2996084083731279, -0.1551197234308261, 0.0905052939295423, -0.0811559772857677, 0.1661747013292746, -0.2251608542194596]|  7.0458550681839514|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      11|[-0.117356175086912, 0.3145738904790266, 0.0453236321811146, 0.0444886363204031, 0.1097778135592544, 0.03801262378253, 0.2996084083731279, -0.1551197234308261, 0.0905052939295423, -0.0811559772857677, 0.1661747013292746, -0.2251608542194596]|  7.0458550681839514|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
