k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0435008650382826, -0.1065764374006484, -0.2624372835010067, 0.2363321941469089, 0.8940157687576514, 0.0349760623153796, -0.0555502859393428, -0.2277529752937154, 0.0811056855264836]|66034.2634813613694860|      2.00000000|[56, 3, 1, 5]                                                              |  | used quadratic model with 59 points | iterate success | actual_k=1
       2|[0.0435008650382826, -0.1065764374006484, -0.2624372835010067, 0.2363321941469089, 0.8940157687576514, 0.0349760623153796, -0.0555502859393428, -0.2277529752937154, 0.0811056855264836]|66034.2634813613694860|      1.00000000|[111, 7, 2, 10]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=1
       3|[0.0435008650382826, -0.1065764374006484, -0.2624372835010067, 0.2363321941469089, 0.8940157687576514, 0.0349760623153796, -0.0555502859393428, -0.2277529752937154, 0.0811056855264836]|66034.2634813613694860|      0.50000000|[166, 11, 3, 15]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       4|[0.0435008650382826, -0.1065764374006484, -0.2624372835010067, 0.2363321941469089, 0.8940157687576514, 0.0349760623153796, -0.0555502859393428, -0.2277529752937154, 0.0811056855264836]|66034.2634813613694860|      0.25000000|[221, 15, 4, 20]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       5|[0.1019799442762175, -0.1083400880623385, -0.2272692518300704, 0.0126429132267765, 0.9276929880420717, -0.0333040041055922, -0.0124515669354968, -0.2335462064927674, 0.0703345063444447]|1266.4933003840412766|      0.50000000|[277, 18, 5, 25]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=1
       6|[0.1019799442762175, -0.1083400880623385, -0.2272692518300704, 0.0126429132267765, 0.9276929880420717, -0.0333040041055922, -0.0124515669354968, -0.2335462064927674, 0.0703345063444447]|1266.4933003840412766|      0.25000000|[333, 21, 6, 30]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       7|[0.1019799442762175, -0.1083400880623385, -0.2272692518300704, 0.0126429132267765, 0.9276929880420717, -0.0333040041055922, -0.0124515669354968, -0.2335462064927674, 0.0703345063444447]|1266.4933003840412766|      0.12500000|[388, 25, 7, 35]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       8|[0.1019799442762175, -0.1083400880623385, -0.2272692518300704, 0.0126429132267765, 0.9276929880420717, -0.0333040041055922, -0.0124515669354968, -0.2335462064927674, 0.0703345063444447]|1266.4933003840412766|      0.06250000|[443, 29, 8, 40]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       9|[0.1085414906782062, -0.1162518262666788, -0.2225171233921369, 0.0095767654104343, 0.92840795405944, 0.0253927213199879, -0.011880290685378, -0.2440666822203647, 0.0848876160498447]|607.8448398930826215|      0.12500000|[498, 33, 9, 45]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=1
      10|[0.1085414906782062, -0.1162518262666788, -0.2225171233921369, 0.0095767654104343, 0.92840795405944, 0.0253927213199879, -0.011880290685378, -0.2440666822203647, 0.0848876160498447]|607.8448398930826215|      0.06250000|[553, 37, 10, 50]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=1
      11|[0.1085414906782062, -0.1162518262666788, -0.2225171233921369, 0.0095767654104343, 0.92840795405944, 0.0253927213199879, -0.011880290685378, -0.2440666822203647, 0.0848876160498447]|607.8448398930826215|      0.03125000|[609, 40, 11, 55]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=1
