k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.16531543200751, 39.29813459168622, 41.26983123339136, 39.401795689465594]   |850.0269775390625000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.545393333716362, 38.35243589514289, 41.86121438629396, 39.76480028625085]   |688.1160888671875000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[19.31886854429153, 37.12951830601311, 40.019060354807436, 40.60174644802113]   |492.6352233886718750|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[13.015927273500747, 33.70653145672002, 42.766755509407496, 42.839214593920914] |161.7415924072265625|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-1.2194410806543239, 30.744139824612855, 46.5198717664494, 48.361228900373725] |  1.9651254415512085|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[-1.2194410806543239, 30.744139824612855, 46.5198717664494, 48.361228900373725] |  1.9651254415512085|     16.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-1.2194410806543239, 30.744139824612855, 46.5198717664494, 48.361228900373725] |  1.9651254415512085|      8.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[-1.2194410806543239, 30.744139824612855, 46.5198717664494, 48.361228900373725] |  1.9651254415512085|      4.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-1.2194410806543239, 30.744139824612855, 46.5198717664494, 48.361228900373725] |  1.9651254415512085|      2.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.7216769425612681, 31.041159394296532, 46.14093238388573, 48.34557196852927]  |  0.0676421299576759|      4.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.7216769425612681, 31.041159394296532, 46.14093238388573, 48.34557196852927]  |  0.0676421299576759|      2.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.7216769425612681, 31.041159394296532, 46.14093238388573, 48.34557196852927]  |  0.0676421299576759|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.7216769425612681, 31.041159394296532, 46.14093238388573, 48.34557196852927]  |  0.0676421299576759|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.7216769425612681, 31.041159394296532, 46.14093238388573, 48.34557196852927]  |  0.0676421299576759|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.5090998688580362, 31.1006944303884, 46.06827722523073, 48.437701199146524]   |  0.0129141826182604|      0.50000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[0.5090998688580362, 31.1006944303884, 46.06827722523073, 48.437701199146524]   |  0.0129141826182604|      0.25000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[0.5090998688580362, 31.1006944303884, 46.06827722523073, 48.437701199146524]   |  0.0129141826182604|      0.12500000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[0.5090998688580362, 31.1006944303884, 46.06827722523073, 48.437701199146524]   |  0.0129141826182604|      0.06250000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[0.5090998688580362, 31.1006944303884, 46.06827722523073, 48.437701199146524]   |  0.0129141826182604|      0.03125000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[0.4800305626786389, 31.094735057486186, 46.07004118083647, 48.42806209786675]  |  0.0104583185166121|      0.06250000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
