k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[1.154578906043583, 0.3764932841493634, 0.6492830909026673, 0.8157484815900158, 0.4917275123885881, 2.853700767456241, 4.74814003786261, 6.891340493359487, 2.166612380285885, 4.561128588815039, 5.471974274222414]|  1.9885355172242878|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       3|[1.154578906043583, 0.3764932841493634, 0.6492830909026673, 0.8157484815900158, 0.4917275123885881, 2.853700767456241, 4.74814003786261, 6.891340493359487, 2.166612380285885, 4.561128588815039, 5.471974274222414]|  1.9885355172242878|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[1.154578906043583, 0.3764932841493634, 0.6492830909026673, 0.8157484815900158, 0.4917275123885881, 2.853700767456241, 4.74814003786261, 6.891340493359487, 2.166612380285885, 4.561128588815039, 5.471974274222414]|  1.9885355172242878|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[1.154578906043583, 0.3764932841493634, 0.6492830909026673, 0.8157484815900158, 0.4917275123885881, 2.853700767456241, 4.74814003786261, 6.891340493359487, 2.166612380285885, 4.561128588815039, 5.471974274222414]|  1.9885355172242878|      0.12500000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[1.1869480383405777, 0.3569719640473774, 0.5832179700876345, 0.8479169576900316, 0.4935226296850349, 2.8294389498096013, 4.729435731901659, 6.913461914201039, 2.1861080915116817, 4.568155219137667, 5.555258266921287]|  1.5900807509547863|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[1.1869480383405777, 0.3569719640473774, 0.5832179700876345, 0.8479169576900316, 0.4935226296850349, 2.8294389498096013, 4.729435731901659, 6.913461914201039, 2.1861080915116817, 4.568155219137667, 5.555258266921287]|  1.5900807509547863|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[1.2385156043058054, 0.3566046932903936, 0.5644430376888253, 0.8693396903431585, 0.3976150965801881, 2.834890515224386, 4.686068649020803, 6.9185566446193, 2.1954121653198317, 4.556874751440762, 5.583644360760675]|  1.3274727279913436|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[1.2385156043058054, 0.3566046932903936, 0.5644430376888253, 0.8693396903431585, 0.3976150965801881, 2.834890515224386, 4.686068649020803, 6.9185566446193, 2.1954121653198317, 4.556874751440762, 5.583644360760675]|  1.3274727279913436|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[1.2385156043058054, 0.3566046932903936, 0.5644430376888253, 0.8693396903431585, 0.3976150965801881, 2.834890515224386, 4.686068649020803, 6.9185566446193, 2.1954121653198317, 4.556874751440762, 5.583644360760675]|  1.3274727279913436|      0.06250000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[1.265245318322041, 0.3590096195202296, 0.5575155301813575, 0.8692124274479635, 0.4214403227499282, 2.8203038717407805, 4.666864770061999, 6.923680903216527, 2.2168727847546155, 4.544261933119025, 5.620289718261923]|  1.1993664512935971|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
