id      | name           | load time (s)  | n      | m      | n_fixed| n_free | vartype
       0|SISSER          |        0.002864|       2|       0|       0|       2|0 0
       1|CHWIRUT2LS      |        0.001213|       3|       0|       0|       3|0 0 0
       2|DENSCHNB        |       0.0006931|       2|       0|       0|       2|0 0
       3|GBRAINLS        |          0.1025|       2|       0|       0|       2|0 0
       4|MGH10LS         |        0.001058|       3|       0|       0|       3|0 0 0
       5|QING            |        0.001214|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
       6|BOX3            |       0.0008123|       3|       0|       0|       3|0 0 0
       7|DENSCHNC        |       0.0009372|       2|       0|       0|       2|0 0
       8|MGH09LS         |        0.000788|       4|       0|       0|       4|0 0 0 0
       9|DENSCHNA        |       0.0007026|       2|       0|       0|       2|0 0
      10|LUKSAN21LS      |        0.001404|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      11|VANDANMSLS      |        0.002237|      22|       0|       0|      22|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      12|SENSORS         |         0.05912|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      13|DENSCHND        |        0.001438|       3|       0|       0|       3|0 0 0
      14|CUBE            |        0.001022|       2|       0|       0|       2|0 0
      15|MUONSINELS      |        0.003444|       1|       0|       0|       1|0
      16|DENSCHNE        |        0.002048|       3|       0|       0|       3|0 0 0
      17|DMN15333LS      |           16.36|      99|       0|       0|      99|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      18|DIAMON3DLS      |           15.75|      99|       0|       0|      99|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      19|EXPFIT          |        0.001094|       2|       0|       0|       2|0 0
      20|HELIX           |        0.001023|       3|       0|       0|       3|0 0 0
      21|LSC2LS          |       0.0007019|       3|       0|       0|       3|0 0 0
      22|KOWOSB          |       0.0007281|       4|       0|       0|       4|0 0 0 0
      23|S308            |       0.0006843|       2|       0|       0|       2|0 0
      24|DANIWOODLS      |       0.0006936|       2|       0|       0|       2|0 0
      25|DENSCHNF        |       0.0006871|       2|       0|       0|       2|0 0
      26|LRIJCNN1        |          0.3941|      22|       0|       0|      22|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      27|YFITU           |        0.001398|       3|       0|       0|       3|0 0 0
      28|CHWIRUT1LS      |        0.001865|       3|       0|       0|       3|0 0 0
      29|COOLHANSLS      |       0.0007904|       9|       0|       0|       9|0 0 0 0 0 0 0 0 0
      30|HAHN1LS         |        0.002621|       7|       0|       0|       7|0 0 0 0 0 0 0
      31|HIMMELBB        |        0.000757|       2|       0|       0|       2|0 0
