k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.10000000|[23, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[0.011598640406066, -0.0545746116561369, 0.0014215436434765, 0.0237441633069894, 0.0669819230908756, 0.0374677458755005, -0.0077959242810059, 0.0184947798915534, 0.0052947053986114]|692526.5000000000000000|      1.00000000|[45, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[0.011598640406066, -0.0545746116561369, 0.0014215436434765, 0.0237441633069894, 0.0669819230908756, 0.0374677458755005, -0.0077959242810059, 0.0184947798915534, 0.0052947053986114]|692526.5000000000000000|      0.10000000|[65, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.0104821793141643, -0.0595722637618366, -0.0001835107257523, 0.019762101782006, 0.1664115762755156, 0.0313480176105491, -0.0049877536951748, 0.0143764150525033, 0.0026889008966496]|442561.9687500000000000|      1.00000000|[86, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[0.0104821793141643, -0.0595722637618366, -0.0001835107257523, 0.019762101782006, 0.1664115762755156, 0.0313480176105491, -0.0049877536951748, 0.0143764150525033, 0.0026889008966496]|442561.9687500000000000|      0.10000000|[108, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.0118043154007335, -0.0627342687286769, -0.0054629045116356, 0.015695265779469, 0.2656350750627323, 0.0217210033142154, -0.005274757788026, 0.0164699182761269, 0.0015076794927297]|267488.1875000000000000|      1.00000000|[130, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[0.0118043154007335, -0.0627342687286769, -0.0054629045116356, 0.015695265779469, 0.2656350750627323, 0.0217210033142154, -0.005274757788026, 0.0164699182761269, 0.0015076794927297]|267488.1875000000000000|      0.10000000|[150, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[0.0311036062942733, -0.0706709078726635, -0.0336361125180841, 0.0302742193034459, 0.3562060324805196, 0.0102253485700024, 0.0034508891724491, 0.0285622488046539, 0.00069415824962]|159584.3750000000000000|      1.00000000|[172, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       9|[0.0311036062942733, -0.0706709078726635, -0.0336361125180841, 0.0302742193034459, 0.3562060324805196, 0.0102253485700024, 0.0034508891724491, 0.0285622488046539, 0.00069415824962]|159584.3750000000000000|      0.10000000|[193, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[0.0326480803256488, -0.0992361790740378, -0.0359580949783812, 0.0282499732947483, 0.4490636344905283, -0.0064236979126917, 0.016299544110091, 0.0383698651447118, 0.0040330854570107]|86071.3046875000000000|      1.00000000|[214, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      11|[0.0326480803256488, -0.0992361790740378, -0.0359580949783812, 0.0282499732947483, 0.4490636344905283, -0.0064236979126917, 0.016299544110091, 0.0383698651447118, 0.0040330854570107]|86071.3046875000000000|      0.10000000|[237, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[0.0319777237521978, -0.1061135746074428, -0.0291029984673942, 0.0320953751851571, 0.5463509316810806, 0.0034465448513232, 0.0234958931073839, 0.0255109557303173, 0.0145731856361343]|40693.9960937500000000|      1.00000000|[258, 96, 0, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      13|[0.0319777237521978, -0.1061135746074428, -0.0291029984673942, 0.0320953751851571, 0.5463509316810806, 0.0034465448513232, 0.0234958931073839, 0.0255109557303173, 0.0145731856361343]|40693.9960937500000000|      0.10000000|[279, 104, 0, 26]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[0.0433113859800368, -0.1211599839707871, -0.0452302732428029, 0.0093162751324035, 0.6350614525644102, -0.0072697628405849, 0.0105424520486235, 0.0107883374725898, 0.0368719386352636]|17069.8457031250000000|      1.00000000|[301, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      15|[0.0433113859800368, -0.1211599839707871, -0.0452302732428029, 0.0093162751324035, 0.6350614525644102, -0.0072697628405849, 0.0105424520486235, 0.0107883374725898, 0.0368719386352636]|17069.8457031250000000|      0.10000000|[324, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[0.0433113859800368, -0.1211599839707871, -0.0452302732428029, 0.0093162751324035, 0.6350614525644102, -0.0072697628405849, 0.0105424520486235, 0.0107883374725898, 0.0368719386352636]|17069.8457031250000000|      0.01000000|[346, 128, 0, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      17|[0.0424521096325884, -0.121477966631912, -0.0454734960117745, 0.0095700460371232, 0.6448038647116701, -0.0053716858316231, 0.0106169229857892, 0.0101201637464998, 0.0371320950704416]|15335.8125000000000000|      0.10000000|[369, 136, 0, 34]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      18|[0.0424521096325884, -0.121477966631912, -0.0454734960117745, 0.0095700460371232, 0.6448038647116701, -0.0053716858316231, 0.0106169229857892, 0.0101201637464998, 0.0371320950704416]|15335.8125000000000000|      0.01000000|[391, 144, 0, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[0.0426810331210462, -0.1199561922860086, -0.047130764029219, 0.0114199892354428, 0.654030590800861, -0.0031648180333071, 0.0116963451288219, 0.0105802207559297, 0.0368432606214329]|13835.4531250000000000|      0.10000000|[413, 152, 0, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      20|[0.0426810331210462, -0.1199561922860086, -0.047130764029219, 0.0114199892354428, 0.654030590800861, -0.0031648180333071, 0.0116963451288219, 0.0105802207559297, 0.0368432606214329]|13835.4531250000000000|      0.01000000|[433, 160, 0, 40]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      21|[0.0396972760351817, -0.118063325649911, -0.046986358383177, 0.0130479806264304, 0.6620677745803424, -0.0007410342454535, 0.0146014787224697, 0.0128397452628312, 0.0359340095883769]|12650.4111328125000000|      0.10000000|[454, 168, 0, 42]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      22|[0.0396972760351817, -0.118063325649911, -0.046986358383177, 0.0130479806264304, 0.6620677745803424, -0.0007410342454535, 0.0146014787224697, 0.0128397452628312, 0.0359340095883769]|12650.4111328125000000|      0.01000000|[475, 176, 0, 44]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[0.0398241143245517, -0.1198470929414265, -0.050631329005262, 0.0099600931806392, 0.6667170267798685, 0.0042857281849681, 0.0105646197241452, 0.0158039931288025, 0.0345147336975203]|11998.5644531250000000|      0.10000000|[497, 184, 0, 46]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      24|[0.0398241143245517, -0.1198470929414265, -0.050631329005262, 0.0099600931806392, 0.6667170267798685, 0.0042857281849681, 0.0105646197241452, 0.0158039931288025, 0.0345147336975203]|11998.5644531250000000|      0.01000000|[518, 192, 0, 48]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      25|[0.0400048952610285, -0.1197789078942103, -0.0520116417037174, 0.0103528574239229, 0.6764150510097793, 0.0036723242404045, 0.0097493469967484, 0.0145446534407858, 0.0356213491334473]|10700.0722656250000000|      0.10000000|[539, 200, 0, 50]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      26|[0.0400048952610285, -0.1197789078942103, -0.0520116417037174, 0.0103528574239229, 0.6764150510097793, 0.0036723242404045, 0.0097493469967484, 0.0145446534407858, 0.0356213491334473]|10700.0722656250000000|      0.01000000|[559, 208, 0, 52]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[0.0373698371048921, -0.1196992129101794, -0.0526669875733092, 0.0064856793594313, 0.6847746888584346, 0.0049351214917018, 0.0075002176224436, 0.0136716678330711, 0.0362268936485996]|9679.3261718750000000|      0.10000000|[582, 216, 0, 54]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      28|[0.0456327978961032, -0.0887819127487433, -0.0659486131301489, -0.0016023568907185, 0.7576319794899584, -0.0008468967498923, -0.0124980882198136, -0.0406833259011807, 0.0423922815805362]|3525.6728515625000000|      1.00000000|[603, 224, 0, 56]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      29|[0.0456327978961032, -0.0887819127487433, -0.0659486131301489, -0.0016023568907185, 0.7576319794899584, -0.0008468967498923, -0.0124980882198136, -0.0406833259011807, 0.0423922815805362]|3525.6728515625000000|      0.10000000|[625, 232, 0, 58]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      30|[0.0456327978961032, -0.0887819127487433, -0.0659486131301489, -0.0016023568907185, 0.7576319794899584, -0.0008468967498923, -0.0124980882198136, -0.0406833259011807, 0.0423922815805362]|3525.6728515625000000|      0.01000000|[647, 240, 0, 60]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      31|[0.0451327962267157, -0.0887259465285129, -0.0661155125114582, -0.0006100050963889, 0.7674980510598517, -0.0006158099799995, -0.013054227082579, -0.0416971577251094, 0.0424581139908538]|2999.8759765625000000|      0.10000000|[669, 248, 0, 62]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      32|[0.0451327962267157, -0.0887259465285129, -0.0661155125114582, -0.0006100050963889, 0.7674980510598517, -0.0006158099799995, -0.013054227082579, -0.0416971577251094, 0.0424581139908538]|2999.8759765625000000|      0.01000000|[691, 256, 0, 64]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      33|[0.0458042987196317, -0.0900806362945427, -0.0653890187408104, 0.0015880782229993, 0.77698607242538, 0.0006903701145485, -0.0123702226705175, -0.0420803073216101, 0.042564015081152]|2540.9638671875000000|      0.10000000|[712, 264, 0, 66]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      34|[0.0458042987196317, -0.0900806362945427, -0.0653890187408104, 0.0015880782229993, 0.77698607242538, 0.0006903701145485, -0.0123702226705175, -0.0420803073216101, 0.042564015081152]|2540.9638671875000000|      0.01000000|[733, 272, 0, 68]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
