k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.7502556574007075, 0.0886967553486969]                                        |  0.9595559835433960|      0.50000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       4|[0.7502556574007075, 0.0886967553486969]                                        |  0.9595559835433960|      0.25000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.5016748582046935, 0.0620962615361589]                                        |  0.1920104771852493|      0.50000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[0.5016748582046935, 0.0620962615361589]                                        |  0.1920104771852493|      0.25000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.5016748582046935, 0.0620962615361589]                                        |  0.1920104771852493|      0.12500000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.3769194213138176, 0.0542808302514627]                                        |  0.0614133961498737|      0.25000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[0.3769194213138176, 0.0542808302514627]                                        |  0.0614133961498737|      0.12500000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.3769194213138176, 0.0542808302514627]                                        |  0.0614133961498737|      0.06250000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.3146532741381919, 0.048879264191206]                                         |  0.0298971869051456|      0.12500000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[0.3146532741381919, 0.048879264191206]                                         |  0.0298971869051456|      0.06250000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.3146532741381919, 0.048879264191206]                                         |  0.0298971869051456|      0.03125000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.2834253822626267, 0.0477039901771952]                                        |  0.0197398476302624|      0.06250000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      15|[0.2834253822626267, 0.0477039901771952]                                        |  0.0197398476302624|      0.03125000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.2834253822626267, 0.0477039901771952]                                        |  0.0197398476302624|      0.01562500|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[0.2678232248292828, 0.0468594142924149]                                        |  0.0157647412270308|      0.03125000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      18|[0.2678232248292828, 0.0468594142924149]                                        |  0.0157647412270308|      0.01562500|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.2522341618737142, 0.0458002914632221]                                        |  0.0124234221875668|      0.03125000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
