k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9298949486707209, 2.0024846651103916, -8.006959772854904]                    | 40.8731384277343750|      1.11111111|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[2.251457428588368, 0.9748257035420196, -7.732947854406096]                     |  9.7742366790771484|      1.23456790|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[2.251457428588368, 0.9748257035420196, -7.732947854406096]                     |  9.7742366790771484|      1.11111111|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[2.353944010581992, -0.1027583280665278, -7.482194875225188]                    |  6.5484275817871094|      1.23456790|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[1.3066910975767874, -0.4461825060674449, -8.038503308493311]                   |  2.7678563594818115|      1.37174211|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.3066910975767874, -0.4461825060674449, -8.038503308493311]                   |  2.7678563594818115|      1.23456790|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.3066910975767874, -0.4461825060674449, -8.038503308493311]                   |  2.7678563594818115|      1.11111111|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.3066910975767874, -0.4461825060674449, -8.038503308493311]                   |  2.7678563594818115|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      1.11111111|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      0.90000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      0.81000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      0.72900000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      0.65610000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.3099334866078785, -0.3665626306077953, -8.050119693789215]                   |  1.1493350267410278|      0.59049000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
