k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      2.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      4.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      2.00000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.2146277664575507, 0.1020548689734204, 0.2716328112103878, 1.5622299419892536, -1.904212337e-07, 1.717017859e-07, -1.634652975e-07, 1.059569226e-07, 1.845120256e-07, 4.244815399e-07, -1.37588056e-08, 6.356535445e-07, 8.334109183e-07, 1.643302648e-07, -6.6908615e-09, 1.641922642e-07, -6.356279267e-07, 1.033838766e-07, 3.194301046e-07, 7.08120062e-08, 7.9221226e-08, 4.726573141e-07]| 12.2449541091918945|      2.00000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       6|[1.2146277664575507, 0.1020548689734204, 0.2716328112103878, 1.5622299419892536, -1.904212337e-07, 1.717017859e-07, -1.634652975e-07, 1.059569226e-07, 1.845120256e-07, 4.244815399e-07, -1.37588056e-08, 6.356535445e-07, 8.334109183e-07, 1.643302648e-07, -6.6908615e-09, 1.641922642e-07, -6.356279267e-07, 1.033838766e-07, 3.194301046e-07, 7.08120062e-08, 7.9221226e-08, 4.726573141e-07]| 12.2449541091918945|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.2146277664575507, 0.1020548689734204, 0.2716328112103878, 1.5622299419892536, -1.904212337e-07, 1.717017859e-07, -1.634652975e-07, 1.059569226e-07, 1.845120256e-07, 4.244815399e-07, -1.37588056e-08, 6.356535445e-07, 8.334109183e-07, 1.643302648e-07, -6.6908615e-09, 1.641922642e-07, -6.356279267e-07, 1.033838766e-07, 3.194301046e-07, 7.08120062e-08, 7.9221226e-08, 4.726573141e-07]| 12.2449541091918945|      0.50000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.5180009034098831, 0.1274515249784979, 0.3396066077386656, 1.9529975361190903, -2.891030079e-07, -1.336062906e-07, 4.075445093e-07, 7.81036311e-08, -4.84678793e-08, 3.565269049e-07, 1.650150387e-07, 4.664371218e-07, 1.1398201588e-06, -4.661223705e-07, -2.78257882e-07, -2.38609918e-08, 2.923516984e-07, 8.42856893e-07, 5.67586135e-08, -3.012101152e-07, 4.910348497e-07, 2.783444035e-07]| 12.1452999114990234|      1.00000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[1.5180009034098831, 0.1274515249784979, 0.3396066077386656, 1.9529975361190903, -2.891030079e-07, -1.336062906e-07, 4.075445093e-07, 7.81036311e-08, -4.84678793e-08, 3.565269049e-07, 1.650150387e-07, 4.664371218e-07, 1.1398201588e-06, -4.661223705e-07, -2.78257882e-07, -2.38609918e-08, 2.923516984e-07, 8.42856893e-07, 5.67586135e-08, -3.012101152e-07, 4.910348497e-07, 2.783444035e-07]| 12.1452999114990234|      0.50000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.5180009034098831, 0.1274515249784979, 0.3396066077386656, 1.9529975361190903, -2.891030079e-07, -1.336062906e-07, 4.075445093e-07, 7.81036311e-08, -4.84678793e-08, 3.565269049e-07, 1.650150387e-07, 4.664371218e-07, 1.1398201588e-06, -4.661223705e-07, -2.78257882e-07, -2.38609918e-08, 2.923516984e-07, 8.42856893e-07, 5.67586135e-08, -3.012101152e-07, 4.910348497e-07, 2.783444035e-07]| 12.1452999114990234|      0.25000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.5180009034098831, 0.1274515249784979, 0.3396066077386656, 1.9529975361190903, -2.891030079e-07, -1.336062906e-07, 4.075445093e-07, 7.81036311e-08, -4.84678793e-08, 3.565269049e-07, 1.650150387e-07, 4.664371218e-07, 1.1398201588e-06, -4.661223705e-07, -2.78257882e-07, -2.38609918e-08, 2.923516984e-07, 8.42856893e-07, 5.67586135e-08, -3.012101152e-07, 4.910348497e-07, 2.783444035e-07]| 12.1452999114990234|      0.12500000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
