k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.90000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.90000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.81000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.72900000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.65610000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.59049000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.53144100|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.47829690|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.43046721|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.38742049|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.34867844|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.31381060|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.28242954|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.25418658|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.22876792|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.20589113|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.18530202|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.16677182|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.15009464|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.13508517|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.12157665|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.10941899|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.09847709|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.08862938|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.07976644|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.07178980|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.06461082|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.05814974|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.05233476|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.1264506336079779, -0.1165906380158123]                                       |  0.0017560670385137|      0.04710129|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
