k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      2.00000000|[23, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      1.00000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.3693835099125347, -0.8229998192382346, -1.9724974185592083]                  |  6.9210572242736816|      2.00000000|[39, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.3693835099125347, -0.8229998192382346, -1.9724974185592083]                  |  6.9210572242736816|      1.00000000|[49, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.3693835099125347, -0.8229998192382346, -1.9724974185592083]                  |  6.9210572242736816|      0.50000000|[59, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.3693835099125347, -0.8229998192382346, -1.9724974185592083]                  |  6.9210572242736816|      0.25000000|[69, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.3960497940690249, -0.7579168732499681, -1.732595106292791]                   |  5.0999436378479004|      0.50000000|[75, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.3960497940690249, -0.7579168732499681, -1.732595106292791]                   |  5.0999436378479004|      0.25000000|[86, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.5165425808107849, -0.9769335227428042, -1.7362276795043368]                  |  4.1294360160827637|      0.50000000|[98, 38, 0, 38]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | iterate success | actual_k=1
      12|[0.5165425808107849, -0.9769335227428042, -1.7362276795043368]                  |  4.1294360160827637|      0.25000000|[109, 43, 0, 43]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.5165425808107849, -0.9769335227428042, -1.7362276795043368]                  |  4.1294360160827637|      0.12500000|[120, 47, 0, 47]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.4225582249582759, -0.8954304785607039, -1.724013153560217]                   |  3.5331349372863770|      0.25000000|[126, 49, 0, 49]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
