k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7036309226937327, 2.044926510672277]                                         | 99.3338851928710938|      1.11111111|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      1.11111111|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.90000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.81000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.72900000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.65610000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.59049000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.53144100|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.47829690|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.43046721|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.38742049|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.34867844|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.2905773730613896, 1.0134447287824129]                                        |  0.6227212548255920|      0.31381060|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[1.0373717954691974, 0.8280693644683662]                                        |  0.2120471298694611|      0.34867844|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.0373717954691974, 0.8280693644683662]                                        |  0.2120471298694611|      0.31381060|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.0373717954691974, 0.8280693644683662]                                        |  0.2120471298694611|      0.28242954|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.0373717954691974, 0.8280693644683662]                                        |  0.2120471298694611|      0.25418658|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.0373717954691974, 0.8280693644683662]                                        |  0.2120471298694611|      0.22876792|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
