k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.20000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.8005692477691924, 0.0849210390061451]                                        |  1.2417012453079224|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[0.8005692477691924, 0.0849210390061451]                                        |  1.2417012453079224|      0.20000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.6014379849801451, 0.0663000782350294]                                        |  0.3957787752151489|      1.00000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[0.6014379849801451, 0.0663000782350294]                                        |  0.3957787752151489|      0.20000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.4014408835136249, 0.0652233215352878]                                        |  0.0793380215764046|      1.00000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[0.4014408835136249, 0.0652233215352878]                                        |  0.0793380215764046|      0.20000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.4014408835136249, 0.0652233215352878]                                        |  0.0793380215764046|      0.04000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.3615740849745272, 0.0619616694626418]                                        |  0.0523236431181431|      0.20000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[0.3615740849745272, 0.0619616694626418]                                        |  0.0523236431181431|      0.04000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.3217205904660426, 0.0585412929538073]                                        |  0.0328839905560017|      0.20000000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[0.3217205904660426, 0.0585412929538073]                                        |  0.0328839905560017|      0.04000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.281755754841826, 0.0568644168315627]                                         |  0.0194513276219368|      0.20000000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      14|[0.281755754841826, 0.0568644168315627]                                         |  0.0194513276219368|      0.04000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
