k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.90000000|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.81000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.72900000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.65610000|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.59049000|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       6|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.53144100|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.47829690|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.43046721|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.38742049|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      10|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.34867844|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.31381060|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      12|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.28242954|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
