k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1722934189199238, 10.054747894290985, 1.9835230784621105]                    |  0.9748522043228149|     10.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.1722934189199238, 10.054747894290985, 1.9835230784621105]                    |  0.9748522043228149|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1722934189199238, 10.054747894290985, 1.9835230784621105]                    |  0.9748522043228149|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.2244735820678361, 10.103783183667785, 1.9137178424866421]                    |  0.8372508287429810|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.2244735820678361, 10.103783183667785, 1.9137178424866421]                    |  0.8372508287429810|      0.10000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.1489074671965961, 10.167769744438075, 1.8997363431372674]                    |  0.7318325638771057|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.1489074671965961, 10.167769744438075, 1.8997363431372674]                    |  0.7318325638771057|      0.10000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0942339968922715, 10.18740331695519, 1.8183401855185115]                     |  0.5676913261413574|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.0942339968922715, 10.18740331695519, 1.8183401855185115]                     |  0.5676913261413574|      0.10000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.113582052284951, 10.19797647976293, 1.72080116265708]                        |  0.4438553750514984|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.113582052284951, 10.19797647976293, 1.72080116265708]                        |  0.4438553750514984|      0.10000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.1679635907150047, 10.189159710075868, 1.6373451092501168]                    |  0.3465237021446228|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.1679635907150047, 10.189159710075868, 1.6373451092501168]                    |  0.3465237021446228|      0.10000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.2348088004099054, 10.206504992675505, 1.5650204308036593]                    |  0.2654024958610535|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.6173450193816814, 9.354418580925042, 1.2077883100684201]                     |  0.0478252880275249|     10.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
