k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.50000000|[230, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 118 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 174 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.25000000|[458, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.12500000|[687, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 118 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 174 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.06250000|[915, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[-0.6033129087381945, 0.5880420737542705, -1.8535018522638143, 0.006397558516143, -0.0224819986126584, -0.0020673787325654, -0.0496967543566836, -0.1043133740245273, 1.1296774778921552, -0.0127044108603705, 0.0063503864989185, 399.75955206953853, 0.0120909719799674, -0.0315672604768618, -0.0056226670089039, -0.0105060988115443, -0.1244389725853596, 0.7140285009859185, -0.0038852852506503, 0.0086247473981994, 402.0289238577096, 0.0184977587272322, -0.0243672217337252, 0.0052307505572434, -0.0158638728605798, -0.1166047293442813, 0.9204846042544221, -0.0071512148415007, 0.0082412118461623, 400.4075001519627, 0.0352722352495409, -1.2147536585105865, 0.0059484806066649, -1.408073138955439, -0.0910858674627961, 0.4519514315663697, 0.0079869984640617, 0.0159445055537734, 407.0259204216162, 0.0267233756532746, -1.2412289641402303, 0.0156510642644251, -1.0554796038109306, -0.120380610157772, 0.3436050216361911, 0.0036253791207484, -0.0017515697709143, 405.9120509105316, 0.0357869353926559, -1.2444141413525909, 0.0162240621582544, -0.8627980388663031, -0.1242531801205944, 0.2861452075209038, -0.0051860319897509, 0.0032661473584911, 404.7277969761978]|104727.2968750000000000|      0.12500000|[1031, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       6|[-0.6033129087381945, 0.5880420737542705, -1.8535018522638143, 0.006397558516143, -0.0224819986126584, -0.0020673787325654, -0.0496967543566836, -0.1043133740245273, 1.1296774778921552, -0.0127044108603705, 0.0063503864989185, 399.75955206953853, 0.0120909719799674, -0.0315672604768618, -0.0056226670089039, -0.0105060988115443, -0.1244389725853596, 0.7140285009859185, -0.0038852852506503, 0.0086247473981994, 402.0289238577096, 0.0184977587272322, -0.0243672217337252, 0.0052307505572434, -0.0158638728605798, -0.1166047293442813, 0.9204846042544221, -0.0071512148415007, 0.0082412118461623, 400.4075001519627, 0.0352722352495409, -1.2147536585105865, 0.0059484806066649, -1.408073138955439, -0.0910858674627961, 0.4519514315663697, 0.0079869984640617, 0.0159445055537734, 407.0259204216162, 0.0267233756532746, -1.2412289641402303, 0.0156510642644251, -1.0554796038109306, -0.120380610157772, 0.3436050216361911, 0.0036253791207484, -0.0017515697709143, 405.9120509105316, 0.0357869353926559, -1.2444141413525909, 0.0162240621582544, -0.8627980388663031, -0.1242531801205944, 0.2861452075209038, -0.0051860319897509, 0.0032661473584911, 404.7277969761978]|104727.2968750000000000|      0.06250000|[1260, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[-0.5928944401546551, 0.5958784586916336, -1.8517201359489945, 0.0126079144507672, -0.0231930748783238, -0.0130344484234615, -0.0420098746259292, -0.0986100229764484, 1.1209347814667445, -0.0140583217608725, 0.0082877976034876, 399.7557999003165, 0.0150114432979425, -0.0186154548874804, -0.0106749343444802, -0.0157988609588578, -0.1325395489871044, 0.7077662927791287, -0.0003353663371381, 0.0118265332579934, 402.03100066990925, 0.019983421884956, -0.0249063678453117, 0.0088521496111953, -0.0131921735343093, -0.113507015352372, 0.9207549173777924, -0.0095022503207598, 0.0199665036480718, 400.404343462513, 0.0596162257950394, -1.2167528741230818, -0.0078948279940504, -1.4083700791173797, -0.0661955693449765, 0.4551376671093747, -0.001164485453412, 0.0145140965246389, 407.0317851644666, 0.0442217781244186, -1.2264209309450445, 0.0054744045005165, -1.051294200657112, -0.1058747333782778, 0.3521734865383411, 0.0135386977497685, -0.0014886175053675, 405.91568809536255, 0.037391344878262, -1.2499329414524898, 0.0141171966096787, -0.8541688787821226, -0.1136688155490343, 0.2887818419572197, -0.006079299219926, 0.0084480902029976, 404.72749382429356]|81491.5703125000000000|      0.12500000|[1376, 96, 0, 24]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       8|[-0.5928944401546551, 0.5958784586916336, -1.8517201359489945, 0.0126079144507672, -0.0231930748783238, -0.0130344484234615, -0.0420098746259292, -0.0986100229764484, 1.1209347814667445, -0.0140583217608725, 0.0082877976034876, 399.7557999003165, 0.0150114432979425, -0.0186154548874804, -0.0106749343444802, -0.0157988609588578, -0.1325395489871044, 0.7077662927791287, -0.0003353663371381, 0.0118265332579934, 402.03100066990925, 0.019983421884956, -0.0249063678453117, 0.0088521496111953, -0.0131921735343093, -0.113507015352372, 0.9207549173777924, -0.0095022503207598, 0.0199665036480718, 400.404343462513, 0.0596162257950394, -1.2167528741230818, -0.0078948279940504, -1.4083700791173797, -0.0661955693449765, 0.4551376671093747, -0.001164485453412, 0.0145140965246389, 407.0317851644666, 0.0442217781244186, -1.2264209309450445, 0.0054744045005165, -1.051294200657112, -0.1058747333782778, 0.3521734865383411, 0.0135386977497685, -0.0014886175053675, 405.91568809536255, 0.037391344878262, -1.2499329414524898, 0.0141171966096787, -0.8541688787821226, -0.1136688155490343, 0.2887818419572197, -0.006079299219926, 0.0084480902029976, 404.72749382429356]|81491.5703125000000000|      0.06250000|[1604, 112, 0, 28]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[-0.5868449312334031, 0.6085278691572338, -1.8485834828891643, 0.0065335985035946, -0.0183667044114872, -0.0117118366321332, -0.0452133691763701, -0.1029270407900674, 1.1196888569513526, -0.0133742267497102, 0.0091153929392897, 399.7560109447321, 0.012051333216792, -0.0192612939643577, -0.0094810871517784, -0.0155193082143143, -0.1333466080490934, 0.7070333478746678, 0.0001104504663041, 0.0121130093877549, 402.03010796014047, 0.016591956725282, -0.0247607992944747, 0.0105531268040956, -0.0137846500985777, -0.1140503538287587, 0.9199281637555431, -0.0092290911004746, 0.0200183135282401, 400.4048844197251, 0.0859626969602994, -1.2133404586330288, -0.021563662015003, -1.4081625607917507, -0.0461119559969101, 0.4618815192357504, -0.001294360535024, 0.0145253132669063, 407.03131464145497, 0.0676108045709803, -1.2200777898418929, -0.0059650850772936, -1.0515519881134743, -0.0863211054650712, 0.3576825355814277, 0.014453157977884, -0.0005432982039898, 405.91652287652647, 0.0591659546124549, -1.238611415951606, 0.0045626950939232, -0.8557419961002826, -0.0936665171386227, 0.2908351556869185, -0.0067770146387535, 0.0095418889045425, 404.72765481528904]|52175.8320312500000000|      0.12500000|[1832, 128, 0, 32]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | iterate success | actual_k=4
      10|[-0.5868449312334031, 0.6085278691572338, -1.8485834828891643, 0.0065335985035946, -0.0183667044114872, -0.0117118366321332, -0.0452133691763701, -0.1029270407900674, 1.1196888569513526, -0.0133742267497102, 0.0091153929392897, 399.7560109447321, 0.012051333216792, -0.0192612939643577, -0.0094810871517784, -0.0155193082143143, -0.1333466080490934, 0.7070333478746678, 0.0001104504663041, 0.0121130093877549, 402.03010796014047, 0.016591956725282, -0.0247607992944747, 0.0105531268040956, -0.0137846500985777, -0.1140503538287587, 0.9199281637555431, -0.0092290911004746, 0.0200183135282401, 400.4048844197251, 0.0859626969602994, -1.2133404586330288, -0.021563662015003, -1.4081625607917507, -0.0461119559969101, 0.4618815192357504, -0.001294360535024, 0.0145253132669063, 407.03131464145497, 0.0676108045709803, -1.2200777898418929, -0.0059650850772936, -1.0515519881134743, -0.0863211054650712, 0.3576825355814277, 0.014453157977884, -0.0005432982039898, 405.91652287652647, 0.0591659546124549, -1.238611415951606, 0.0045626950939232, -0.8557419961002826, -0.0936665171386227, 0.2908351556869185, -0.0067770146387535, 0.0095418889045425, 404.72765481528904]|52175.8320312500000000|      0.06250000|[2061, 144, 0, 36]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 118 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 174 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
