k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      0.20000000|[27, 4, 0, 4]                                                              |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0490607421197493, 0.2454491409577955, 5.526650595669234, 5.569208821281935, 6.436191338063498, 7.599946978522395]|249.0127563476562500|      1.00000000|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       3|[1.0490607421197493, 0.2454491409577955, 5.526650595669234, 5.569208821281935, 6.436191338063498, 7.599946978522395]|249.0127563476562500|      0.20000000|[66, 10, 0, 10]                                                            |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.8733807516440117, 0.2562606320781437, 5.469107195722013, 5.565534553557016, 6.3609812625400695, 7.59375391585847]|227.1599426269531250|      1.00000000|[79, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       5|[0.1644687487772918, 0.2298102443033844, 4.921690867482216, 5.58315095176532, 5.9897587519453355, 7.3509308879216055]|143.0151824951171875|      5.00000000|[92, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[0.1644687487772918, 0.2298102443033844, 4.921690867482216, 5.58315095176532, 5.9897587519453355, 7.3509308879216055]|143.0151824951171875|      1.00000000|[118, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1644687487772918, 0.2298102443033844, 4.921690867482216, 5.58315095176532, 5.9897587519453355, 7.3509308879216055]|143.0151824951171875|      0.20000000|[144, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0312986290692338, 0.2917292121640113, 4.854839881168184, 5.624678787063732, 5.896869584725111, 7.411012064453182]|129.7396697998046875|      1.00000000|[158, 24, 0, 24]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       9|[0.0312986290692338, 0.2917292121640113, 4.854839881168184, 5.624678787063732, 5.896869584725111, 7.411012064453182]|129.7396697998046875|      0.20000000|[185, 28, 0, 28]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.131751113975369, 0.301491954358856, 4.7825596379206194, 5.669995914321451, 5.825870764981944, 7.442643728433817]|117.1479263305664062|      1.00000000|[198, 30, 0, 30]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      11|[-0.131751113975369, 0.301491954358856, 4.7825596379206194, 5.669995914321451, 5.825870764981944, 7.442643728433817]|117.1479263305664062|      0.20000000|[224, 34, 0, 34]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.2242335070845498, 0.3110252039877971, 4.7004396318017925, 5.754141390218229, 5.69357919338855, 7.437084260580699]|106.5598754882812500|      1.00000000|[237, 36, 0, 36]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      13|[-0.2242335070845498, 0.3110252039877971, 4.7004396318017925, 5.754141390218229, 5.69357919338855, 7.437084260580699]|106.5598754882812500|      0.20000000|[262, 40, 0, 40]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.3628453422697265, 0.3486831790215942, 4.58544613144638, 5.703654301681019, 5.653986208281558, 7.482124024793164]| 97.3460693359375000|      1.00000000|[275, 42, 0, 42]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      15|[-0.3628453422697265, 0.3486831790215942, 4.58544613144638, 5.703654301681019, 5.653986208281558, 7.482124024793164]| 97.3460693359375000|      0.20000000|[300, 46, 0, 46]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.4166184781795718, 0.3321435394909984, 4.4596990439847275, 5.681553932232638, 5.538493224929188, 7.566950345237617]| 88.9253768920898438|      1.00000000|[313, 48, 0, 48]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      17|[-0.4166184781795718, 0.3321435394909984, 4.4596990439847275, 5.681553932232638, 5.538493224929188, 7.566950345237617]| 88.9253768920898438|      0.20000000|[338, 52, 0, 52]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
