k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7036309226937327, 2.044926510672277]                                         | 99.3338851928710938|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.7036309226937327, 2.044926510672277]                                         | 99.3338851928710938|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.0142420056341277, 1.0943894229399809]                                        | 14.8707723617553711|      2.00000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.0142420056341277, 1.0943894229399809]                                        | 14.8707723617553711|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      2.00000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.549561228824339, 0.1556420643877517]                                         |  0.2504920959472656|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.549561228824339, 0.1556420643877517]                                         |  0.2504920959472656|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.549561228824339, 0.1556420643877517]                                         |  0.2504920959472656|      0.06250000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.549561228824339, 0.1556420643877517]                                         |  0.2504920959472656|      0.03125000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.5186670678639547, 0.1509395843448519]                                        |  0.2086739540100098|      0.06250000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.5186670678639547, 0.1509395843448519]                                        |  0.2086739540100098|      0.03125000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.5186670678639547, 0.1509395843448519]                                        |  0.2086739540100098|      0.01562500|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.5032313668934367, 0.1485147625887736]                                        |  0.1968098580837250|      0.03125000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.5032313668934367, 0.1485147625887736]                                        |  0.1968098580837250|      0.01562500|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.5032313668934367, 0.1485147625887736]                                        |  0.1968098580837250|      0.00781250|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.495505946361333, 0.1473515627554911]                                         |  0.1930537968873978|      0.01562500|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[1.495505946361333, 0.1473515627554911]                                         |  0.1930537968873978|      0.00781250|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.4878437184252757, 0.1458266301976696]                                        |  0.1906954646110535|      0.01562500|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.4878437184252757, 0.1458266301976696]                                        |  0.1906954646110535|      0.00781250|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.4878437184252757, 0.1458266301976696]                                        |  0.1906954646110535|      0.00390625|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.4842916165872906, 0.1442014035688322]                                        |  0.1899967044591904|      0.00781250|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.4842916165872906, 0.1442014035688322]                                        |  0.1899967044591904|      0.00390625|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.4842916165872906, 0.1442014035688322]                                        |  0.1899967044591904|      0.00195312|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.482659713478096, 0.1431282821834211]                                         |  0.1897533386945724|      0.00390625|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[1.482659713478096, 0.1431282821834211]                                         |  0.1897533386945724|      0.00195312|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.4811759576735115, 0.141858177471995]                                         |  0.1895679235458374|      0.00390625|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[1.4811759576735115, 0.141858177471995]                                         |  0.1895679235458374|      0.00195312|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.4801419112345595, 0.1402012389614534]                                        |  0.1894159317016602|      0.00390625|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.4801419112345595, 0.1402012389614534]                                        |  0.1894159317016602|      0.00195312|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.4801419112345595, 0.1402012389614534]                                        |  0.1894159317016602|      0.00097656|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.480062409813859, 0.139227917924738]                                          |  0.1893439888954163|      0.00195312|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.4794047263873091, 0.1373888557245754]                                        |  0.1892107874155045|      0.00390625|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.4794047263873091, 0.1373888557245754]                                        |  0.1892107874155045|      0.00195312|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.4794047263873091, 0.1373888557245754]                                        |  0.1892107874155045|      0.00097656|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.479487239221487, 0.1364157853527101]                                         |  0.1891414821147919|      0.00195312|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[1.479487239221487, 0.1364157853527101]                                         |  0.1891414821147919|      0.00097656|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.479581672053373, 0.1354437993668707]                                         |  0.1890723705291748|      0.00195312|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.479581672053373, 0.1354437993668707]                                         |  0.1890723705291748|      0.00097656|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.479640733535084, 0.1344690244914331]                                         |  0.1890035122632980|      0.00195312|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.479640733535084, 0.1344690244914331]                                         |  0.1890035122632980|      0.00097656|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.4797197408536205, 0.1334956632224153]                                        |  0.1889348328113556|      0.00195312|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.4797046014805981, 0.1315425968986543]                                        |  0.1887991726398468|      0.00390625|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[1.4797046014805981, 0.1315425968986543]                                        |  0.1887991726398468|      0.00195312|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[1.4797046014805981, 0.1315425968986543]                                        |  0.1887991726398468|      0.00097656|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.4799761131049665, 0.1306045373300558]                                        |  0.1887319833040237|      0.00195312|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[1.4799761131049665, 0.1306045373300558]                                        |  0.1887319833040237|      0.00097656|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.4799387858101407, 0.129628688474204]                                         |  0.1886648684740067|      0.00195312|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[1.4799387858101407, 0.129628688474204]                                         |  0.1886648684740067|      0.00097656|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.4801875085851914, 0.1286843308631385]                                        |  0.1885981857776642|      0.00195312|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[1.4801875085851914, 0.1286843308631385]                                        |  0.1885981857776642|      0.00097656|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[1.4803346457197855, 0.1277189164546954]                                        |  0.1885311454534531|      0.00195312|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[1.4803346457197855, 0.1277189164546954]                                        |  0.1885311454534531|      0.00097656|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.480242884681765, 0.1267466745977957]                                         |  0.1884649693965912|      0.00195312|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[1.480242884681765, 0.1267466745977957]                                         |  0.1884649693965912|      0.00097656|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
