k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3747608920950057, 0.0797095312778555, -0.004230393703097, 0.3412320516556853, 0.2813863685060732, 0.2369410940818939, 0.1407433950978369, -0.1597388580050057, -0.3424089535477906, 0.0291293031903155, 0.099735241409874, -0.0846681391623341, 0.0930650738771747, -0.2868813583100472, 0.1484125021073299, 0.0725495723862729, -0.0584381798738602, 0.1477149775037801, -0.1459984815515477, 0.3529909438652921, -0.1685676998119672, 0.3210466598085497]| 13.9616107940673828|     10.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[0.3747608920950057, 0.0797095312778555, -0.004230393703097, 0.3412320516556853, 0.2813863685060732, 0.2369410940818939, 0.1407433950978369, -0.1597388580050057, -0.3424089535477906, 0.0291293031903155, 0.099735241409874, -0.0846681391623341, 0.0930650738771747, -0.2868813583100472, 0.1484125021073299, 0.0725495723862729, -0.0584381798738602, 0.1477149775037801, -0.1459984815515477, 0.3529909438652921, -0.1685676998119672, 0.3210466598085497]| 13.9616107940673828|      1.00000000|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.6618766672608678, 0.0777799688846157, 0.0118538146032957, 0.8555561753171298, 0.0176749901237349, 0.5056895867367154, 0.352004342815777, 0.0764614202751747, -0.7010544724617578, -0.132064603397623, -0.0299899258988644, -0.0109093688947648, 0.1359700696400385, -0.0994159250585412, 0.163962100849, 0.0349210015002967, 0.2086298863885666, -0.0708513679161925, -0.3294281644514932, 0.4992598410357751, -0.1923309847360899, 0.1783638576995351]| 13.0493850708007812|     10.00000000|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[0.6618766672608678, 0.0777799688846157, 0.0118538146032957, 0.8555561753171298, 0.0176749901237349, 0.5056895867367154, 0.352004342815777, 0.0764614202751747, -0.7010544724617578, -0.132064603397623, -0.0299899258988644, -0.0109093688947648, 0.1359700696400385, -0.0994159250585412, 0.163962100849, 0.0349210015002967, 0.2086298863885666, -0.0708513679161925, -0.3294281644514932, 0.4992598410357751, -0.1923309847360899, 0.1783638576995351]| 13.0493850708007812|      1.00000000|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.2218222025529104, 0.1667808517013727, 0.0628392853518386, 1.3623314810269678, -0.1366948971257559, 0.755423325930006, 0.511253795528293, 0.1039609446923886, -0.8005862629567475, -0.1854433421497248, 0.1374680269794497, 0.163496178327716, 0.2951486280287748, -0.0705317695851828, 0.4223448277733918, 0.2335016019094136, 0.0849740266115453, 0.0341296975823278, -0.2263849128912801, 0.7456960889650275, -0.1285645074527447, 0.2170352604579039]| 12.3365440368652344|     10.00000000|[131, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[1.2218222025529104, 0.1667808517013727, 0.0628392853518386, 1.3623314810269678, -0.1366948971257559, 0.755423325930006, 0.511253795528293, 0.1039609446923886, -0.8005862629567475, -0.1854433421497248, 0.1374680269794497, 0.163496178327716, 0.2951486280287748, -0.0705317695851828, 0.4223448277733918, 0.2335016019094136, 0.0849740266115453, 0.0341296975823278, -0.2263849128912801, 0.7456960889650275, -0.1285645074527447, 0.2170352604579039]| 12.3365440368652344|      1.00000000|[157, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.2218222025529104, 0.1667808517013727, 0.0628392853518386, 1.3623314810269678, -0.1366948971257559, 0.755423325930006, 0.511253795528293, 0.1039609446923886, -0.8005862629567475, -0.1854433421497248, 0.1374680269794497, 0.163496178327716, 0.2951486280287748, -0.0705317695851828, 0.4223448277733918, 0.2335016019094136, 0.0849740266115453, 0.0341296975823278, -0.2263849128912801, 0.7456960889650275, -0.1285645074527447, 0.2170352604579039]| 12.3365440368652344|      0.10000000|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.2205249348426457, 0.1513954534448003, 0.105901312736193, 1.415366626362056, -0.1179641279123091, 0.7586907958203566, 0.4997987300974805, 0.091742654658268, -0.7978697508280626, -0.1941225230487002, 0.1300449005692456, 0.1605163735583409, 0.2943551336541501, -0.0742364378780162, 0.4527178539809606, 0.2158317326211763, 0.0800805561509233, 0.0520938589157642, -0.2030374276616918, 0.7786859976600665, -0.1133164127399919, 0.1879813619261776]| 12.3100690841674805|      1.00000000|[212, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[1.2205249348426457, 0.1513954534448003, 0.105901312736193, 1.415366626362056, -0.1179641279123091, 0.7586907958203566, 0.4997987300974805, 0.091742654658268, -0.7978697508280626, -0.1941225230487002, 0.1300449005692456, 0.1605163735583409, 0.2943551336541501, -0.0742364378780162, 0.4527178539809606, 0.2158317326211763, 0.0800805561509233, 0.0520938589157642, -0.2030374276616918, 0.7786859976600665, -0.1133164127399919, 0.1879813619261776]| 12.3100690841674805|      0.10000000|[238, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[1.281022298386189, 0.1951842975051701, 0.1091966523189183, 1.437780611381181, -0.1315267687646152, 0.7385406469885155, 0.4915127481663549, 0.1101949682375819, -0.8011167191545429, -0.1981122298803597, 0.1090538180382832, 0.1420214385799601, 0.2933756335589645, -0.0755869735664242, 0.4605239666820901, 0.2287112159030859, 0.086183376698038, 0.0667787017129877, -0.1708399546129814, 0.7620236068128666, -0.0999708329927756, 0.1992146343013944]| 12.2798290252685547|      1.00000000|[264, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[1.281022298386189, 0.1951842975051701, 0.1091966523189183, 1.437780611381181, -0.1315267687646152, 0.7385406469885155, 0.4915127481663549, 0.1101949682375819, -0.8011167191545429, -0.1981122298803597, 0.1090538180382832, 0.1420214385799601, 0.2933756335589645, -0.0755869735664242, 0.4605239666820901, 0.2287112159030859, 0.086183376698038, 0.0667787017129877, -0.1708399546129814, 0.7620236068128666, -0.0999708329927756, 0.1992146343013944]| 12.2798290252685547|      0.10000000|[290, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[1.328557502423103, 0.1791058158295806, 0.1360062096258652, 1.4844958944043656, -0.1370445811587873, 0.7377133389016092, 0.5275660880434054, 0.1019261384336595, -0.775847233964903, -0.2188028451782503, 0.0938587290093754, 0.1336695490710764, 0.3169903212802145, -0.0810940179625906, 0.4622999636001913, 0.2076601617235651, 0.1008039633417957, 0.0882406657779358, -0.1731454729001055, 0.7689628138308042, -0.0938764597678551, 0.2030756025735685]| 12.2476415634155273|      1.00000000|[316, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[1.328557502423103, 0.1791058158295806, 0.1360062096258652, 1.4844958944043656, -0.1370445811587873, 0.7377133389016092, 0.5275660880434054, 0.1019261384336595, -0.775847233964903, -0.2188028451782503, 0.0938587290093754, 0.1336695490710764, 0.3169903212802145, -0.0810940179625906, 0.4622999636001913, 0.2076601617235651, 0.1008039633417957, 0.0882406657779358, -0.1731454729001055, 0.7689628138308042, -0.0938764597678551, 0.2030756025735685]| 12.2476415634155273|      0.10000000|[342, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[1.3778336028491904, 0.1839166371806426, 0.134854913611987, 1.5108893666685386, -0.1556544207338148, 0.7362964307863887, 0.4878674913985854, 0.1160688298445616, -0.7335865533197716, -0.2112699503787004, 0.0836710310736966, 0.1248284964231244, 0.3125180665511188, -0.0634707359676408, 0.4746863224638035, 0.2012180379134141, 0.089423873188971, 0.0590484690552864, -0.1932229955284932, 0.7910655147102543, -0.0949652731955432, 0.2204472284009044]| 12.2265853881835938|      1.00000000|[369, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[1.3778336028491904, 0.1839166371806426, 0.134854913611987, 1.5108893666685386, -0.1556544207338148, 0.7362964307863887, 0.4878674913985854, 0.1160688298445616, -0.7335865533197716, -0.2112699503787004, 0.0836710310736966, 0.1248284964231244, 0.3125180665511188, -0.0634707359676408, 0.4746863224638035, 0.2012180379134141, 0.089423873188971, 0.0590484690552864, -0.1932229955284932, 0.7910655147102543, -0.0949652731955432, 0.2204472284009044]| 12.2265853881835938|      0.10000000|[396, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[1.4118809784242106, 0.1948316578824185, 0.1643923064134661, 1.5631539524776699, -0.1351477749548408, 0.7461075473151464, 0.4861120778795447, 0.1060247816765339, -0.7477813482202181, -0.2176711390899576, 0.0714793070047618, 0.1226736727440343, 0.3104823767770649, -0.051442504902123, 0.4658449166816461, 0.1849252475399391, 0.0917142232612368, 0.0752651627556078, -0.226781198410909, 0.7481224175171015, -0.0877847410512641, 0.2382966816248515]| 12.2027282714843750|      1.00000000|[422, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[1.4118809784242106, 0.1948316578824185, 0.1643923064134661, 1.5631539524776699, -0.1351477749548408, 0.7461075473151464, 0.4861120778795447, 0.1060247816765339, -0.7477813482202181, -0.2176711390899576, 0.0714793070047618, 0.1226736727440343, 0.3104823767770649, -0.051442504902123, 0.4658449166816461, 0.1849252475399391, 0.0917142232612368, 0.0752651627556078, -0.226781198410909, 0.7481224175171015, -0.0877847410512641, 0.2382966816248515]| 12.2027282714843750|      0.10000000|[448, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[1.4427561055104219, 0.2159803955508884, 0.1867332843586738, 1.6067949093014386, -0.1340405953643202, 0.7243417071835815, 0.5215890961782976, 0.156047529814749, -0.7184481208274843, -0.2239042930606288, 0.0733144447266603, 0.1018814360347178, 0.3017894887491482, -0.0443251921291992, 0.4614283439076648, 0.1894851643626744, 0.0837434021080894, 0.0920291907371188, -0.2236982764150312, 0.7557875449986964, -0.0865968824968472, 0.2449450135766127]| 12.1854686737060547|      1.00000000|[474, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[1.4427561055104219, 0.2159803955508884, 0.1867332843586738, 1.6067949093014386, -0.1340405953643202, 0.7243417071835815, 0.5215890961782976, 0.156047529814749, -0.7184481208274843, -0.2239042930606288, 0.0733144447266603, 0.1018814360347178, 0.3017894887491482, -0.0443251921291992, 0.4614283439076648, 0.1894851643626744, 0.0837434021080894, 0.0920291907371188, -0.2236982764150312, 0.7557875449986964, -0.0865968824968472, 0.2449450135766127]| 12.1854686737060547|      0.10000000|[500, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[1.5139703472223647, 0.2162086330700417, 0.2076178360732052, 1.6299830572431329, -0.1458420566390796, 0.7441663112338126, 0.4994025429521909, 0.1604651417690669, -0.7086636797151659, -0.2048250339383128, 0.0728490131747529, 0.092101595663792, 0.2939307541588008, -0.0554058972367458, 0.4379014249077686, 0.1907763261816947, 0.0941670740615768, 0.0980461241102954, -0.230007266672054, 0.772474275143245, -0.0872349890409803, 0.2110079670208152]| 12.1697177886962891|      1.00000000|[526, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[1.5139703472223647, 0.2162086330700417, 0.2076178360732052, 1.6299830572431329, -0.1458420566390796, 0.7441663112338126, 0.4994025429521909, 0.1604651417690669, -0.7086636797151659, -0.2048250339383128, 0.0728490131747529, 0.092101595663792, 0.2939307541588008, -0.0554058972367458, 0.4379014249077686, 0.1907763261816947, 0.0941670740615768, 0.0980461241102954, -0.230007266672054, 0.772474275143245, -0.0872349890409803, 0.2110079670208152]| 12.1697177886962891|      0.10000000|[553, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[1.5450133991316402, 0.2063843188587426, 0.201216497066792, 1.6846810388869866, -0.1155271038201758, 0.7436615587575787, 0.4919410347780973, 0.1592682795398848, -0.7279295793141174, -0.1996438994127735, 0.099209368365631, 0.0862159716518533, 0.2986707751652045, -0.0372101476169392, 0.4170723425397215, 0.1492848013096012, 0.0929078850279041, 0.0933125323256489, -0.2127926102599801, 0.7697546010287842, -0.0660872638615903, 0.1882226731363582]| 12.1584339141845703|      1.00000000|[579, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[1.5450133991316402, 0.2063843188587426, 0.201216497066792, 1.6846810388869866, -0.1155271038201758, 0.7436615587575787, 0.4919410347780973, 0.1592682795398848, -0.7279295793141174, -0.1996438994127735, 0.099209368365631, 0.0862159716518533, 0.2986707751652045, -0.0372101476169392, 0.4170723425397215, 0.1492848013096012, 0.0929078850279041, 0.0933125323256489, -0.2127926102599801, 0.7697546010287842, -0.0660872638615903, 0.1882226731363582]| 12.1584339141845703|      0.10000000|[605, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[1.5651257894484898, 0.2093162562358507, 0.2012686222144442, 1.7409134207721395, -0.0866796331765818, 0.719275119091303, 0.4933593979257462, 0.149094407097181, -0.7600474036410919, -0.1958247039731923, 0.076564899868438, 0.0695387214550168, 0.2601493679763039, -0.0489433924636625, 0.439589003850306, 0.1640697839453904, 0.1082832180738169, 0.0816953446659748, -0.2141740509763982, 0.7538953979960723, -0.0750545621472115, 0.1899591650266746]| 12.1509590148925781|      1.00000000|[631, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[1.5651257894484898, 0.2093162562358507, 0.2012686222144442, 1.7409134207721395, -0.0866796331765818, 0.719275119091303, 0.4933593979257462, 0.149094407097181, -0.7600474036410919, -0.1958247039731923, 0.076564899868438, 0.0695387214550168, 0.2601493679763039, -0.0489433924636625, 0.439589003850306, 0.1640697839453904, 0.1082832180738169, 0.0816953446659748, -0.2141740509763982, 0.7538953979960723, -0.0750545621472115, 0.1899591650266746]| 12.1509590148925781|      0.10000000|[657, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[1.6280844629895463, 0.1891911655412188, 0.1956128897959136, 1.7860675291021744, -0.0698650611691523, 0.7280718768237621, 0.4891960299900744, 0.1561108947644422, -0.752258039966427, -0.1909612303352779, 0.0775240186534292, 0.0537438980111081, 0.267780524384663, -0.0372557699687374, 0.4471114975796023, 0.1495505358414431, 0.1018570210560223, 0.0539443509349206, -0.1826838742445516, 0.7707295303323951, -0.0908716686082084, 0.1897170739320567]| 12.1458206176757812|      1.00000000|[684, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      27|[1.6280844629895463, 0.1891911655412188, 0.1956128897959136, 1.7860675291021744, -0.0698650611691523, 0.7280718768237621, 0.4891960299900744, 0.1561108947644422, -0.752258039966427, -0.1909612303352779, 0.0775240186534292, 0.0537438980111081, 0.267780524384663, -0.0372557699687374, 0.4471114975796023, 0.1495505358414431, 0.1018570210560223, 0.0539443509349206, -0.1826838742445516, 0.7707295303323951, -0.0908716686082084, 0.1897170739320567]| 12.1458206176757812|      0.10000000|[711, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      28|[1.6280844629895463, 0.1891911655412188, 0.1956128897959136, 1.7860675291021744, -0.0698650611691523, 0.7280718768237621, 0.4891960299900744, 0.1561108947644422, -0.752258039966427, -0.1909612303352779, 0.0775240186534292, 0.0537438980111081, 0.267780524384663, -0.0372557699687374, 0.4471114975796023, 0.1495505358414431, 0.1018570210560223, 0.0539443509349206, -0.1826838742445516, 0.7707295303323951, -0.0908716686082084, 0.1897170739320567]| 12.1458206176757812|      0.01000000|[737, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      29|[1.6292608606530423, 0.1869478165694339, 0.196917371271935, 1.7900015518285441, -0.0676314101728152, 0.7261411918416227, 0.4881744604496113, 0.1548805375075767, -0.7565384855003432, -0.1925986516335545, 0.0769483991293813, 0.0542982079926903, 0.2648284523233022, -0.03847527217433, 0.4488207745916923, 0.1481891548062942, 0.1022778812169249, 0.0522988917151099, -0.1789516553892003, 0.7720820967717857, -0.0914001042939258, 0.1928137631778357]| 12.1456766128540039|      0.10000000|[764, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      30|[1.6292608606530423, 0.1869478165694339, 0.196917371271935, 1.7900015518285441, -0.0676314101728152, 0.7261411918416227, 0.4881744604496113, 0.1548805375075767, -0.7565384855003432, -0.1925986516335545, 0.0769483991293813, 0.0542982079926903, 0.2648284523233022, -0.03847527217433, 0.4488207745916923, 0.1481891548062942, 0.1022778812169249, 0.0522988917151099, -0.1789516553892003, 0.7720820967717857, -0.0914001042939258, 0.1928137631778357]| 12.1456766128540039|      0.01000000|[790, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      31|[1.6328083236759172, 0.1882045688951991, 0.2013386242968865, 1.795052955492357, -0.0676645739385141, 0.7266140669917346, 0.4890297792826999, 0.1541274308386677, -0.758132606910774, -0.1949954963898362, 0.0793232162084233, 0.0561214987442733, 0.2641780490388504, -0.0368617010717116, 0.451461078053373, 0.1466115695240912, 0.1032897428042452, 0.0537634114197769, -0.1776336250246475, 0.7699449951233556, -0.0912081090365703, 0.1928546677167521]| 12.1454629898071289|      0.10000000|[816, 124, 0, 62]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      32|[1.6328083236759172, 0.1882045688951991, 0.2013386242968865, 1.795052955492357, -0.0676645739385141, 0.7266140669917346, 0.4890297792826999, 0.1541274308386677, -0.758132606910774, -0.1949954963898362, 0.0793232162084233, 0.0561214987442733, 0.2641780490388504, -0.0368617010717116, 0.451461078053373, 0.1466115695240912, 0.1032897428042452, 0.0537634114197769, -0.1776336250246475, 0.7699449951233556, -0.0912081090365703, 0.1928546677167521]| 12.1454629898071289|      0.01000000|[843, 128, 0, 64]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      33|[1.6352718363802938, 0.1874207150958598, 0.2070358823128023, 1.797944410963428, -0.0657502069236573, 0.7273562879614496, 0.4883743336420092, 0.1513511374472226, -0.7554582157977727, -0.1930043243625662, 0.0757343648362545, 0.0555962758589723, 0.2643473246540294, -0.0368249198342357, 0.4530396704523503, 0.1446403630435228, 0.1019546097308814, 0.0523076952250903, -0.1783822408171473, 0.7706934741372858, -0.0900193223863519, 0.1945948672605427]| 12.1453437805175781|      0.10000000|[869, 132, 0, 66]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      34|[1.6352718363802938, 0.1874207150958598, 0.2070358823128023, 1.797944410963428, -0.0657502069236573, 0.7273562879614496, 0.4883743336420092, 0.1513511374472226, -0.7554582157977727, -0.1930043243625662, 0.0757343648362545, 0.0555962758589723, 0.2643473246540294, -0.0368249198342357, 0.4530396704523503, 0.1446403630435228, 0.1019546097308814, 0.0523076952250903, -0.1783822408171473, 0.7706934741372858, -0.0900193223863519, 0.1945948672605427]| 12.1453437805175781|      0.01000000|[895, 136, 0, 68]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      35|[1.640037095708592, 0.1907630594821853, 0.2092896277718176, 1.80071653753083, -0.0678437457537502, 0.726937737614609, 0.490754016806253, 0.1520448417880433, -0.7545988367872444, -0.1938960977871776, 0.0786510003274341, 0.0548398555434713, 0.2638765323091834, -0.0365231934557954, 0.4508892886278172, 0.1440883977151397, 0.1034133665891388, 0.0537029501960311, -0.1774471026925155, 0.7667560027941732, -0.0904349941370981, 0.1970798024862621]| 12.1452302932739258|      0.10000000|[922, 140, 0, 70]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      36|[1.640037095708592, 0.1907630594821853, 0.2092896277718176, 1.80071653753083, -0.0678437457537502, 0.726937737614609, 0.490754016806253, 0.1520448417880433, -0.7545988367872444, -0.1938960977871776, 0.0786510003274341, 0.0548398555434713, 0.2638765323091834, -0.0365231934557954, 0.4508892886278172, 0.1440883977151397, 0.1034133665891388, 0.0537029501960311, -0.1774471026925155, 0.7667560027941732, -0.0904349941370981, 0.1970798024862621]| 12.1452302932739258|      0.01000000|[949, 144, 0, 72]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      37|[1.643539380283824, 0.1934249261031846, 0.2120610662767373, 1.8057547053513099, -0.0683326305997999, 0.7258630209800478, 0.4888699447532014, 0.1514872204692428, -0.7536565412947757, -0.1906991394190291, 0.0788428210559912, 0.0560895734286908, 0.2640133118903181, -0.0386446712664587, 0.4489451244743435, 0.1411471395103191, 0.1021868317013846, 0.0567790797619636, -0.1783388694143569, 0.7674013771723543, -0.0900150541642829, 0.1976432723444095]| 12.1451282501220703|      0.10000000|[975, 148, 0, 74]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
