k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.10000000|[46, 14, 0, 2]                                                             |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       2|[1.0037093076501056, 1.0158701331928843, 0.9596308174362485, 0.997633627096747, 0.993063529569432, 0.9829084329721794, 0.9897881902806409, 1.001440405628474, 0.973972321818205, 1.0067645843228965, 1.0052880128886184, 0.948235060910578, 1.0051957821209212, 0.984114817953514, 0.9833313587336595, 1.0199439138123136, 0.9961801005303428, 1.0047594330034824, 1.0133313214203796, 1.0045545804099119, 0.995191283115314, 0.9451550261394411]|  1.5109488964080811|      1.00000000|[91, 28, 0, 4]                                                             |  | trying linear partial model with 26 points | iterate success | actual_k=7
       3|[1.0037093076501056, 1.0158701331928843, 0.9596308174362485, 0.997633627096747, 0.993063529569432, 0.9829084329721794, 0.9897881902806409, 1.001440405628474, 0.973972321818205, 1.0067645843228965, 1.0052880128886184, 0.948235060910578, 1.0051957821209212, 0.984114817953514, 0.9833313587336595, 1.0199439138123136, 0.9961801005303428, 1.0047594330034824, 1.0133313214203796, 1.0045545804099119, 0.995191283115314, 0.9451550261394411]|  1.5109488964080811|      0.10000000|[136, 42, 0, 6]                                                            |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       4|[1.007106552564483, 0.9891525436016011, 0.923441093698952, 0.9646034779233571, 0.9767425759543774, 0.9610836036868697, 0.983962017087134, 0.964525080041754, 0.9597415318083565, 0.992035035278824, 1.014454150114439, 0.892096914156459, 0.9832334893118856, 0.9732349611331494, 0.9826858512882315, 1.0227604652344486, 0.9988257611176335, 0.9896584778645512, 1.014586022426335, 1.0071731573621447, 1.0100497103799206, 0.9476589724293282]|  1.4837720394134521|      1.00000000|[181, 56, 0, 8]                                                            |  | trying linear partial model with 26 points | iterate success | actual_k=7
       5|[1.007106552564483, 0.9891525436016011, 0.923441093698952, 0.9646034779233571, 0.9767425759543774, 0.9610836036868697, 0.983962017087134, 0.964525080041754, 0.9597415318083565, 0.992035035278824, 1.014454150114439, 0.892096914156459, 0.9832334893118856, 0.9732349611331494, 0.9826858512882315, 1.0227604652344486, 0.9988257611176335, 0.9896584778645512, 1.014586022426335, 1.0071731573621447, 1.0100497103799206, 0.9476589724293282]|  1.4837720394134521|      0.10000000|[227, 70, 0, 10]                                                           |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       6|[0.985938657495618, 0.9738999312288295, 0.8859569010752231, 0.9580125399637892, 0.9573987835165523, 0.9725760143050796, 0.97651725213409, 0.9454489094764412, 0.9305165723314142, 0.9756081693926311, 1.0088432635351208, 0.8436407640684586, 0.9995249083193297, 0.9662739928206473, 0.9454746731935374, 1.0376019921258353, 0.9879702993590225, 1.0093435497940195, 0.9872701218292187, 1.0121758460014116, 0.996189607057542, 0.9402880464125122]|  1.4618647098541260|      1.00000000|[271, 84, 0, 12]                                                           |  | trying linear partial model with 26 points | iterate success | actual_k=7
       7|[0.985938657495618, 0.9738999312288295, 0.8859569010752231, 0.9580125399637892, 0.9573987835165523, 0.9725760143050796, 0.97651725213409, 0.9454489094764412, 0.9305165723314142, 0.9756081693926311, 1.0088432635351208, 0.8436407640684586, 0.9995249083193297, 0.9662739928206473, 0.9454746731935374, 1.0376019921258353, 0.9879702993590225, 1.0093435497940195, 0.9872701218292187, 1.0121758460014116, 0.996189607057542, 0.9402880464125122]|  1.4618647098541260|      0.10000000|[316, 98, 0, 14]                                                           |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       8|[0.9580247066345584, 0.9670112168638814, 0.8625771512507521, 0.9323411626591943, 0.9261931733087697, 0.9677139034259372, 0.9569197788015603, 0.9367370207859169, 0.925962200857336, 0.9544179422522108, 1.0398792376751893, 0.7834266887519017, 0.9917478967164841, 0.9442717313297536, 0.9448515433956355, 1.031103431238449, 0.9866130490726783, 1.0007822255449585, 0.9743636497239359, 0.9909425369903724, 0.9947005834845905, 0.9272644202905972]|  1.4353219270706177|      1.00000000|[363, 112, 0, 16]                                                          |  | trying linear partial model with 26 points | iterate success | actual_k=7
       9|[0.9580247066345584, 0.9670112168638814, 0.8625771512507521, 0.9323411626591943, 0.9261931733087697, 0.9677139034259372, 0.9569197788015603, 0.9367370207859169, 0.925962200857336, 0.9544179422522108, 1.0398792376751893, 0.7834266887519017, 0.9917478967164841, 0.9442717313297536, 0.9448515433956355, 1.031103431238449, 0.9866130490726783, 1.0007822255449585, 0.9743636497239359, 0.9909425369903724, 0.9947005834845905, 0.9272644202905972]|  1.4353219270706177|      0.10000000|[408, 126, 0, 18]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
      10|[0.9489488360805217, 0.9479828326589178, 0.8466670216603898, 0.8966387135636098, 0.8859512356117754, 0.9646110177514299, 0.9468948469119871, 0.9026650546162636, 0.9134153652115526, 0.9422425582789835, 1.0595014555950215, 0.72912574509975, 0.972234143411114, 0.9528630670723052, 0.9437316106340912, 1.0272351393338546, 0.9729867444629448, 0.9953652051050091, 0.95981597538031, 0.9700321213204613, 0.9866974890528276, 0.9372273434927457]|  1.4094475507736206|      1.00000000|[452, 140, 0, 20]                                                          |  | trying linear partial model with 26 points | iterate success | actual_k=7
      11|[0.9489488360805217, 0.9479828326589178, 0.8466670216603898, 0.8966387135636098, 0.8859512356117754, 0.9646110177514299, 0.9468948469119871, 0.9026650546162636, 0.9134153652115526, 0.9422425582789835, 1.0595014555950215, 0.72912574509975, 0.972234143411114, 0.9528630670723052, 0.9437316106340912, 1.0272351393338546, 0.9729867444629448, 0.9953652051050091, 0.95981597538031, 0.9700321213204613, 0.9866974890528276, 0.9372273434927457]|  1.4094475507736206|      0.10000000|[497, 154, 0, 22]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
      12|[0.9216977744883225, 0.9265772384715307, 0.8201042023079873, 0.875818277957984, 0.8462051448735742, 0.9532926270568599, 0.9282680367204516, 0.8813810922394153, 0.8875192986505535, 0.9268492972744478, 1.06628209129127, 0.6773933376191194, 0.9749098655705764, 0.9507935052585885, 0.926555676101591, 1.0072772953329658, 0.9604687972678468, 1.0103716543126773, 0.9496217417195951, 0.9706553639189345, 0.9815462640877244, 0.9197631974046404]|  1.3824435472488403|      1.00000000|[541, 168, 0, 24]                                                          |  | trying linear partial model with 26 points | iterate success | actual_k=7
