k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|     10.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.2186645964564962, 0.1037516775725977, 0.2706752006692263, 1.5591108906734383, 3.89731263e-08, -3.438368321e-07, -1.36535733e-08, -9.07614989e-08, 1.194610654e-07, -5.31104123e-08, -2.35613943e-08, 4.6570561e-09, -3.67540029e-08, 6.8377839e-08, -2.1529719e-09, -3.174819e-09, -1.360308814e-07, 3.53182667e-08, -9.02737228e-08, 4.335354321e-07, 2.06634962e-07, 6.70110541e-08]| 12.2449674606323242|     10.00000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       4|[1.2186645964564962, 0.1037516775725977, 0.2706752006692263, 1.5591108906734383, 3.89731263e-08, -3.438368321e-07, -1.36535733e-08, -9.07614989e-08, 1.194610654e-07, -5.31104123e-08, -2.35613943e-08, 4.6570561e-09, -3.67540029e-08, 6.8377839e-08, -2.1529719e-09, -3.174819e-09, -1.360308814e-07, 3.53182667e-08, -9.02737228e-08, 4.335354321e-07, 2.06634962e-07, 6.70110541e-08]| 12.2449674606323242|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.2186645964564962, 0.1037516775725977, 0.2706752006692263, 1.5591108906734383, 3.89731263e-08, -3.438368321e-07, -1.36535733e-08, -9.07614989e-08, 1.194610654e-07, -5.31104123e-08, -2.35613943e-08, 4.6570561e-09, -3.67540029e-08, 6.8377839e-08, -2.1529719e-09, -3.174819e-09, -1.360308814e-07, 3.53182667e-08, -9.02737228e-08, 4.335354321e-07, 2.06634962e-07, 6.70110541e-08]| 12.2449674606323242|      0.10000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.2793391607398685, 0.1088314295586431, 0.284270093998444, 1.6372644078229492, 1.723174909e-07, -6.640523038e-07, -1.671055363e-07, 5.53363408e-08, 1.671007002e-07, -2.52319938e-07, -1.039605548e-07, -7.25604471e-08, -3.671400638e-07, 3.126435043e-07, -4.2951209e-09, 1.547888113e-07, -9.127822879e-07, 2.694630881e-07, -4.335906183e-07, 6.615944204e-07, 3.67114855e-08, 2.699375242e-07]| 12.2061853408813477|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.2793391607398685, 0.1088314295586431, 0.284270093998444, 1.6372644078229492, 1.723174909e-07, -6.640523038e-07, -1.671055363e-07, 5.53363408e-08, 1.671007002e-07, -2.52319938e-07, -1.039605548e-07, -7.25604471e-08, -3.671400638e-07, 3.126435043e-07, -4.2951209e-09, 1.547888113e-07, -9.127822879e-07, 2.694630881e-07, -4.335906183e-07, 6.615944204e-07, 3.67114855e-08, 2.699375242e-07]| 12.2061853408813477|      0.10000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.3399180088124614, 0.1138702266896503, 0.2978864888531619, 1.7154910495677052, -2.463094066e-07, -7.985282586e-07, 1.046123216e-07, 4.411647261e-07, 5.10167537e-08, 1.69553525e-07, -7.93296975e-08, -2.823976337e-07, -4.976762187e-07, 4.585221345e-07, 1.609513095e-07, -2.570955941e-07, -1.02855517e-08, 2.69888854e-08, -4.485489624e-07, 4.932344948e-07, -2.99752647e-07, -2.456310272e-07]| 12.1768283843994141|      1.00000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[1.3399180088124614, 0.1138702266896503, 0.2978864888531619, 1.7154910495677052, -2.463094066e-07, -7.985282586e-07, 1.046123216e-07, 4.411647261e-07, 5.10167537e-08, 1.69553525e-07, -7.93296975e-08, -2.823976337e-07, -4.976762187e-07, 4.585221345e-07, 1.609513095e-07, -2.570955941e-07, -1.02855517e-08, 2.69888854e-08, -4.485489624e-07, 4.932344948e-07, -2.99752647e-07, -2.456310272e-07]| 12.1768283843994141|      0.10000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.4003278246855044, 0.1188407456812038, 0.3115444414700976, 1.7938454266514865, 1.3887549371e-06, -1.0091393634e-06, -9.327455703e-07, 3.961398982e-07, -4.797074762e-07, 2.92943521e-08, 2.703080353e-07, -3.672172391e-07, -6.407283234e-07, 5.626092092e-07, 1.3572092636e-06, 5.168492074e-07, -1.82327805e-07, -1.6525018588e-06, -5.453913888e-07, 6.550112212e-07, -1.21245684e-07, -5.753517e-10]| 12.1568965911865234|      1.00000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      11|[1.4003278246855044, 0.1188407456812038, 0.3115444414700976, 1.7938454266514865, 1.3887549371e-06, -1.0091393634e-06, -9.327455703e-07, 3.961398982e-07, -4.797074762e-07, 2.92943521e-08, 2.703080353e-07, -3.672172391e-07, -6.407283234e-07, 5.626092092e-07, 1.3572092636e-06, 5.168492074e-07, -1.82327805e-07, -1.6525018588e-06, -5.453913888e-07, 6.550112212e-07, -1.21245684e-07, -5.753517e-10]| 12.1568965911865234|      0.10000000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.4603566389991742, 0.1236512470826417, 0.3252911786580436, 1.8724865591353352, -8.60584006e-08, -3.930054419e-07, -1.2927379476e-06, -5.768827997e-07, 2.844713773e-07, -1.5468137097e-06, 1.5301347367e-06, -2.0605716038e-06, -5.662883754e-07, -1.1652878258e-06, 2.3306015356e-06, 2.2023742679e-06, -2.8034687989e-06, -2.5494496057e-06, -1.2156575936e-06, 6.479643669e-07, -5.404703651e-07, -6.873328265e-07]| 12.1463890075683594|      1.00000000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[1.4603566389991742, 0.1236512470826417, 0.3252911786580436, 1.8724865591353352, -8.60584006e-08, -3.930054419e-07, -1.2927379476e-06, -5.768827997e-07, 2.844713773e-07, -1.5468137097e-06, 1.5301347367e-06, -2.0605716038e-06, -5.662883754e-07, -1.1652878258e-06, 2.3306015356e-06, 2.2023742679e-06, -2.8034687989e-06, -2.5494496057e-06, -1.2156575936e-06, 6.479643669e-07, -5.404703651e-07, -6.873328265e-07]| 12.1463890075683594|      0.10000000|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.4603566389991742, 0.1236512470826417, 0.3252911786580436, 1.8724865591353352, -8.60584006e-08, -3.930054419e-07, -1.2927379476e-06, -5.768827997e-07, 2.844713773e-07, -1.5468137097e-06, 1.5301347367e-06, -2.0605716038e-06, -5.662883754e-07, -1.1652878258e-06, 2.3306015356e-06, 2.2023742679e-06, -2.8034687989e-06, -2.5494496057e-06, -1.2156575936e-06, 6.479643669e-07, -5.404703651e-07, -6.873328265e-07]| 12.1463890075683594|      0.01000000|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
