k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.20000000|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.04000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00800000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00160000|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       5|[0.2484077391564934, 0.3899832024548172, 0.4150826513023567, 0.3898673651217434]|  0.0051058605313301|      0.00800000|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[0.2484077391564934, 0.3899832024548172, 0.4150826513023567, 0.3898673651217434]|  0.0051058605313301|      0.00160000|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       7|[0.2468189871190098, 0.3899950296596132, 0.4151931380707089, 0.3897140036055874]|  0.0049122311174870|      0.00800000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[0.2468189871190098, 0.3899950296596132, 0.4151931380707089, 0.3897140036055874]|  0.0049122311174870|      0.00160000|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       9|[0.2452341774794259, 0.3900593132264372, 0.4153095683854802, 0.3895388179579999]|  0.0047326148487628|      0.00800000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[0.2452341774794259, 0.3900593132264372, 0.4153095683854802, 0.3895388179579999]|  0.0047326148487628|      0.00160000|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[0.2436508986315208, 0.3901381369084246, 0.4154060913695765, 0.3893446576364223]|  0.0045668426901102|      0.00800000|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[0.2436508986315208, 0.3901381369084246, 0.4154060913695765, 0.3893446576364223]|  0.0045668426901102|      0.00160000|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      13|[0.2420688628691601, 0.3902318908073823, 0.415492349043931, 0.389142339405269]  |  0.0044148252345622|      0.00800000|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      14|[0.2420688628691601, 0.3902318908073823, 0.415492349043931, 0.389142339405269]  |  0.0044148252345622|      0.00160000|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      15|[0.2404991252828017, 0.3903776921175877, 0.4155542928479065, 0.3888762024986491]|  0.0042761904187500|      0.00800000|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      16|[0.2404991252828017, 0.3903776921175877, 0.4155542928479065, 0.3888762024986491]|  0.0042761904187500|      0.00160000|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      17|[0.2389385597963353, 0.3905332048232177, 0.4156261546377201, 0.3885675165028504]|  0.0041506611742079|      0.00800000|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      18|[0.2389385597963353, 0.3905332048232177, 0.4156261546377201, 0.3885675165028504]|  0.0041506611742079|      0.00160000|[189, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      19|[0.2373935137468116, 0.3907125903205364, 0.4156774264364802, 0.3881959996783931]|  0.0040378803387284|      0.00800000|[199, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      20|[0.2373935137468116, 0.3907125903205364, 0.4156774264364802, 0.3881959996783931]|  0.0040378803387284|      0.00160000|[211, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      21|[0.2358620874752708, 0.3909337799969437, 0.4156946276520382, 0.3877891670100035]|  0.0039374288171530|      0.00800000|[222, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      22|[0.2358620874752708, 0.3909337799969437, 0.4156946276520382, 0.3877891670100035]|  0.0039374288171530|      0.00160000|[233, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      23|[0.2358620874752708, 0.3909337799969437, 0.4156946276520382, 0.3877891670100035]|  0.0039374288171530|      0.00032000|[245, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[0.2355633672055802, 0.3909936506479785, 0.4157031214436974, 0.3876916500313595]|  0.0039187315851450|      0.00160000|[256, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[0.2355633672055802, 0.3909936506479785, 0.4157031214436974, 0.3876916500313595]|  0.0039187315851450|      0.00032000|[266, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[0.2352667454892477, 0.3910559173762164, 0.4157092861488671, 0.3875891785311038]|  0.0039004825521260|      0.00160000|[276, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[0.2352667454892477, 0.3910559173762164, 0.4157092861488671, 0.3875891785311038]|  0.0039004825521260|      0.00032000|[286, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[0.2349724692555619, 0.3911212832576243, 0.415716648290082, 0.387482058977743]  |  0.0038826740346849|      0.00160000|[297, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[0.2349724692555619, 0.3911212832576243, 0.415716648290082, 0.387482058977743]  |  0.0038826740346849|      0.00032000|[309, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[0.2346793459877989, 0.3911888042565388, 0.4157217087569431, 0.3873729991030105]|  0.0038652990479022|      0.00160000|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[0.2346793459877989, 0.3911888042565388, 0.4157217087569431, 0.3873729991030105]|  0.0038652990479022|      0.00032000|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[0.2343880912369319, 0.3912592283388669, 0.4157267169302045, 0.387260811595122] |  0.0038483501411974|      0.00160000|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[0.2343880912369319, 0.3912592283388669, 0.4157267169302045, 0.387260811595122] |  0.0038483501411974|      0.00032000|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[0.2340988543700717, 0.3913322295194983, 0.4157307706998598, 0.3871450686496484]|  0.0038318191654980|      0.00160000|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[0.2340988543700717, 0.3913322295194983, 0.4157307706998598, 0.3871450686496484]|  0.0038318191654980|      0.00032000|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[0.2338122053575049, 0.3914079479889348, 0.4157337681083019, 0.3870246939325218]|  0.0038156970404088|      0.00160000|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      37|[0.2338122053575049, 0.3914079479889348, 0.4157337681083019, 0.3870246939325218]|  0.0038156970404088|      0.00032000|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[0.2335270793256284, 0.3914870262230659, 0.4157390289296446, 0.3869029478747135]|  0.0037999767810106|      0.00160000|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[0.2335270793256284, 0.3914870262230659, 0.4157390289296446, 0.3869029478747135]|  0.0037999767810106|      0.00032000|[418, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[0.2332456816730935, 0.3915694500784327, 0.4157409953261136, 0.3867748159017354]|  0.0037846451159567|      0.00160000|[428, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
