k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5721016647027786, 0.8378909827431191, 5.258673103195998, 5.240777232718485, 6.354948935827767, 7.934180589559277]|190.2458343505859375|     10.00000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[0.5721016647027786, 0.8378909827431191, 5.258673103195998, 5.240777232718485, 6.354948935827767, 7.934180589559277]|190.2458343505859375|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.1477028954433767, 0.5418509633506012, 4.90013870052878, 5.50506341127147, 5.913670371394321, 7.900701811021881]|120.9483642578125000|     10.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[-0.1477028954433767, 0.5418509633506012, 4.90013870052878, 5.50506341127147, 5.913670371394321, 7.900701811021881]|120.9483642578125000|      1.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.656570279253143, 0.5912743512311054, 4.289694763880829, 5.732422390907492, 5.509815623496006, 8.289518929489708]| 74.3532257080078125|     10.00000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[-0.656570279253143, 0.5912743512311054, 4.289694763880829, 5.732422390907492, 5.509815623496006, 8.289518929489708]| 74.3532257080078125|      1.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-0.656570279253143, 0.5912743512311054, 4.289694763880829, 5.732422390907492, 5.509815623496006, 8.289518929489708]| 74.3532257080078125|      0.10000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       8|[-0.6921952217290441, 0.6228223282784127, 4.234939863212486, 5.7265220161012715, 5.441404704064848, 8.284762759776486]| 70.8165054321289062|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       9|[-0.6921952217290441, 0.6228223282784127, 4.234939863212486, 5.7265220161012715, 5.441404704064848, 8.284762759776486]| 70.8165054321289062|      0.10000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      10|[-0.7542859884152717, 0.5999880566200896, 4.16898453146994, 5.70295164791071, 5.417160342660165, 8.273366460889497]| 67.9411544799804688|      1.00000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      11|[-0.7542859884152717, 0.5999880566200896, 4.16898453146994, 5.70295164791071, 5.417160342660165, 8.273366460889497]| 67.9411544799804688|      0.10000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      12|[-0.7920592603696289, 0.6355004110630096, 4.1170692733023655, 5.7172601864719415, 5.353849747058123, 8.293463544905173]| 64.6621398925781250|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[-0.9280980187516144, 1.022071141111735, 3.548399536750883, 5.913353212585096, 4.742819352823839, 8.604687965620565]| 39.3269844055175781|     10.00000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      14|[-0.9280980187516144, 1.022071141111735, 3.548399536750883, 5.913353212585096, 4.742819352823839, 8.604687965620565]| 39.3269844055175781|      1.00000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[-0.9280980187516144, 1.022071141111735, 3.548399536750883, 5.913353212585096, 4.742819352823839, 8.604687965620565]| 39.3269844055175781|      0.10000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[-0.9357567541975793, 1.0654631068899316, 3.5010579551382044, 5.9089314158562605, 4.679717620172634, 8.562074883382978]| 37.4771614074707031|      1.00000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-0.9357567541975793, 1.0654631068899316, 3.5010579551382044, 5.9089314158562605, 4.679717620172634, 8.562074883382978]| 37.4771614074707031|      0.10000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[-0.9555149522264795, 1.0852126282704238, 3.4425479006688735, 5.9260488142388805, 4.605841914950094, 8.555328151405844]| 35.3616867065429688|      1.00000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-0.9555149522264795, 1.0852126282704238, 3.4425479006688735, 5.9260488142388805, 4.605841914950094, 8.555328151405844]| 35.3616867065429688|      0.10000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[-0.9805333266305601, 1.1423219281391206, 3.374258378655407, 5.924076718765212, 4.568116375378232, 8.550632994612794]| 33.4573402404785156|      1.00000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-0.9805333266305601, 1.1423219281391206, 3.374258378655407, 5.924076718765212, 4.568116375378232, 8.550632994612794]| 33.4573402404785156|      0.10000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[-0.992335937685695, 1.1657130611102087, 3.3101616900716113, 5.888555821757428, 4.506539159921272, 8.538317143219915]| 31.6304149627685547|      1.00000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-0.992335937685695, 1.1657130611102087, 3.3101616900716113, 5.888555821757428, 4.506539159921272, 8.538317143219915]| 31.6304149627685547|      0.10000000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-1.0283583134272454, 1.1760263359835406, 3.291618394872673, 5.83633952076444, 4.437758869850622, 8.566511125182274]| 30.2495536804199219|      1.00000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-1.0283583134272454, 1.1760263359835406, 3.291618394872673, 5.83633952076444, 4.437758869850622, 8.566511125182274]| 30.2495536804199219|      0.10000000|[271, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[-1.0578998133426334, 1.1869006187648241, 3.2877809898151873, 5.919976344002535, 4.410426545216717, 8.531125394895714]| 29.7162570953369141|      1.00000000|[281, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[-1.0578998133426334, 1.1869006187648241, 3.2877809898151873, 5.919976344002535, 4.410426545216717, 8.531125394895714]| 29.7162570953369141|      0.10000000|[291, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[-1.0776238368861677, 1.2170187825839713, 3.2074446544484148, 5.960661093950107, 4.389342595126078, 8.54337898594216]| 28.2898006439208984|      1.00000000|[302, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[-1.0776238368861677, 1.2170187825839713, 3.2074446544484148, 5.960661093950107, 4.389342595126078, 8.54337898594216]| 28.2898006439208984|      0.10000000|[314, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[-1.1088265191732298, 1.229249103312426, 3.1433122993686586, 5.984754487415169, 4.325176048635466, 8.535253987006671]| 26.7156105041503906|      1.00000000|[325, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[-1.1088265191732298, 1.229249103312426, 3.1433122993686586, 5.984754487415169, 4.325176048635466, 8.535253987006671]| 26.7156105041503906|      0.10000000|[335, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[-1.1275199014328985, 1.3080827488667632, 3.1167733720678092, 5.9953934650404, 4.274450777126685, 8.541981401924561]| 25.3846988677978516|      1.00000000|[347, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[-1.1275199014328985, 1.3080827488667632, 3.1167733720678092, 5.9953934650404, 4.274450777126685, 8.541981401924561]| 25.3846988677978516|      0.10000000|[358, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[-1.153635545260954, 1.3510336518065706, 3.0646764411771685, 5.971162773462709, 4.210608518938915, 8.551786631704125]| 23.8861980438232422|      1.00000000|[368, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[-1.153635545260954, 1.3510336518065706, 3.0646764411771685, 5.971162773462709, 4.210608518938915, 8.551786631704125]| 23.8861980438232422|      0.10000000|[378, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[-1.171941246895301, 1.384174591841457, 2.9928972084303287, 5.9948104890823375, 4.246040071674755, 8.591783028344995]| 23.3367843627929688|      1.00000000|[388, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      37|[-1.171941246895301, 1.384174591841457, 2.9928972084303287, 5.9948104890823375, 4.246040071674755, 8.591783028344995]| 23.3367843627929688|      0.10000000|[400, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[-1.2068636050327353, 1.4336344782350152, 2.9441731958818123, 5.954130036914706, 4.199278169362552, 8.580895216590093]| 22.0758361816406250|      1.00000000|[410, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[-1.2068636050327353, 1.4336344782350152, 2.9441731958818123, 5.954130036914706, 4.199278169362552, 8.580895216590093]| 22.0758361816406250|      0.10000000|[421, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[-1.2067495558083698, 1.4612310958244898, 2.871448123063779, 5.970150772941694, 4.142202925541919, 8.560033049061879]| 20.8016529083251953|      1.00000000|[432, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      41|[-1.2067495558083698, 1.4612310958244898, 2.871448123063779, 5.970150772941694, 4.142202925541919, 8.560033049061879]| 20.8016529083251953|      0.10000000|[442, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      42|[-1.2074410539623184, 1.455784049534701, 2.8013245589845677, 5.970061242003093, 4.080436598858235, 8.595210458717283]| 19.7629394531250000|      1.00000000|[452, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      43|[-1.2074410539623184, 1.455784049534701, 2.8013245589845677, 5.970061242003093, 4.080436598858235, 8.595210458717283]| 19.7629394531250000|      0.10000000|[463, 172, 0, 86]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      44|[-1.2456500625286078, 1.5159334331579577, 2.7614998598545197, 5.944590585660394, 4.028714610100338, 8.59171786688244]| 18.6825027465820312|      1.00000000|[473, 176, 0, 88]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      45|[-1.2456500625286078, 1.5159334331579577, 2.7614998598545197, 5.944590585660394, 4.028714610100338, 8.59171786688244]| 18.6825027465820312|      0.10000000|[483, 180, 0, 90]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      46|[-1.2481176641290805, 1.5329240946163296, 2.695760533859127, 5.926627353959335, 3.9580299903163434, 8.599753799688653]| 17.5934467315673828|      1.00000000|[494, 184, 0, 92]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      47|[-1.2481176641290805, 1.5329240946163296, 2.695760533859127, 5.926627353959335, 3.9580299903163434, 8.599753799688653]| 17.5934467315673828|      0.10000000|[504, 188, 0, 94]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      48|[-1.249043654593493, 1.5683396679128345, 2.648922308263027, 5.932557896245432, 3.880252650692471, 8.621354133991025]| 16.5691986083984375|      1.00000000|[514, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      49|[-1.249043654593493, 1.5683396679128345, 2.648922308263027, 5.932557896245432, 3.880252650692471, 8.621354133991025]| 16.5691986083984375|      0.10000000|[526, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      50|[-1.2297764996243428, 1.6043640854243844, 2.581009152751458, 5.938282181835412, 3.819550376326201, 8.622488960874819]| 15.5506763458251953|      1.00000000|[537, 200, 0, 100]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      51|[-1.2297764996243428, 1.6043640854243844, 2.581009152751458, 5.938282181835412, 3.819550376326201, 8.622488960874819]| 15.5506763458251953|      0.10000000|[547, 204, 0, 102]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      52|[-1.2675659414656457, 1.660843360454511, 2.5632833253662604, 5.944701366325417, 3.7561579143339703, 8.590739402547952]| 14.8172655105590820|      1.00000000|[558, 208, 0, 104]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      53|[-1.2675659414656457, 1.660843360454511, 2.5632833253662604, 5.944701366325417, 3.7561579143339703, 8.590739402547952]| 14.8172655105590820|      0.10000000|[570, 212, 0, 106]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      54|[-1.2368818964522958, 1.7235308730512175, 2.5186756031958635, 5.949410959364772, 3.700340953045105, 8.591836140760158]| 13.8876943588256836|      1.00000000|[581, 216, 0, 108]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      55|[-1.2368818964522958, 1.7235308730512175, 2.5186756031958635, 5.949410959364772, 3.700340953045105, 8.591836140760158]| 13.8876943588256836|      0.10000000|[592, 220, 0, 110]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      56|[-1.1837210203903772, 1.7753602619929456, 2.470049481038365, 5.965828041524461, 3.6594716198382393, 8.578296829153999]| 13.1058864593505859|      1.00000000|[603, 224, 0, 112]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      57|[-1.1837210203903772, 1.7753602619929456, 2.470049481038365, 5.965828041524461, 3.6594716198382393, 8.578296829153999]| 13.1058864593505859|      0.10000000|[613, 228, 0, 114]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      58|[-1.170615135584582, 1.8415078213159706, 2.4341856692540365, 5.9856550852922865, 3.603362505532575, 8.553293253197248]| 12.3351564407348633|      1.00000000|[624, 232, 0, 116]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      59|[-1.170615135584582, 1.8415078213159706, 2.4341856692540365, 5.9856550852922865, 3.603362505532575, 8.553293253197248]| 12.3351564407348633|      0.10000000|[635, 236, 0, 118]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      60|[-1.1497593119084122, 1.9288869525543562, 2.4118911894661923, 6.0107929347513185, 3.5812973423183676, 8.535570518907406]| 11.7752466201782227|      1.00000000|[647, 240, 0, 120]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      61|[-1.1497593119084122, 1.9288869525543562, 2.4118911894661923, 6.0107929347513185, 3.5812973423183676, 8.535570518907406]| 11.7752466201782227|      0.10000000|[657, 244, 0, 122]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      62|[-1.1915392898942645, 1.96752867586448, 2.3799474792150304, 5.969606910538572, 3.540148111382379, 8.584060747174956]| 11.2921066284179688|      1.00000000|[668, 248, 0, 124]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      63|[-1.1915392898942645, 1.96752867586448, 2.3799474792150304, 5.969606910538572, 3.540148111382379, 8.584060747174956]| 11.2921066284179688|      0.10000000|[678, 252, 0, 126]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      64|[-1.1732594662063558, 1.9674548324954593, 2.313351511026177, 5.924885783818655, 3.5047615507293717, 8.628542561033399]| 10.8028059005737305|      1.00000000|[690, 256, 0, 128]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      65|[-1.1732594662063558, 1.9674548324954593, 2.313351511026177, 5.924885783818655, 3.5047615507293717, 8.628542561033399]| 10.8028059005737305|      0.10000000|[701, 260, 0, 130]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      66|[-1.1385543452191573, 2.0365658359949292, 2.2701024595337738, 5.907246705184572, 3.478696294379779, 8.59451009662163]| 10.1892442703247070|      1.00000000|[711, 264, 0, 132]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      67|[-1.1385543452191573, 2.0365658359949292, 2.2701024595337738, 5.907246705184572, 3.478696294379779, 8.59451009662163]| 10.1892442703247070|      0.10000000|[723, 268, 0, 134]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      68|[-1.1176952496788433, 2.073508645463436, 2.2270904003049568, 5.881295908256326, 3.4090248732878763, 8.565830156863427]|  9.5320091247558594|      1.00000000|[734, 272, 0, 136]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      69|[-1.1176952496788433, 2.073508645463436, 2.2270904003049568, 5.881295908256326, 3.4090248732878763, 8.565830156863427]|  9.5320091247558594|      0.10000000|[745, 276, 0, 138]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
