k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.10000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.9126391916513072, 0.0513369836049696]                                        | 75.6229629516601562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.9325194303068773, -0.1470698041371273]                                       | 13.9083909988403320|     10.00000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.9325194303068773, -0.1470698041371273]                                       | 13.9083909988403320|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.9325194303068773, -0.1470698041371273]                                       | 13.9083909988403320|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.8425455917881592, -0.1907127690021274]                                       | 11.3781032562255859|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[1.8425455917881592, -0.1907127690021274]                                       | 11.3781032562255859|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.7522088206509017, -0.2335994543542824]                                       |  9.2877483367919922|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.7522088206509017, -0.2335994543542824]                                       |  9.2877483367919922|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.6597051011236836, -0.2715871085807516]                                       |  7.5732579231262207|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.6597051011236836, -0.2715871085807516]                                       |  7.5732579231262207|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.5664355523273792, -0.307653592569821]                                        |  6.1785011291503906|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.5664355523273792, -0.307653592569821]                                        |  6.1785011291503906|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.473739469259659, -0.3451694050214035]                                        |  5.0529322624206543|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.473739469259659, -0.3451694050214035]                                        |  5.0529322624206543|      0.10000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.379196780993894, -0.3777528378590034]                                        |  4.1499261856079102|      1.00000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.379196780993894, -0.3777528378590034]                                        |  4.1499261856079102|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.285992757430359, -0.4139883175932083]                                        |  3.4305143356323242|      1.00000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[1.285992757430359, -0.4139883175932083]                                        |  3.4305143356323242|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.189719175172883, -0.4410326766965964]                                        |  2.8571922779083252|      1.00000000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[1.189719175172883, -0.4410326766965964]                                        |  2.8571922779083252|      0.10000000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.0930876709441049, -0.4667688844685978]                                       |  2.4006276130676270|      1.00000000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.0930876709441049, -0.4667688844685978]                                       |  2.4006276130676270|      0.10000000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.9982206594864096, -0.4983956158375762]                                       |  2.0364618301391602|      1.00000000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.9982206594864096, -0.4983956158375762]                                       |  2.0364618301391602|      0.10000000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.9982206594864096, -0.4983956158375762]                                       |  2.0364618301391602|      0.01000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.9885685068371826, -0.5010101806648503]                                       |  2.0042090415954590|      0.10000000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.9885685068371826, -0.5010101806648503]                                       |  2.0042090415954590|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.9788975646449587, -0.5035543656256314]                                       |  1.9726463556289673|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.9788975646449587, -0.5035543656256314]                                       |  1.9726463556289673|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.9692361309411872, -0.5061344235295607]                                       |  1.9417558908462524|      0.10000000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.9692361309411872, -0.5061344235295607]                                       |  1.9417558908462524|      0.01000000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.9595850539606957, -0.5087529561561718]                                       |  1.9115207195281982|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.9595850539606957, -0.5087529561561718]                                       |  1.9115207195281982|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.949918576668825, -0.5113140529457809]                                        |  1.8819234371185303|      0.10000000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.949918576668825, -0.5113140529457809]                                        |  1.8819234371185303|      0.01000000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.9402531540890027, -0.5138791272826106]                                       |  1.8529477119445801|      0.10000000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.9402531540890027, -0.5138791272826106]                                       |  1.8529477119445801|      0.01000000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.9306023084402427, -0.5164985123753015]                                       |  1.8245775699615479|      0.10000000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.9306023084402427, -0.5164985123753015]                                       |  1.8245775699615479|      0.01000000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.9209341883752227, -0.5190534007110915]                                       |  1.7967969179153442|      0.10000000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.9209341883752227, -0.5190534007110915]                                       |  1.7967969179153442|      0.01000000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.9112655503968619, -0.5216063283723071]                                       |  1.7695906162261963|      0.10000000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.9112655503968619, -0.5216063283723071]                                       |  1.7695906162261963|      0.01000000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.9015996068041274, -0.5241694386824723]                                       |  1.7429436445236206|      0.10000000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.9015996068041274, -0.5241694386824723]                                       |  1.7429436445236206|      0.01000000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.8919327626646635, -0.5267291504598628]                                       |  1.7168413400650024|      0.10000000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.8919327626646635, -0.5267291504598628]                                       |  1.7168413400650024|      0.01000000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.8822898781119175, -0.5293776929840471]                                       |  1.6912693977355957|      0.10000000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.8822898781119175, -0.5293776929840471]                                       |  1.6912693977355957|      0.01000000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.872626803677926, -0.5319515990590894]                                        |  1.6662142276763916|      0.10000000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.872626803677926, -0.5319515990590894]                                        |  1.6662142276763916|      0.01000000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.8629894432987046, -0.5346201726333075]                                       |  1.6416617631912231|      0.10000000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.8629894432987046, -0.5346201726333075]                                       |  1.6416617631912231|      0.01000000|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.853335081420067, -0.537226567982503]                                         |  1.6175992488861084|      0.10000000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.853335081420067, -0.537226567982503]                                         |  1.6175992488861084|      0.01000000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.8436818647313519, -0.5398372015379282]                                       |  1.5940141677856445|      0.10000000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.8436818647313519, -0.5398372015379282]                                       |  1.5940141677856445|      0.01000000|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
