k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1751161493803103, 10.107726238125226, 1.9786364962771419]                    |  0.9598846435546875|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.1751161493803103, 10.107726238125226, 1.9786364962771419]                    |  0.9598846435546875|      1.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1751161493803103, 10.107726238125226, 1.9786364962771419]                    |  0.9598846435546875|      0.10000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.1505740424901494, 10.080848977323527, 1.8854952173446011]                    |  0.7077390551567078|      1.00000000|[33, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.1505740424901494, 10.080848977323527, 1.8854952173446011]                    |  0.7077390551567078|      0.10000000|[43, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1137993325599038, 9.995926507503114, 1.8476033339241726]                     |  0.6263743042945862|      1.00000000|[48, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.4214114840052287, 10.930203134022445, 1.6673203635059006]                    |  0.4107167720794678|     10.00000000|[54, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.4214114840052287, 10.930203134022445, 1.6673203635059006]                    |  0.4107167720794678|      1.00000000|[65, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.4214114840052287, 10.930203134022445, 1.6673203635059006]                    |  0.4107167720794678|      0.10000000|[75, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.4873181007808751, 10.889521707201661, 1.6040642224837576]                    |  0.3474012613296509|      1.00000000|[81, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
