k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3732509483543116, 0.0902482036024968, -0.0142250356926007, 0.3436863049799362, 0.2736981244071083, 0.2399919226789142, 0.1355096331844372, -0.1564786827151692, -0.339238542494964, 0.0292591303619258, 0.0940945661316512, -0.09187195941532, 0.0840972110461017, -0.2916560829006258, 0.1467630965937028, 0.0695321095342404, -0.0538679644993809, 0.1419179309145853, -0.1373014939178248, 0.3574997616918205, -0.1704804537123533, 0.3291723782244741]| 13.9612646102905273|     10.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[0.3732509483543116, 0.0902482036024968, -0.0142250356926007, 0.3436863049799362, 0.2736981244071083, 0.2399919226789142, 0.1355096331844372, -0.1564786827151692, -0.339238542494964, 0.0292591303619258, 0.0940945661316512, -0.09187195941532, 0.0840972110461017, -0.2916560829006258, 0.1467630965937028, 0.0695321095342404, -0.0538679644993809, 0.1419179309145853, -0.1373014939178248, 0.3574997616918205, -0.1704804537123533, 0.3291723782244741]| 13.9612646102905273|      1.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.6604525496610067, 0.0880663680508171, 0.0015847227930555, 0.8580079337849242, 0.0099802762724823, 0.5089035674310143, 0.3467342575019426, 0.0797379612774873, -0.6979386893443161, -0.1320557092107348, -0.0355140154557421, -0.0184113196175321, 0.1270587493598672, -0.1043760481067177, 0.1624699039751492, 0.0317978655702164, 0.2131723200501887, -0.0766368657061489, -0.3207172520002454, 0.5038251828349544, -0.194271887129694, 0.1867271137955087]| 13.0491418838500977|     10.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[0.6604525496610067, 0.0880663680508171, 0.0015847227930555, 0.8580079337849242, 0.0099802762724823, 0.5089035674310143, 0.3467342575019426, 0.0797379612774873, -0.6979386893443161, -0.1320557092107348, -0.0355140154557421, -0.0184113196175321, 0.1270587493598672, -0.1043760481067177, 0.1624699039751492, 0.0317978655702164, 0.2131723200501887, -0.0766368657061489, -0.3207172520002454, 0.5038251828349544, -0.194271887129694, 0.1867271137955087]| 13.0491418838500977|      1.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.2368752467794735, 0.1589432261618414, 0.0563748172860757, 1.3538812132286075, -0.1308840905590213, 0.7532124877302818, 0.4865714941663898, 0.1251148835937216, -0.7914789979234609, -0.1931246914781655, 0.1574565143973612, 0.1534608471312241, 0.2811556297813527, -0.0780497800690003, 0.4116036130855427, 0.2343101970735753, 0.0803448442207707, 0.0272069811976927, -0.2178173273879711, 0.7550922277337031, -0.148608690199277, 0.2275678426948648]| 12.3357810974121094|     10.00000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       6|[1.2368752467794735, 0.1589432261618414, 0.0563748172860757, 1.3538812132286075, -0.1308840905590213, 0.7532124877302818, 0.4865714941663898, 0.1251148835937216, -0.7914789979234609, -0.1931246914781655, 0.1574565143973612, 0.1534608471312241, 0.2811556297813527, -0.0780497800690003, 0.4116036130855427, 0.2343101970735753, 0.0803448442207707, 0.0272069811976927, -0.2178173273879711, 0.7550922277337031, -0.148608690199277, 0.2275678426948648]| 12.3357810974121094|      1.00000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.2368752467794735, 0.1589432261618414, 0.0563748172860757, 1.3538812132286075, -0.1308840905590213, 0.7532124877302818, 0.4865714941663898, 0.1251148835937216, -0.7914789979234609, -0.1931246914781655, 0.1574565143973612, 0.1534608471312241, 0.2811556297813527, -0.0780497800690003, 0.4116036130855427, 0.2343101970735753, 0.0803448442207707, 0.0272069811976927, -0.2178173273879711, 0.7550922277337031, -0.148608690199277, 0.2275678426948648]| 12.3357810974121094|      0.10000000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.2355273068118664, 0.1435767913893989, 0.0993846499063021, 1.4069644997216202, -0.1120309812761258, 0.7562210058814556, 0.4748426710445368, 0.1128828603663327, -0.7889094556171495, -0.2017144520032242, 0.150246645669274, 0.1504412639296384, 0.2804733804110141, -0.0816522879500799, 0.4419851207830325, 0.2165889426942887, 0.0753855266279349, 0.0450896077378049, -0.1945989853797622, 0.7880664262082444, -0.1333053485396657, 0.1984865338990426]| 12.3093624114990234|      1.00000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[1.2355273068118664, 0.1435767913893989, 0.0993846499063021, 1.4069644997216202, -0.1120309812761258, 0.7562210058814556, 0.4748426710445368, 0.1128828603663327, -0.7889094556171495, -0.2017144520032242, 0.150246645669274, 0.1504412639296384, 0.2804733804110141, -0.0816522879500799, 0.4419851207830325, 0.2165889426942887, 0.0753855266279349, 0.0450896077378049, -0.1945989853797622, 0.7880664262082444, -0.1333053485396657, 0.1984865338990426]| 12.3093624114990234|      0.10000000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.2959688461844732, 0.1873456288091596, 0.1028771194838704, 1.4293907148948717, -0.1255260334327337, 0.736140520657462, 0.466774584753804, 0.1315074724867359, -0.7921195712369068, -0.2058707056827453, 0.1291112578965003, 0.13186908278967, 0.2796938968420004, -0.0830321428317468, 0.449991632105999, 0.2292407843504092, 0.0817612172297142, 0.0598890495296865, -0.1625453840149469, 0.7714745315327736, -0.1199247851844637, 0.2099465846086644]| 12.2791929244995117|      1.00000000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      11|[1.2959688461844732, 0.1873456288091596, 0.1028771194838704, 1.4293907148948717, -0.1255260334327337, 0.736140520657462, 0.466774584753804, 0.1315074724867359, -0.7921195712369068, -0.2058707056827453, 0.1291112578965003, 0.13186908278967, 0.2796938968420004, -0.0830321428317468, 0.449991632105999, 0.2292407843504092, 0.0817612172297142, 0.0598890495296865, -0.1625453840149469, 0.7714745315327736, -0.1199247851844637, 0.2099465846086644]| 12.2791929244995117|      0.10000000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
