k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      0.90000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      0.81000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      0.72900000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.4025727519967096, -1.2101433944853652, -0.134228802721197]                  |835.2526855468750000|      0.81000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.6799506254661701, -1.1198916498710363, -0.8898849003632593]                 |624.7415771484375000|      0.90000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.6799506254661701, -1.1198916498710363, -0.8898849003632593]                 |624.7415771484375000|      0.81000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.6799506254661701, -1.1198916498710363, -0.8898849003632593]                 |624.7415771484375000|      0.72900000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.3293037412166686, -1.3556848538061663, -1.4839297871724322]                 |212.5051879882812500|      0.81000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.3293037412166686, -1.3556848538061663, -1.4839297871724322]                 |212.5051879882812500|      0.72900000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.3293037412166686, -1.3556848538061663, -1.4839297871724322]                 |212.5051879882812500|      0.65610000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.3293037412166686, -1.3556848538061663, -1.4839297871724322]                 |212.5051879882812500|      0.59049000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.3293037412166686, -1.3556848538061663, -1.4839297871724322]                 |212.5051879882812500|      0.53144100|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.3293037412166686, -1.3556848538061663, -1.4839297871724322]                 |212.5051879882812500|      0.47829690|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.53144100|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.47829690|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.43046721|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.38742049|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.34867844|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.31381060|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.28242954|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.25418658|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.1049133130002428, -1.2953936964251247, -1.2926487093877947]                  |127.0155715942382812|      0.22876792|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.2614629183941439, -1.2213593612931466, -1.4421341654539817]                  | 60.4416885375976562|      0.25418658|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.2614629183941439, -1.2213593612931466, -1.4421341654539817]                  | 60.4416885375976562|      0.22876792|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.2614629183941439, -1.2213593612931466, -1.4421341654539817]                  | 60.4416885375976562|      0.20589113|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.4160446999763112, -1.0987500073099397, -1.3832904963474413]                  | 34.1985511779785156|      0.22876792|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.4160446999763112, -1.0987500073099397, -1.3832904963474413]                  | 34.1985511779785156|      0.20589113|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.4160446999763112, -1.0987500073099397, -1.3832904963474413]                  | 34.1985511779785156|      0.18530202|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.4160446999763112, -1.0987500073099397, -1.3832904963474413]                  | 34.1985511779785156|      0.16677182|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.4160446999763112, -1.0987500073099397, -1.3832904963474413]                  | 34.1985511779785156|      0.15009464|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.381871514606002, -1.000013831812032, -1.4910483758488124]                    | 21.0713939666748047|      0.16677182|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.4197880237971748, -0.8518719787932291, -1.5576003755128383]                  |  7.2458839416503906|      0.18530202|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.4197880237971748, -0.8518719787932291, -1.5576003755128383]                  |  7.2458839416503906|      0.16677182|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.4197880237971748, -0.8518719787932291, -1.5576003755128383]                  |  7.2458839416503906|      0.15009464|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.4197880237971748, -0.8518719787932291, -1.5576003755128383]                  |  7.2458839416503906|      0.13508517|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.4197880237971748, -0.8518719787932291, -1.5576003755128383]                  |  7.2458839416503906|      0.12157665|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.4197880237971748, -0.8518719787932291, -1.5576003755128383]                  |  7.2458839416503906|      0.10941899|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.12157665|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.10941899|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.09847709|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.08862938|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.07976644|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.07178980|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.06461082|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.05814974|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.05233476|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.04710129|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.04239116|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.03815204|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.03433684|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.5052003347183168, -0.8119781611125647, -1.613149773678202]                   |  2.7932090759277344|      0.03090315|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.03433684|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.03090315|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.02781284|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.02503156|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.02252840|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.02027556|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.01824800|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.01642320|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.01478088|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.01330279|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.01197252|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.5247342288641439, -0.8345154232142447, -1.621243212209298]                   |  2.6699986457824707|      0.01077526|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
